stage,group_seed,family,scramble,condition_limit,claim_scope,maximum_individual_relative_delta_error,maximum_individual_logit_error,maximum_individual_prediction_disagreement,maximum_individual_validation_accuracy_change,accepted_scramble
pilot,0,orthogonal,0,1.0,primary_well_conditioned,2.1706341095565026e-16,5.3290705182007506e-15,0.0,0.0,True
pilot,0,orthogonal,1,1.0,primary_well_conditioned,1.9834618620294226e-16,5.3290705182007506e-15,0.0,0.0,True
pilot,0,orthogonal,2,1.0,primary_well_conditioned,1.948800537661654e-16,5.3290705182007506e-15,0.0,0.0,True
pilot,0,orthogonal,3,1.0,primary_well_conditioned,1.881400177716107e-16,5.3290705182007506e-15,0.0,0.0,True
pilot,0,orthogonal,4,1.0,primary_well_conditioned,2.0785662995810903e-16,5.3290705182007506e-15,0.0,0.0,True
pilot,0,orthogonal,5,1.0,primary_well_conditioned,2.005049447601971e-16,5.3290705182007506e-15,0.0,0.0,True
pilot,0,orthogonal,6,1.0,primary_well_conditioned,1.8241258392823168e-16,5.3290705182007506e-15,0.0,0.0,True
pilot,0,orthogonal,7,1.0,primary_well_conditioned,1.7980199763714262e-16,5.3290705182007506e-15,0.0,0.0,True
pilot,0,orthogonal,8,1.0,primary_well_conditioned,1.8584519891244591e-16,5.3290705182007506e-15,0.0,0.0,True
pilot,0,orthogonal,9,1.0,primary_well_conditioned,2.1086442162164483e-16,7.105427357601002e-15,0.0,0.0,True
pilot,0,orthogonal,10,1.0,primary_well_conditioned,1.9009705345166103e-16,5.3290705182007506e-15,0.0,0.0,True
pilot,0,orthogonal,11,1.0,primary_well_conditioned,2.1697385849587004e-16,5.3290705182007506e-15,0.0,0.0,True
pilot,0,orthogonal,12,1.0,primary_well_conditioned,1.965800893271342e-16,5.3290705182007506e-15,0.0,0.0,True
pilot,0,orthogonal,13,1.0,primary_well_conditioned,2.0818885564624942e-16,5.3290705182007506e-15,0.0,0.0,True
pilot,0,orthogonal,14,1.0,primary_well_conditioned,2.231928597153778e-16,5.3290705182007506e-15,0.0,0.0,True
pilot,0,orthogonal,15,1.0,primary_well_conditioned,1.79030913660413e-16,5.3290705182007506e-15,0.0,0.0,True
