claim_scope,family,group_seed,method,dependent_scramble_count,independent_training_group_count,mean_relative_delta_change,max_relative_delta_change,mean_distance_from_oracle,max_distance_from_oracle,minimum_output_rank,maximum_output_rank,output_rank_cap
primary_well_conditioned,dense,0,oracle_alignment,20,1,1.0615742049451513e-15,1.3592199309038153e-15,0.0,0.0,4,4,4
primary_well_conditioned,dense,0,pairwise_reference_alignment,20,1,3.221069483453786e-14,6.687027405151245e-14,2.1248303033657168,2.12483030336577,4,4,4
primary_well_conditioned,dense,1,canonical_svd_factor_average,20,1,1.6059131611609287e-15,2.284177675101224e-15,1.1929772620274537,1.192977262027454,4,4,4
primary_well_conditioned,dense,1,cycle_aware_alignment,20,1,1.3305560223318172e-15,1.7081044474470559e-15,3.736672636802708,3.736672636802712,4,4,4
primary_well_conditioned,dense,1,full_delta_svd,20,1,1.3305560223318172e-15,1.7081044474470559e-15,3.736672636802708,3.736672636802712,4,4,4
primary_well_conditioned,dense,1,global_synchronization,20,1,6.112025915919172e-14,2.7099001206286953e-13,4.65407982970442,4.654079829705304,4,4,4
primary_well_conditioned,dense,1,naive_factor_average,20,1,7.383385898440531,9.185368449956176,7.383385898440531,9.185368449956176,4,4,4
primary_well_conditioned,dense,1,oracle_alignment,20,1,1.0547985081358098e-15,1.2155583278955598e-15,0.0,0.0,4,4,4
primary_well_conditioned,dense,1,pairwise_reference_alignment,20,1,2.6660070263295173e-14,7.666899289468747e-14,2.1657523382261337,2.165752338226151,4,4,4
primary_well_conditioned,dense,2,canonical_svd_factor_average,20,1,1.648033834439995e-15,3.1945698259365946e-15,1.0849657181070973,1.084965718107098,4,4,4
primary_well_conditioned,dense,2,cycle_aware_alignment,20,1,1.1539923566830484e-15,1.6366949176492977e-15,2.8853023458328666,2.8853023458328693,4,4,4
primary_well_conditioned,dense,2,full_delta_svd,20,1,1.1539923566830484e-15,1.6366949176492977e-15,2.8853023458328666,2.8853023458328693,4,4,4
primary_well_conditioned,dense,2,global_synchronization,20,1,3.936748106673857e-14,7.033766597022158e-14,2.463494923234794,2.463494923234826,4,4,4
primary_well_conditioned,dense,2,naive_factor_average,20,1,6.503882095708031,10.342100572484751,6.503882095708029,10.342100572484748,4,4,4
primary_well_conditioned,dense,2,oracle_alignment,20,1,9.440372460180113e-16,1.1560872443050882e-15,0.0,0.0,4,4,4
primary_well_conditioned,dense,2,pairwise_reference_alignment,20,1,2.9439799780299035e-14,8.052866614120254e-14,1.8698239962422787,1.869823996242295,4,4,4
primary_well_conditioned,dense,3,canonical_svd_factor_average,20,1,1.6717140327992589e-15,2.279585083426261e-15,1.084991838063482,1.0849918380634824,4,4,4
primary_well_conditioned,dense,3,cycle_aware_alignment,20,1,1.404577892587506e-15,2.385369418961556e-15,2.904537939772078,2.9045379397720814,4,4,4
primary_well_conditioned,dense,3,full_delta_svd,20,1,1.404577892587506e-15,2.385369418961556e-15,2.904537939772078,2.9045379397720814,4,4,4
primary_well_conditioned,dense,3,global_synchronization,20,1,2.3462364155492826e-14,3.677568349244801e-14,2.6533406282171246,2.653340628217159,4,4,4
primary_well_conditioned,dense,3,naive_factor_average,20,1,5.9150614602803495,7.35383835752501,5.9150614602803495,7.35383835752501,4,4,4
primary_well_conditioned,dense,3,oracle_alignment,20,1,1.0002496612417888e-15,1.2788373721982465e-15,0.0,0.0,4,4,4
primary_well_conditioned,dense,3,pairwise_reference_alignment,20,1,1.9786751418337373e-14,3.3908628962369913e-14,1.9963740656678168,1.9963740656678235,4,4,4
primary_well_conditioned,dense,4,canonical_svd_factor_average,20,1,1.792410405034517e-15,3.0472131903871634e-15,1.3829696753313123,1.382969675331313,4,4,4
primary_well_conditioned,dense,4,cycle_aware_alignment,20,1,1.2355615637261585e-15,2.7112702178094432e-15,3.1266480963679384,3.126648096367942,4,4,4
primary_well_conditioned,dense,4,full_delta_svd,20,1,1.2355615637261585e-15,2.7112702178094432e-15,3.1266480963679384,3.126648096367942,4,4,4
primary_well_conditioned,dense,4,global_synchronization,20,1,2.6672837920003504e-14,4.3472847172237614e-14,3.0304157580633233,3.0304157580633646,4,4,4
primary_well_conditioned,dense,4,naive_factor_average,20,1,6.1144365562197365,8.66929621822558,6.1144365562197365,8.669296218225584,4,4,4
primary_well_conditioned,dense,4,oracle_alignment,20,1,9.331699448075047e-16,1.1090967802211516e-15,0.0,0.0,4,4,4
primary_well_conditioned,dense,4,pairwise_reference_alignment,20,1,1.9980648730598183e-14,3.069803266174583e-14,2.214129953690373,2.214129953690391,4,4,4
primary_well_conditioned,orthogonal,0,canonical_svd_factor_average,20,1,8.026372226876795e-16,1.2556431414419909e-15,1.680082629420255,1.6800826294202555,4,4,4
primary_well_conditioned,orthogonal,0,cycle_aware_alignment,20,1,1.1270279115712442e-15,1.751153247821117e-15,3.567089539046028,3.5670895390460333,4,4,4
primary_well_conditioned,orthogonal,0,full_delta_svd,20,1,1.1270279115712442e-15,1.751153247821117e-15,3.567089539046028,3.5670895390460333,4,4,4
primary_well_conditioned,orthogonal,0,global_synchronization,20,1,4.443790782910015e-15,7.0457547948065355e-15,3.266957693640781,3.2669576936407925,4,4,4
primary_well_conditioned,orthogonal,0,naive_factor_average,20,1,1.292835750618186,1.625015073781832,1.2928357506181858,1.625015073781832,4,4,4
primary_well_conditioned,orthogonal,0,oracle_alignment,20,1,2.715991365160603e-16,3.462181048641676e-16,0.0,0.0,4,4,4
primary_well_conditioned,orthogonal,0,pairwise_reference_alignment,20,1,9.998074137082782e-16,1.466097683147958e-15,2.124830303365717,2.124830303365717,4,4,4
primary_well_conditioned,orthogonal,1,canonical_svd_factor_average,20,1,1.0872678266986568e-15,1.386410090405772e-15,1.192977262027454,1.192977262027454,4,4,4
primary_well_conditioned,orthogonal,1,cycle_aware_alignment,20,1,1.1593030054526989e-15,1.821813494891878e-15,3.736672636802709,3.7366726368027128,4,4,4
primary_well_conditioned,orthogonal,1,full_delta_svd,20,1,1.1593030054526989e-15,1.821813494891878e-15,3.736672636802709,3.7366726368027128,4,4,4
primary_well_conditioned,orthogonal,1,global_synchronization,20,1,8.201026486665441e-15,1.6460539746377077e-14,4.654079829704356,4.654079829704392,4,4,4
primary_well_conditioned,orthogonal,1,naive_factor_average,20,1,1.2674989994458663,1.752413056310499,1.2674989994458663,1.752413056310499,4,4,4
primary_well_conditioned,orthogonal,1,oracle_alignment,20,1,2.9131883353005866e-16,3.515258367513673e-16,0.0,0.0,4,4,4
primary_well_conditioned,orthogonal,1,pairwise_reference_alignment,20,1,1.0775618181838104e-15,1.9045240006419234e-15,2.165752338226137,2.1657523382261386,4,4,4
