family,metric,method,baseline,independent_training_group_count,paired_mean_delta,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples,statistical_unit
positive_diagonal,test_accuracy_change,full_delta_svd,naive_factor_average,5,0.013279999999999976,0.010496249999999976,0.017266249999999966,4000,independent_adapter_training_group
positive_diagonal,relative_delta_change_from_unscrambled,canonical_svd_factor_average,naive_factor_average,5,-1.7802854529821546,-1.866883061030998,-1.696731063345552,4000,independent_adapter_training_group
positive_diagonal,maximum_test_logit_change,canonical_svd_factor_average,naive_factor_average,5,-1.3528686436872934,-1.46560375538008,-1.2307041945910566,4000,independent_adapter_training_group
positive_diagonal,test_prediction_disagreement,canonical_svd_factor_average,naive_factor_average,5,-0.10078375000000002,-0.1053125,-0.09642000000000002,4000,independent_adapter_training_group
positive_diagonal,test_accuracy_change,canonical_svd_factor_average,naive_factor_average,5,0.013279999999999976,0.010496249999999974,0.017266249999999966,4000,independent_adapter_training_group
positive_diagonal,relative_delta_change_from_unscrambled,pairwise_reference_alignment,naive_factor_average,5,-1.7802854529821537,-1.8649563109159408,-1.702084860468749,4000,independent_adapter_training_group
positive_diagonal,maximum_test_logit_change,pairwise_reference_alignment,naive_factor_average,5,-1.3528686436872908,-1.4654155353333014,-1.230704194591054,4000,independent_adapter_training_group
positive_diagonal,test_prediction_disagreement,pairwise_reference_alignment,naive_factor_average,5,-0.10078375000000002,-0.1053125,-0.09641999999999999,4000,independent_adapter_training_group
positive_diagonal,test_accuracy_change,pairwise_reference_alignment,naive_factor_average,5,0.013279999999999976,0.010579999999999987,0.017266249999999966,4000,independent_adapter_training_group
positive_diagonal,relative_delta_change_from_unscrambled,global_synchronization,naive_factor_average,5,-1.7802854529821495,-1.8649563109159366,-1.702084860468745,4000,independent_adapter_training_group
positive_diagonal,maximum_test_logit_change,global_synchronization,naive_factor_average,5,-1.3528686436872766,-1.465603755380067,-1.2308924146378097,4000,independent_adapter_training_group
positive_diagonal,test_prediction_disagreement,global_synchronization,naive_factor_average,5,-0.10078375000000002,-0.10528325000000001,-0.09641999999999999,4000,independent_adapter_training_group
positive_diagonal,test_accuracy_change,global_synchronization,naive_factor_average,5,0.013279999999999976,0.010496249999999974,0.01728374999999996,4000,independent_adapter_training_group
positive_diagonal,relative_delta_change_from_unscrambled,cycle_aware_alignment,naive_factor_average,5,-1.7802854529821546,-1.866883061030998,-1.696731063345552,4000,independent_adapter_training_group
positive_diagonal,maximum_test_logit_change,cycle_aware_alignment,naive_factor_average,5,-1.3528686436872905,-1.4656037553800767,-1.2308877091366601,4000,independent_adapter_training_group
positive_diagonal,test_prediction_disagreement,cycle_aware_alignment,naive_factor_average,5,-0.10078375000000002,-0.1053125,-0.09641999999999999,4000,independent_adapter_training_group
positive_diagonal,test_accuracy_change,cycle_aware_alignment,naive_factor_average,5,0.013279999999999976,0.010496249999999976,0.01728374999999996,4000,independent_adapter_training_group
positive_diagonal,relative_delta_change_from_unscrambled,oracle_alignment,naive_factor_average,5,-1.7802854529821555,-1.8668830610309992,-1.702084860468751,4000,independent_adapter_training_group
positive_diagonal,maximum_test_logit_change,oracle_alignment,naive_factor_average,5,-1.352868643687295,-1.4654155353333056,-1.2308924146378342,4000,independent_adapter_training_group
positive_diagonal,test_prediction_disagreement,oracle_alignment,naive_factor_average,5,-0.10078375000000002,-0.1053125,-0.09641999999999999,4000,independent_adapter_training_group
positive_diagonal,test_accuracy_change,oracle_alignment,naive_factor_average,5,0.013279999999999976,0.010496249999999974,0.01728374999999996,4000,independent_adapter_training_group
dense,relative_delta_change_from_unscrambled,naive_factor_average,naive_factor_average,5,0.0,0.0,0.0,4000,independent_adapter_training_group
dense,maximum_test_logit_change,naive_factor_average,naive_factor_average,5,0.0,0.0,0.0,4000,independent_adapter_training_group
dense,test_prediction_disagreement,naive_factor_average,naive_factor_average,5,0.0,0.0,0.0,4000,independent_adapter_training_group
dense,test_accuracy_change,naive_factor_average,naive_factor_average,5,0.0,0.0,0.0,4000,independent_adapter_training_group
dense,relative_delta_change_from_unscrambled,full_delta_svd,naive_factor_average,5,-6.6752494164188105,-7.237923207095983,-6.1125756257416395,4000,independent_adapter_training_group
dense,maximum_test_logit_change,full_delta_svd,naive_factor_average,5,-5.299830343334394,-5.58879863170886,-4.998827977563727,4000,independent_adapter_training_group
dense,test_prediction_disagreement,full_delta_svd,naive_factor_average,5,-0.3594075,-0.36698624999999996,-0.352035,4000,independent_adapter_training_group
dense,test_accuracy_change,full_delta_svd,naive_factor_average,5,0.09685624999999998,0.09018374999999998,0.10452374999999996,4000,independent_adapter_training_group
