claim_scope,family,group_seed,method,dependent_scramble_count,independent_training_group_count,median_merge_seconds,p25_merge_seconds,p75_merge_seconds,minimum_merge_seconds,maximum_merge_seconds,maximum_dense_allocation_count,maximum_temporary_dense_bytes,stored_factor_bytes,output_rank_cap,failure_rate
ill_conditioned_boundary,ill_conditioned,3,pairwise_reference_alignment,8,1,0.002193561871536076,0.0021296984632499516,0.002207801560871303,0.002058417070657015,0.0022724580485373735,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,4,canonical_svd_factor_average,20,1,0.0028412500396370888,0.0028184993425384164,0.0029359793406911194,0.0027928329072892666,0.003256749827414751,8,262144,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,4,cycle_aware_alignment,6,1,0.0029598954133689404,0.002883312467020005,0.0030132292304188013,0.0028716661036014557,0.003200375009328127,9,294912,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,4,full_delta_svd,20,1,0.00047881295904517174,0.00046915619168430567,0.0005033125635236502,0.0004583748523145914,0.0005870419554412365,9,294912,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,4,global_synchronization,6,1,0.0024948124773800373,0.002489270525984466,0.002631603681948036,0.0024677079636603594,0.002868582960218191,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,4,naive_factor_average,20,1,3.8707978092134e-05,3.415648825466633e-05,3.9844249840825796e-05,3.1916890293359756e-05,4.429183900356293e-05,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,4,oracle_alignment,20,1,0.0002995004178956151,0.00028310465859249234,0.0003326042788103223,0.0002740828786045313,0.0004480830393731594,0,0,4096,4,0.0
ill_conditioned_boundary,ill_conditioned,4,pairwise_reference_alignment,6,1,0.002057104022242129,0.0020376567263156176,0.0020779266487807035,0.002032250165939331,0.00225808285176754,0,0,4096,4,0.0
primary_well_conditioned,dense,0,canonical_svd_factor_average,20,1,0.0014371875440701,0.001425521157216225,0.0014982191496528251,0.0014121669810265,0.0015880831051617,8,262144,4096,4,0.0
primary_well_conditioned,dense,0,cycle_aware_alignment,20,1,0.00280435348395255,0.0027698753401636748,0.002839114516973475,0.002751792082563,0.0028874580748379,9,294912,4096,4,0.0
primary_well_conditioned,dense,0,full_delta_svd,20,1,0.000360062578693,0.000348781293723675,0.00036883371649305,0.0003444580361247,0.0012589590623974,9,294912,4096,4,0.0
primary_well_conditioned,dense,0,global_synchronization,20,1,0.00249431258998805,0.0024706356925889,0.002570593147538575,0.0024565421044826,0.0027073749806731,0,0,4096,4,0.0
primary_well_conditioned,dense,0,naive_factor_average,20,1,3.918749280273914e-05,3.8697675336152315e-05,4.0052225813269615e-05,3.479211591184139e-05,4.52499371021986e-05,0,0,4096,4,0.0
primary_well_conditioned,dense,0,oracle_alignment,20,1,0.00031258352100845,0.0003076147404499,0.000327875430229975,0.000302999978885,0.0004063339438289,0,0,4096,4,0.0
primary_well_conditioned,dense,0,pairwise_reference_alignment,20,1,0.00205656257458025,0.002041520550847025,0.0020864059915765747,0.0020165408495813,0.0022480830084532,0,0,4096,4,0.0
primary_well_conditioned,dense,1,canonical_svd_factor_average,20,1,0.0015829160111024499,0.001454948622267675,0.001719812746159675,0.0014182089362293,0.002583707915619,8,262144,4096,4,0.0
primary_well_conditioned,dense,1,cycle_aware_alignment,20,1,0.0030068334890529,0.00285121827619145,0.0035010522115044,0.0027694159653037,0.0042459580581635,9,294912,4096,4,0.0
primary_well_conditioned,dense,1,full_delta_svd,20,1,0.0003975630970671,0.00036448938772077504,0.00041045836405825,0.0003468750510364,0.0010558338835835,9,294912,4096,4,0.0
primary_well_conditioned,dense,1,global_synchronization,20,1,0.0026631249347701504,0.0026075942441821003,0.00276597868651145,0.0025096668396145,0.003295499831438,0,0,4096,4,0.0
primary_well_conditioned,dense,1,naive_factor_average,20,1,4.0062470361590385e-05,3.846915205940604e-05,4.094775067642331e-05,3.2542040571570396e-05,0.0002481248229742,0,0,4096,4,0.0
primary_well_conditioned,dense,1,oracle_alignment,20,1,0.00034170853905375,0.000328843714669325,0.0003615938476286,0.0003061669413,0.0022625001147389,0,0,4096,4,0.0
primary_well_conditioned,dense,1,pairwise_reference_alignment,20,1,0.0021965624764561003,0.0021337081561796003,0.0023039478110149,0.0020446670241653,0.0038467911072075,0,0,4096,4,0.0
