seed,epsilon,mode,location,max_absolute_activation_error,mean_absolute_activation_error
0,0.001,eval,stem,0.0,0.0
0,0.001,eval,layer1.0.after_residual,4.172325134277344e-06,5.331974080036161e-07
0,0.001,eval,layer1.1.after_residual,8.344650268554688e-06,7.900316632003523e-07
0,0.001,eval,layer2.0.after_residual,7.62939453125e-06,6.119869340182049e-07
0,0.001,eval,layer2.1.after_residual,1.0013580322265625e-05,9.83209702098975e-07
0,0.001,eval,layer3.0.after_residual,9.298324584960938e-06,7.113612809916958e-07
0,0.001,eval,layer3.1.after_residual,1.0132789611816406e-05,9.158069360637455e-07
0,0.001,eval,layer4.0.after_residual,4.172325134277344e-06,4.556122803478502e-07
0,0.001,eval,layer4.1.after_residual,4.410743713378906e-06,4.7074686904124974e-07
0,0.001,train,stem,0.0,0.0
0,0.001,train,layer1.0.after_residual,6.198883056640625e-06,8.857286957208999e-07
0,0.001,train,layer1.1.after_residual,1.049041748046875e-05,1.3958308500150451e-06
0,0.001,train,layer2.0.after_residual,1.2159347534179688e-05,1.041170889948262e-06
0,0.001,train,layer2.1.after_residual,1.52587890625e-05,1.7611928342375904e-06
0,0.001,train,layer3.0.after_residual,2.1457672119140625e-05,1.8901123439718504e-06
0,0.001,train,layer3.1.after_residual,2.396106719970703e-05,2.9725263175350847e-06
0,0.001,train,layer4.0.after_residual,0.0001214742660522461,4.444540536496788e-06
0,0.001,train,layer4.1.after_residual,0.0002803802490234375,1.2589709513122216e-05
