setting_id,group,noise,context_budget,seed,method,accuracy,loss,ece,training_time_seconds,epochs,trainable_parameters,stored_parameters,parameter_multiplier,branch_count,candidate_count,transition_samples,router_samples,selector_validation_samples,calibration_samples,test_samples,context_mode,certificate_activated,output_type,logits_sha256,label_permutation_hash_passed,execution_commit,source_sha256,command
S3_noise0.2_budget16_seed41,S3,0.2,16,41,context_blind_synchronization,1.0,0.02548807906290447,0.02252644702822829,0.06482133315876126,24,268,268,1.0,1,1,128,16,128,128,512,supplied,False,single_model,1263667315cde3599bbb62082eb524080b4d4df0aab3312aa54cb8bd92d39c06,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed41,S3,0.2,16,41,ensemble_reference,0.99609375,0.03251491980153504,0.025525471446521064,0.1396188330836594,24,720,720,2.6865671641791047,4,1,128,16,128,128,512,supplied,False,ensemble,1263667315cde3599bbb62082eb524080b4d4df0aab3312aa54cb8bd92d39c06,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed42,S3,0.2,16,42,structured_group_retransport,1.0,0.001929751492134723,0.001891660407440873,0.06793512520380318,24,268,268,1.0,1,1,128,16,128,128,512,supplied,False,single_model,e37d8ac99b468112dfee0025431f5b546101cf274800679ba0f06443b954f311,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed42,S3,0.2,16,42,twistedmerge_diagnostic_retransport,1.0,0.002221753396563982,0.0021867657427467415,0.06781345908530056,24,268,268,1.0,1,1,128,16,128,128,512,supplied,True,single_model,e37d8ac99b468112dfee0025431f5b546101cf274800679ba0f06443b954f311,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed42,S3,0.2,16,42,generic_mixture_of_experts,1.0,0.013614191450353736,0.012950454426486156,0.23706379206851125,24,852,852,3.1791044776119404,6,1,128,16,128,128,512,supplied,False,router,e37d8ac99b468112dfee0025431f5b546101cf274800679ba0f06443b954f311,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed42,S3,0.2,16,42,generic_low_rank_context_adapter,0.998046875,0.019377901313894882,0.01515174335897503,0.07249070890247822,24,358,358,1.335820895522388,1,1,128,16,128,128,512,supplied,False,single_model,e37d8ac99b468112dfee0025431f5b546101cf274800679ba0f06443b954f311,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed42,S3,0.2,16,42,unconstrained_learned_matrix_action,1.0,0.003889725392529076,0.0034298841069475786,0.0647038328461349,24,484,484,1.8059701492537314,1,1,128,16,128,128,512,supplied,False,single_model,e37d8ac99b468112dfee0025431f5b546101cf274800679ba0f06443b954f311,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed42,S3,0.2,16,42,context_blind_synchronization,0.99609375,0.03358597978946601,0.02506203832998804,0.05934845795854926,24,268,268,1.0,1,1,128,16,128,128,512,supplied,False,single_model,e37d8ac99b468112dfee0025431f5b546101cf274800679ba0f06443b954f311,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed42,S3,0.2,16,42,ensemble_reference,0.990234375,0.04867042195180317,0.028875205373321694,0.14694987516850233,24,720,720,2.6865671641791047,4,1,128,16,128,128,512,supplied,False,ensemble,e37d8ac99b468112dfee0025431f5b546101cf274800679ba0f06443b954f311,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed43,S3,0.2,16,43,structured_group_retransport,1.0,0.0016940271354612688,0.0016781872612547932,0.05749425012618303,24,268,268,1.0,1,1,128,16,128,128,512,supplied,False,single_model,e0aa714c5851e9512dbd5565253b80bc4cbd4a1bd0562c6e3ba1f2ff25107081,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed43,S3,0.2,16,43,twistedmerge_diagnostic_retransport,1.0,0.0024098698659351034,0.0023804202792663265,0.0650885421782732,24,268,268,1.0,1,1,128,16,128,128,512,supplied,True,single_model,e0aa714c5851e9512dbd5565253b80bc4cbd4a1bd0562c6e3ba1f2ff25107081,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed43,S3,0.2,16,43,generic_mixture_of_experts,1.0,0.011439328667978237,0.010599101356201505,0.19091404206119478,24,852,852,3.1791044776119404,6,1,128,16,128,128,512,supplied,False,router,e0aa714c5851e9512dbd5565253b80bc4cbd4a1bd0562c6e3ba1f2ff25107081,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed43,S3,0.2,16,43,generic_low_rank_context_adapter,0.990234375,0.02839312214248162,0.01392997966671533,0.07088854187168181,24,358,358,1.335820895522388,1,1,128,16,128,128,512,supplied,False,single_model,e0aa714c5851e9512dbd5565253b80bc4cbd4a1bd0562c6e3ba1f2ff25107081,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed43,S3,0.2,16,43,unconstrained_learned_matrix_action,1.0,0.004057633096470731,0.0038099804708533963,0.07365262508392334,24,484,484,1.8059701492537314,1,1,128,16,128,128,512,supplied,False,single_model,e0aa714c5851e9512dbd5565253b80bc4cbd4a1bd0562c6e3ba1f2ff25107081,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed43,S3,0.2,16,43,context_blind_synchronization,0.9921875,0.03387419624722735,0.022139358450836196,0.050817790906876326,24,268,268,1.0,1,1,128,16,128,128,512,supplied,False,single_model,e0aa714c5851e9512dbd5565253b80bc4cbd4a1bd0562c6e3ba1f2ff25107081,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed43,S3,0.2,16,43,ensemble_reference,0.990234375,0.05725803445823372,0.03484558553478274,0.13365124980919063,24,720,720,2.6865671641791047,4,1,128,16,128,128,512,supplied,False,ensemble,e0aa714c5851e9512dbd5565253b80bc4cbd4a1bd0562c6e3ba1f2ff25107081,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed44,S3,0.2,16,44,structured_group_retransport,1.0,0.00214410480759214,0.0020226174748217535,0.055626667104661465,24,268,268,1.0,1,1,128,16,128,128,512,supplied,False,single_model,6e4fdb04b0732190076fbebe2389419338c25864ecc63cbb2556a19a4bfa46e6,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed44,S3,0.2,16,44,twistedmerge_diagnostic_retransport,1.0,0.0025650506493579105,0.0024671062197822438,0.06846083304844797,24,268,268,1.0,1,1,128,16,128,128,512,supplied,True,single_model,6e4fdb04b0732190076fbebe2389419338c25864ecc63cbb2556a19a4bfa46e6,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed44,S3,0.2,16,44,generic_mixture_of_experts,1.0,0.00899826755464127,0.008494278814183489,0.20355204213410616,24,852,852,3.1791044776119404,6,1,128,16,128,128,512,supplied,False,router,6e4fdb04b0732190076fbebe2389419338c25864ecc63cbb2556a19a4bfa46e6,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed44,S3,0.2,16,44,generic_low_rank_context_adapter,1.0,0.0125940020616567,0.011869416688617202,0.07096812501549721,24,358,358,1.335820895522388,1,1,128,16,128,128,512,supplied,False,single_model,6e4fdb04b0732190076fbebe2389419338c25864ecc63cbb2556a19a4bfa46e6,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed44,S3,0.2,16,44,unconstrained_learned_matrix_action,1.0,0.0035373183776698067,0.0031988255480606626,0.08212837507016957,24,484,484,1.8059701492537314,1,1,128,16,128,128,512,supplied,False,single_model,6e4fdb04b0732190076fbebe2389419338c25864ecc63cbb2556a19a4bfa46e6,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed44,S3,0.2,16,44,context_blind_synchronization,0.990234375,0.03580286984847301,0.020465268066262136,0.055114875081926584,24,268,268,1.0,1,1,128,16,128,128,512,supplied,False,single_model,6e4fdb04b0732190076fbebe2389419338c25864ecc63cbb2556a19a4bfa46e6,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed44,S3,0.2,16,44,ensemble_reference,0.998046875,0.03042278393043275,0.023624207423518777,0.13306608400307596,24,720,720,2.6865671641791047,4,1,128,16,128,128,512,supplied,False,ensemble,6e4fdb04b0732190076fbebe2389419338c25864ecc63cbb2556a19a4bfa46e6,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
