setting_id,dataset,phase,seed,method,implementation,accuracy,loss,ece,chart_accuracy,chart_cross_entropy,task_accuracy_correct_chart,task_accuracy_incorrect_chart,chart_training_examples,router_samples,selector_validation_examples,calibration_examples,test_examples,trainable_parameters,stored_parameters,parameter_multiplier,branch_count,candidate_count,training_time_seconds,batch_size,context_mode,certificate_activated,output_type,abstention_threshold,coverage,logits_sha256,label_permutation_hash_passed,execution_commit,source_sha256,command
FashionMNIST_discovery_seed0,FashionMNIST,discovery,0,supplied_chart_oracle,diagnostic_control,0.7385,0.713208040495604,0.02165563843205509,0.16899999976158142,12.800192832946777,0.7396449446678162,0.7382671236991882,1000,1000,500,500,2000,0,58024,1.0,8,1,3.705563207855448,128,supplied,False,branch_model,,1.0,cda28874673b075450da0cfaf00e7b18d156c340c8dd143e8774a432bf28246e,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4b91ed8f840589f7ea8075710f37adaf11109b370654a73d65fd4f8f18b4ede2,python experiments/trained_chart_inference.py
FashionMNIST_discovery_seed0,FashionMNIST,discovery,0,random_action_control,diagnostic_control,0.265,4.200728325938387,0.42223925433348364,0.16899999976158142,12.800192832946777,0.2751479148864746,0.26293623447418213,1000,1000,500,500,2000,0,58024,1.0,8,1,3.705563207855448,128,inferred,False,branch_model,,1.0,cda28874673b075450da0cfaf00e7b18d156c340c8dd143e8774a432bf28246e,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4b91ed8f840589f7ea8075710f37adaf11109b370654a73d65fd4f8f18b4ede2,python experiments/trained_chart_inference.py
FashionMNIST_discovery_seed0,FashionMNIST,discovery,0,wrong_action_control,diagnostic_control,0.1045,6.0517596848997695,0.6461107327446142,0.6685000061988831,12.800192832946777,0.05160807818174362,0.21116138994693756,1000,1000,500,500,2000,0,58024,1.0,8,1,9.922145416028798,128,inferred,False,branch_model,,1.0,cda28874673b075450da0cfaf00e7b18d156c340c8dd143e8774a432bf28246e,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4b91ed8f840589f7ea8075710f37adaf11109b370654a73d65fd4f8f18b4ede2,python experiments/trained_chart_inference.py
FashionMNIST_discovery_seed0,FashionMNIST,discovery,0,ensemble_reference,trained_neural,0.2145,2.2992092153163872,0.20022071400947772,0.16899999976158142,12.800192832946777,0.13905325531959534,0.22984355688095093,1000,1000,500,500,2000,0,58024,1.0,8,1,3.705563207855448,128,none,False,ensemble,,1.0,cda28874673b075450da0cfaf00e7b18d156c340c8dd143e8774a432bf28246e,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4b91ed8f840589f7ea8075710f37adaf11109b370654a73d65fd4f8f18b4ede2,python experiments/trained_chart_inference.py
FashionMNIST_discovery_seed1,FashionMNIST,discovery,1,context_blind_synchronization,trained_neural,0.229,2.3753142463296744,0.2272604708064504,0.1665000021457672,10.804603576660156,0.13513512909412384,0.2477504462003708,1000,1000,500,500,2000,0,58024,1.0,8,1,3.3007883331738412,128,none,False,branch_model,,1.0,4e50eed61d4fd6d1011bd7a5508753e8dc162aadccdd861c50a87652da2c4331,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4b91ed8f840589f7ea8075710f37adaf11109b370654a73d65fd4f8f18b4ede2,python experiments/trained_chart_inference.py
FashionMNIST_discovery_seed1,FashionMNIST,discovery,1,standard_cnn_chart_classifier,trained_neural,0.2205,2.8146138427725123,0.32632862134135215,0.1665000021457672,10.804603576660156,0.3633633553981781,0.1919616013765335,1000,1000,500,500,2000,12152,70176,1.2094305804494692,8,1,3.6357489991933107,128,inferred,False,branch_model,,1.0,4e50eed61d4fd6d1011bd7a5508753e8dc162aadccdd861c50a87652da2c4331,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4b91ed8f840589f7ea8075710f37adaf11109b370654a73d65fd4f8f18b4ede2,python experiments/trained_chart_inference.py
FashionMNIST_discovery_seed1,FashionMNIST,discovery,1,parameter_matched_standard_cnn_chart_classifier,trained_neural,0.218,2.888153342733706,0.3394568434531987,0.15049999952316284,10.804603576660156,0.40199336409568787,0.18540318310260773,1000,1000,500,500,2000,9768,67792,1.1683441334620157,8,1,3.62543158326298,128,inferred,False,branch_model,,1.0,4e50eed61d4fd6d1011bd7a5508753e8dc162aadccdd861c50a87652da2c4331,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4b91ed8f840589f7ea8075710f37adaf11109b370654a73d65fd4f8f18b4ede2,python experiments/trained_chart_inference.py
FashionMNIST_discovery_seed1,FashionMNIST,discovery,1,generic_mixture_of_experts,trained_neural,0.2205,2.8146138427725123,0.32632862134135215,0.1665000021457672,10.804603576660156,0.3633633553981781,0.1919616013765335,1000,1000,500,500,2000,12152,70176,1.2094305804494692,8,1,3.6357489991933107,128,inferred,False,router,,1.0,4e50eed61d4fd6d1011bd7a5508753e8dc162aadccdd861c50a87652da2c4331,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4b91ed8f840589f7ea8075710f37adaf11109b370654a73d65fd4f8f18b4ede2,python experiments/trained_chart_inference.py
FashionMNIST_discovery_seed1,FashionMNIST,discovery,1,generic_low_rank_context_adapter,trained_neural,0.369,1.8941009807342641,0.08698077039194102,0.1665000021457672,10.804603576660156,0.6156156063079834,0.3197360634803772,1000,1000,500,500,2000,19282,77306,1.3323107679580863,1,1,5.376796124037355,128,inferred,False,branch_model,,1.0,4e50eed61d4fd6d1011bd7a5508753e8dc162aadccdd861c50a87652da2c4331,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4b91ed8f840589f7ea8075710f37adaf11109b370654a73d65fd4f8f18b4ede2,python experiments/trained_chart_inference.py
FashionMNIST_discovery_seed1,FashionMNIST,discovery,1,trained_d4_equivariant_cnn_chart_classifier,trained_neural,0.682,0.9865657658715791,0.03950259892205028,0.6589999794960022,0.8495696187019348,0.7792109251022339,0.49413490295410156,1000,1000,500,500,2000,3913,61937,1.0674376120226112,8,1,10.019622458145022,128,inferred,True,branch_model,,1.0,4e50eed61d4fd6d1011bd7a5508753e8dc162aadccdd861c50a87652da2c4331,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4b91ed8f840589f7ea8075710f37adaf11109b370654a73d65fd4f8f18b4ede2,python experiments/trained_chart_inference.py
FashionMNIST_discovery_seed1,FashionMNIST,discovery,1,structured_group_router,trained_neural,0.682,0.9865657658715791,0.03950259892205028,0.6589999794960022,0.8495696187019348,0.7792109251022339,0.49413490295410156,1000,1000,500,500,2000,3913,61937,1.0674376120226112,8,1,10.019622458145022,128,inferred,True,router,,1.0,4e50eed61d4fd6d1011bd7a5508753e8dc162aadccdd861c50a87652da2c4331,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4b91ed8f840589f7ea8075710f37adaf11109b370654a73d65fd4f8f18b4ede2,python experiments/trained_chart_inference.py
FashionMNIST_discovery_seed1,FashionMNIST,discovery,1,canonicalize_pool_retransport_inferred,trained_neural,0.68,1.129588050652936,0.023675395974030452,0.6589999794960022,0.8495696187019348,0.7875568866729736,0.47214075922966003,1000,1000,500,500,2000,3913,61937,1.0674376120226112,8,1,10.019622458145022,128,inferred,True,branch_model,,1.0,4e50eed61d4fd6d1011bd7a5508753e8dc162aadccdd861c50a87652da2c4331,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4b91ed8f840589f7ea8075710f37adaf11109b370654a73d65fd4f8f18b4ede2,python experiments/trained_chart_inference.py
FashionMNIST_discovery_seed1,FashionMNIST,discovery,1,uncertainty_weighted_structured_retransport,trained_neural,0.655,1.0183999399083576,0.0504598178626094,0.6589999794960022,0.8495696187019348,0.7549316883087158,0.46187683939933777,1000,1000,500,500,2000,3913,61937,1.0674376120226112,8,1,10.019622458145022,128,inferred,True,branch_model,,1.0,4e50eed61d4fd6d1011bd7a5508753e8dc162aadccdd861c50a87652da2c4331,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,4b91ed8f840589f7ea8075710f37adaf11109b370654a73d65fd4f8f18b4ede2,python experiments/trained_chart_inference.py
