setting_id,group,noise,context_budget,seed,method,batch_size,preprocessing_latency_ms,router_latency_ms,total_inference_latency_ms,cold_start_ms,latency_median_ms,latency_q1_ms,latency_q3_ms,peak_process_memory_mb,peak_mps_memory_mb,warmups,timed_repetitions,stored_parameters,trainable_parameters,branch_count,calibration_cost_samples,context_training_samples,training_time_seconds,flops,measurement_type,execution_commit,source_sha256,command
S3_noise0.2_budget16_seed40,S3,0.2,16,40,generic_mixture_of_experts,32,0.000500120222568512,0.034333555959165096,0.11629157233983278,0.6911661475896835,0.11629157233983278,0.09892665548250079,0.12388546019792557,219.8125,0.375,10,100,852,852,6,128,16,0.2589337502140552,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,generic_mixture_of_experts,128,0.0005420297384262085,0.03764557186514139,0.13052101712673903,0.378916971385479,0.13052101712673903,0.11888548033311963,0.1383543130941689,219.8125,0.375,10,100,852,852,6,128,16,0.2589337502140552,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,generic_low_rank_context_adapter,1,0.0005834735929965973,0.0014170072972774506,0.016625039279460907,0.8242088370025158,0.016625039279460907,0.01650000922381878,0.01687486656010151,219.8125,0.375,10,100,358,358,1,128,16,0.07783387508243322,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,generic_low_rank_context_adapter,8,0.0005420297384262085,0.001333886757493019,0.017249956727027893,0.1862079370766878,0.017249956727027893,0.017124926671385765,0.01764576882123947,219.8125,0.375,10,100,358,358,1,128,16,0.07783387508243322,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,generic_low_rank_context_adapter,32,0.000500120222568512,0.0012919772416353226,0.021396088413894176,0.14720787294209003,0.021396088413894176,0.02018711529672146,0.022084044758230448,219.8125,0.375,10,100,358,358,1,128,16,0.07783387508243322,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,generic_low_rank_context_adapter,128,0.000500120222568512,0.0013329554349184036,0.024104025214910507,0.16362499445676804,0.024104025214910507,0.023489585146307945,0.02495787339285016,219.8125,0.375,10,100,358,358,1,128,16,0.07783387508243322,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,unconstrained_learned_matrix_action,1,0.000541098415851593,0.001375097781419754,0.017208512872457504,0.23062480613589287,0.017208512872457504,0.01708389027044177,0.01737498678267002,219.8125,0.375,10,100,484,484,1,128,16,0.08061758289113641,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,unconstrained_learned_matrix_action,8,0.0005420297384262085,0.001375097781419754,0.01795799471437931,0.2657079603523016,0.01795799471437931,0.017822720110416412,0.018165912479162216,219.8125,0.375,10,100,484,484,1,128,16,0.08061758289113641,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,unconstrained_learned_matrix_action,32,0.0005420297384262085,0.0013329554349184036,0.023353961296379566,0.18104095943272114,0.023353961296379566,0.02282269997522235,0.023552216589450836,219.8125,0.375,10,100,484,484,1,128,16,0.08061758289113641,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
S3_noise0.2_budget16_seed40,S3,0.2,16,40,unconstrained_learned_matrix_action,128,0.000500120222568512,0.001333886757493019,0.05222903564572334,0.25500007905066013,0.05222903564572334,0.04113576142117381,0.05609355866909027,219.8125,0.375,10,100,484,484,1,128,16,0.08061758289113641,unavailable_no_model_aware_counter_installed,end_to_end_torch_cpu,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,python experiments/end_to_end_controlled_cost.py
