setting_id,phase,seed,threshold,coverage,covered_task_accuracy
FashionMNIST_discovery_seed0,discovery,0,0.1711186170578003,0.9965000152587891,0.6808831095695496
FashionMNIST_discovery_seed0,discovery,0,0.38199350237846375,0.8495000004768372,0.7216009497642517
FashionMNIST_discovery_seed0,discovery,0,0.4590878486633301,0.784500002861023,0.7444232106208801
FashionMNIST_discovery_seed0,discovery,0,0.5049203038215637,0.737500011920929,0.7572881579399109
FashionMNIST_discovery_seed0,discovery,0,0.5273596048355103,0.7049999833106995,0.7602837085723877
FashionMNIST_discovery_seed0,discovery,0,0.5615065097808838,0.6554999947547913,0.7681159377098083
FashionMNIST_discovery_seed0,discovery,0,0.5994928479194641,0.5995000004768372,0.7748123407363892
FashionMNIST_discovery_seed0,discovery,0,0.6448822617530823,0.5519999861717224,0.7835144996643066
FashionMNIST_discovery_seed0,discovery,0,0.6709062457084656,0.5235000252723694,0.789875864982605
FashionMNIST_discovery_seed0,discovery,0,0.7123880982398987,0.4805000126361847,0.7991675138473511
FashionMNIST_discovery_seed0,discovery,0,0.7635871171951294,0.4300000071525574,0.815116286277771
FashionMNIST_discovery_seed0,discovery,0,0.8117014169692993,0.3815000057220459,0.8256880640983582
FashionMNIST_discovery_seed0,discovery,0,0.8490749597549438,0.3375000059604645,0.8207407593727112
FashionMNIST_discovery_seed0,discovery,0,0.8913191556930542,0.2745000123977661,0.8306010961532593
FashionMNIST_discovery_seed0,discovery,0,0.9261046051979065,0.21299999952316284,0.8333333134651184
FashionMNIST_discovery_seed0,discovery,0,0.9411859512329102,0.18250000476837158,0.8383561372756958
FashionMNIST_discovery_seed0,discovery,0,0.9551677107810974,0.1535000056028366,0.8403908610343933
FashionMNIST_discovery_seed0,discovery,0,0.9708224534988403,0.1080000028014183,0.8657407164573669
FashionMNIST_discovery_seed0,discovery,0,0.9831048250198364,0.06849999725818634,0.8686131238937378
FashionMNIST_discovery_seed0,discovery,0,0.9937242865562439,0.026499999687075615,0.9622641801834106
FashionMNIST_discovery_seed0,discovery,0,0.9999828338623047,0.0010000000474974513,1.0
FashionMNIST_discovery_seed1,discovery,1,0.2597736120223999,0.9470000267028809,0.6964097023010254
FashionMNIST_discovery_seed1,discovery,1,0.3636086583137512,0.8525000214576721,0.7249267101287842
FashionMNIST_discovery_seed1,discovery,1,0.42036324739456177,0.8109999895095825,0.7385943531990051
FashionMNIST_discovery_seed1,discovery,1,0.4878993034362793,0.7544999718666077,0.7601060271263123
FashionMNIST_discovery_seed1,discovery,1,0.5259281992912292,0.6990000009536743,0.770386278629303
FashionMNIST_discovery_seed1,discovery,1,0.5519896745681763,0.6570000052452087,0.7823439836502075
FashionMNIST_discovery_seed1,discovery,1,0.5774409174919128,0.6244999766349792,0.7870296239852905
FashionMNIST_discovery_seed1,discovery,1,0.6059532165527344,0.5864999890327454,0.7945439219474792
FashionMNIST_discovery_seed1,discovery,1,0.6301832795143127,0.5590000152587891,0.7978532910346985
FashionMNIST_discovery_seed1,discovery,1,0.6743162870407104,0.5105000138282776,0.8099902272224426
FashionMNIST_discovery_seed1,discovery,1,0.7091860771179199,0.47200000286102295,0.820974588394165
FashionMNIST_discovery_seed1,discovery,1,0.7588003873825073,0.421999990940094,0.8353080749511719
FashionMNIST_discovery_seed1,discovery,1,0.8118883967399597,0.3720000088214874,0.8534946441650391
FashionMNIST_discovery_seed1,discovery,1,0.8563969731330872,0.32600000500679016,0.8650306463241577
FashionMNIST_discovery_seed1,discovery,1,0.9101846814155579,0.26600000262260437,0.8740601539611816
FashionMNIST_discovery_seed1,discovery,1,0.9425959587097168,0.21050000190734863,0.8859857320785522
FashionMNIST_discovery_seed1,discovery,1,0.9585246443748474,0.17599999904632568,0.9005681872367859
FashionMNIST_discovery_seed1,discovery,1,0.9748741984367371,0.1340000033378601,0.9179104566574097
FashionMNIST_discovery_seed1,discovery,1,0.9871366620063782,0.08299999684095383,0.9397590160369873
FashionMNIST_discovery_seed1,discovery,1,0.9943607449531555,0.0364999994635582,0.9726027250289917
FashionMNIST_discovery_seed1,discovery,1,0.9998548030853271,0.0,nan
FashionMNIST_discovery_seed2,discovery,2,0.22101086378097534,0.9670000076293945,0.7057911157608032
FashionMNIST_discovery_seed2,discovery,2,0.3803575932979584,0.8335000276565552,0.7426514625549316
FashionMNIST_discovery_seed2,discovery,2,0.46891045570373535,0.7645000219345093,0.7612819075584412
FashionMNIST_discovery_seed2,discovery,2,0.5100646018981934,0.7085000276565552,0.7628793120384216
FashionMNIST_discovery_seed2,discovery,2,0.5345325469970703,0.6654999852180481,0.7731029391288757
FashionMNIST_discovery_seed2,discovery,2,0.555429220199585,0.6324999928474426,0.7849802374839783
FashionMNIST_discovery_seed2,discovery,2,0.5860567688941956,0.5954999923706055,0.7951301336288452
FashionMNIST_discovery_seed2,discovery,2,0.6140947937965393,0.5615000128746033,0.8023152351379395
