method,settings,mean_accuracy,mean_stored_parameters,mean_latency_batch32_ms,mean_training_time_seconds
context_blind_synchronization,40,0.91083984375,292.0,0.013384319026954472,0.05917988222790882
ensemble_reference,40,0.9140625,784.0,0.05763336084783077,0.15781459588906727
generic_low_rank_context_adapter,40,0.955029296875,385.0,0.021337909856811166,0.07678078230819665
generic_mixture_of_experts,40,0.966357421875,1098.0,0.12213706795591861,0.28341925421264025
structured_group_retransport,40,0.978466796875,292.0,0.0259281019680202,0.07012408431037329
twistedmerge_diagnostic_retransport,40,0.9779296875,292.0,0.06345728470478207,0.08361056573339738
unconstrained_learned_matrix_action,40,0.965673828125,656.0,0.025533809093758464,0.06827658640686422
