setting_id,phase,seed,method,batch_size,latency_ms,peak_process_memory_mb,peak_mps_memory_mb,training_time_seconds,trainable_parameters,stored_parameters
FashionMNIST_discovery_seed3,discovery,3,generic_low_rank_context_adapter,128,4.5549796195700765,688.828125,1099.28125,4.774204209214076,19282,77306
FashionMNIST_discovery_seed3,discovery,3,trained_d4_equivariant_cnn_chart_classifier,128,18.355854554101825,688.828125,1099.28125,8.237982334336266,3913,61937
FashionMNIST_discovery_seed3,discovery,3,structured_group_router,128,18.700270913541317,688.828125,1099.28125,8.237982334336266,3913,61937
FashionMNIST_discovery_seed3,discovery,3,canonicalize_pool_retransport_inferred,128,18.918916466645896,688.828125,1099.28125,8.237982334336266,3913,61937
FashionMNIST_discovery_seed3,discovery,3,uncertainty_weighted_structured_retransport,128,17.87612505722791,688.828125,1099.28125,8.237982334336266,3913,61937
FashionMNIST_discovery_seed3,discovery,3,chart_abstaining_structured_retransport,128,17.34356244560331,688.828125,1099.28125,8.237982334336266,3913,61937
FashionMNIST_discovery_seed3,discovery,3,supplied_chart_oracle,128,0.0,688.828125,,2.3026778341736645,0,58024
FashionMNIST_discovery_seed3,discovery,3,random_action_control,128,0.0,688.828125,,2.3026778341736645,0,58024
FashionMNIST_discovery_seed3,discovery,3,wrong_action_control,128,0.0,688.828125,,8.237982334336266,0,58024
FashionMNIST_discovery_seed3,discovery,3,ensemble_reference,128,0.0,688.828125,,2.3026778341736645,0,58024
FashionMNIST_discovery_seed4,discovery,4,context_blind_synchronization,128,0.0,688.828125,,6.815661959350109,0,58024
FashionMNIST_discovery_seed4,discovery,4,standard_cnn_chart_classifier,128,1.8194795120507479,688.828125,1099.28125,7.184814126463607,12152,70176
FashionMNIST_discovery_seed4,discovery,4,parameter_matched_standard_cnn_chart_classifier,128,1.6711453208699822,688.828125,1099.28125,7.141050584381446,9768,67792
FashionMNIST_discovery_seed4,discovery,4,generic_mixture_of_experts,128,1.7033335752785206,688.828125,1099.28125,7.184814126463607,12152,70176
FashionMNIST_discovery_seed4,discovery,4,generic_low_rank_context_adapter,128,1.6660209512338042,688.828125,1099.28125,8.146357126533985,19282,77306
FashionMNIST_discovery_seed4,discovery,4,trained_d4_equivariant_cnn_chart_classifier,128,11.914708535186946,688.828125,1099.28125,11.63497037626803,3913,61937
FashionMNIST_discovery_seed4,discovery,4,structured_group_router,128,11.96237513795495,688.828125,1099.28125,11.63497037626803,3913,61937
FashionMNIST_discovery_seed4,discovery,4,canonicalize_pool_retransport_inferred,128,12.45922944508493,688.828125,1099.28125,11.63497037626803,3913,61937
FashionMNIST_discovery_seed4,discovery,4,uncertainty_weighted_structured_retransport,128,11.772312456741929,688.828125,1099.28125,11.63497037626803,3913,61937
FashionMNIST_discovery_seed4,discovery,4,chart_abstaining_structured_retransport,128,11.757145985029638,688.828125,1099.28125,11.63497037626803,3913,61937
FashionMNIST_discovery_seed4,discovery,4,supplied_chart_oracle,128,0.0,688.828125,,6.815661959350109,0,58024
FashionMNIST_discovery_seed4,discovery,4,random_action_control,128,0.0,688.828125,,6.815661959350109,0,58024
FashionMNIST_discovery_seed4,discovery,4,wrong_action_control,128,0.0,688.828125,,11.63497037626803,0,58024
FashionMNIST_discovery_seed4,discovery,4,ensemble_reference,128,0.0,688.828125,,6.815661959350109,0,58024
FashionMNIST_confirmation_seed5,confirmation,5,context_blind_synchronization,128,0.0,688.828125,,3.400110167451203,0,58024
FashionMNIST_confirmation_seed5,confirmation,5,standard_cnn_chart_classifier,128,1.535375020466745,688.828125,1099.28125,3.641800209414214,12152,70176
FashionMNIST_confirmation_seed5,confirmation,5,parameter_matched_standard_cnn_chart_classifier,128,1.4959580730646849,688.828125,1099.28125,3.6483872924000025,9768,67792
FashionMNIST_confirmation_seed5,confirmation,5,generic_mixture_of_experts,128,1.8987915245816112,688.828125,1099.28125,3.641800209414214,12152,70176
FashionMNIST_confirmation_seed5,confirmation,5,generic_low_rank_context_adapter,128,1.8925624899566174,688.828125,1099.28125,4.7528735843952745,19282,77306
FashionMNIST_confirmation_seed5,confirmation,5,trained_d4_equivariant_cnn_chart_classifier,128,11.2079584505409,688.828125,1099.28125,9.055119084427133,3913,61937
FashionMNIST_confirmation_seed5,confirmation,5,structured_group_router,128,11.37391699012369,688.828125,1099.28125,9.055119084427133,3913,61937
FashionMNIST_confirmation_seed5,confirmation,5,canonicalize_pool_retransport_inferred,128,10.978457983583212,688.828125,1099.28125,9.055119084427133,3913,61937
FashionMNIST_confirmation_seed5,confirmation,5,uncertainty_weighted_structured_retransport,128,12.083645444363356,688.828125,1099.28125,9.055119084427133,3913,61937
FashionMNIST_confirmation_seed5,confirmation,5,chart_abstaining_structured_retransport,128,12.972562457434833,688.828125,1099.28125,9.055119084427133,3913,61937
FashionMNIST_confirmation_seed5,confirmation,5,supplied_chart_oracle,128,0.0,688.828125,,3.400110167451203,0,58024
FashionMNIST_confirmation_seed5,confirmation,5,random_action_control,128,0.0,688.828125,,3.400110167451203,0,58024
FashionMNIST_confirmation_seed5,confirmation,5,wrong_action_control,128,0.0,688.828125,,9.055119084427133,0,58024
FashionMNIST_confirmation_seed5,confirmation,5,ensemble_reference,128,0.0,688.828125,,3.400110167451203,0,58024
FashionMNIST_confirmation_seed6,confirmation,6,context_blind_synchronization,128,0.0,688.828125,,2.3834294157568365,0,58024
FashionMNIST_confirmation_seed6,confirmation,6,standard_cnn_chart_classifier,128,1.3475834857672453,688.828125,1099.28125,2.6001316658221185,12152,70176
FashionMNIST_confirmation_seed6,confirmation,6,parameter_matched_standard_cnn_chart_classifier,128,1.1443544644862413,688.828125,1099.28125,2.675637499662116,9768,67792
FashionMNIST_confirmation_seed6,confirmation,6,generic_mixture_of_experts,128,1.545854494906962,688.828125,1099.28125,2.6001316658221185,12152,70176
FashionMNIST_confirmation_seed6,confirmation,6,generic_low_rank_context_adapter,128,1.4831458684056997,688.828125,1099.28125,3.9176395828835666,19282,77306
FashionMNIST_confirmation_seed6,confirmation,6,trained_d4_equivariant_cnn_chart_classifier,128,17.745729419402778,688.828125,1099.28125,8.101369290612638,3913,61937
FashionMNIST_confirmation_seed6,confirmation,6,structured_group_router,128,16.682041459716856,688.828125,1099.28125,8.101369290612638,3913,61937
FashionMNIST_confirmation_seed6,confirmation,6,canonicalize_pool_retransport_inferred,128,16.69106201734394,688.828125,1099.28125,8.101369290612638,3913,61937
FashionMNIST_confirmation_seed6,confirmation,6,uncertainty_weighted_structured_retransport,128,16.46891701966524,688.828125,1099.28125,8.101369290612638,3913,61937
FashionMNIST_confirmation_seed6,confirmation,6,chart_abstaining_structured_retransport,128,18.53185403160751,688.828125,1099.28125,8.101369290612638,3913,61937
FashionMNIST_confirmation_seed6,confirmation,6,supplied_chart_oracle,128,0.0,688.828125,,2.3834294157568365,0,58024
FashionMNIST_confirmation_seed6,confirmation,6,random_action_control,128,0.0,688.828125,,2.3834294157568365,0,58024
FashionMNIST_confirmation_seed6,confirmation,6,wrong_action_control,128,0.0,688.828125,,8.101369290612638,0,58024
FashionMNIST_confirmation_seed6,confirmation,6,ensemble_reference,128,0.0,688.828125,,2.3834294157568365,0,58024
FashionMNIST_confirmation_seed7,confirmation,7,context_blind_synchronization,128,0.0,688.828125,,4.538932749768719,0,58024
FashionMNIST_confirmation_seed7,confirmation,7,standard_cnn_chart_classifier,128,1.8541041063144803,688.828125,1099.28125,5.115851332666352,12152,70176
FashionMNIST_confirmation_seed7,confirmation,7,parameter_matched_standard_cnn_chart_classifier,128,1.5250630676746368,688.828125,1099.28125,4.978203499922529,9768,67792
FashionMNIST_confirmation_seed7,confirmation,7,generic_mixture_of_experts,128,1.6594590852037072,688.828125,1099.28125,5.115851332666352,12152,70176
FashionMNIST_confirmation_seed7,confirmation,7,generic_low_rank_context_adapter,128,1.3527499977499247,688.828125,1099.28125,6.353687832597643,19282,77306
FashionMNIST_confirmation_seed7,confirmation,7,trained_d4_equivariant_cnn_chart_classifier,128,16.58583350945264,688.828125,1099.28125,14.230379333719611,3913,61937
FashionMNIST_confirmation_seed7,confirmation,7,structured_group_router,128,17.939249519258738,688.828125,1099.28125,14.230379333719611,3913,61937
FashionMNIST_confirmation_seed7,confirmation,7,canonicalize_pool_retransport_inferred,128,34.901541541330516,688.828125,1099.28125,14.230379333719611,3913,61937
