evidence_label,mode,corpus_seed,case_name,period,predicted_index,candidate_capacity,capacity_divisible_by_index,method,adapter_rank,branches,active_local_adapter_parameters,controlled_carrier_parameters,stored_carrier_bytes,parameter_multiplier_vs_shared_corpus,inference_multiplier,latency_ms_for_complete_test_tensor,estimated_peak_tensor_bytes,new_adapter_training,test_labels_used_before_logits_saved,projective_relation_residual,unitarity_residual,combined_structural_residual
controlled_on_real_features,confirmatory,0,period2_index2,2,2,1,False,ordinary_same_capacity,4,8,9296,0,64,1.0,8.0,3.922125091776252,320000,False,False,0.0,1.0,1.0
controlled_on_real_features,confirmatory,0,period2_index2,2,2,1,False,coherent_projective_lift,4,8,9296,0,64,1.0,8.0,4.266041098162532,320000,False,False,0.0,1.0,1.0
controlled_on_real_features,confirmatory,0,period2_index2,2,2,1,False,parameter_matched_generic_unitary,4,8,9296,0,64,1.0,8.0,1.0227910242974758,320000,False,False,0.0,1.0,1.0
controlled_on_real_features,confirmatory,0,period2_index2,2,2,1,False,random_branch_control,4,8,9296,0,64,1.0,8.0,0.9720830712467432,320000,False,False,0.0,1.0,1.0
controlled_on_real_features,confirmatory,0,period2_index2,2,2,1,False,wrong_cocycle_control,4,8,9296,0,64,1.0,8.0,0.9682499803602695,320000,False,False,0.0,1.0,1.0
controlled_on_real_features,confirmatory,0,period2_index2,2,2,1,False,wrong_projective_representation,4,8,9296,0,64,1.0,8.0,0.9608329273760319,320000,False,False,0.0,1.0,1.0
controlled_on_real_features,confirmatory,0,period2_index2,2,2,1,False,ensemble_upper_bound,4,8,9296,0,64,1.0,8.0,0.6965841166675091,320000,False,False,0.0,1.0,1.0
controlled_on_real_features,confirmatory,0,period2_index2,2,2,1,False,oracle_coherent_lift,4,8,9296,0,64,1.0,8.0,4.597916966304183,320000,False,False,0.0,1.0,1.0
controlled_on_real_features,confirmatory,0,period2_index2,2,2,2,True,ordinary_same_capacity,4,8,9296,0,256,1.0,8.0,1.4230411034077406,320000,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,confirmatory,0,period2_index2,2,2,2,True,coherent_projective_lift,4,8,9296,0,256,1.0,8.0,3.524000057950616,320000,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,confirmatory,0,period2_index2,2,2,2,True,parameter_matched_generic_unitary,4,8,9296,0,256,1.0,8.0,3.678208915516734,320000,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,confirmatory,0,period2_index2,2,2,2,True,random_branch_control,4,8,9296,0,256,1.0,8.0,3.423375077545643,320000,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,confirmatory,0,period2_index2,2,2,2,True,wrong_cocycle_control,4,8,9296,0,256,1.0,8.0,3.4135410096496344,320000,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,confirmatory,0,period2_index2,2,2,2,True,wrong_projective_representation,4,8,9296,0,256,1.0,8.0,3.448957810178399,320000,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,confirmatory,0,period2_index2,2,2,2,True,ensemble_upper_bound,4,8,9296,0,256,1.0,8.0,0.048083020374178886,320000,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,confirmatory,0,period2_index2,2,2,2,True,oracle_coherent_lift,4,8,9296,0,256,1.0,8.0,3.4687919542193413,320000,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,confirmatory,0,period2_index2,2,2,3,False,ordinary_same_capacity,4,8,9296,0,576,1.0,8.0,1.580249983817339,320000,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
controlled_on_real_features,confirmatory,0,period2_index2,2,2,3,False,coherent_projective_lift,4,8,9296,0,576,1.0,8.0,4.166333004832268,320000,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
controlled_on_real_features,confirmatory,0,period2_index2,2,2,3,False,parameter_matched_generic_unitary,4,8,9296,0,576,1.0,8.0,4.116666968911886,320000,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
controlled_on_real_features,confirmatory,0,period2_index2,2,2,3,False,random_branch_control,4,8,9296,0,576,1.0,8.0,4.098000004887581,320000,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
controlled_on_real_features,confirmatory,0,period2_index2,2,2,3,False,wrong_cocycle_control,4,8,9296,0,576,1.0,8.0,4.09337505698204,320000,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
controlled_on_real_features,confirmatory,0,period2_index2,2,2,3,False,wrong_projective_representation,4,8,9296,0,576,1.0,8.0,4.084167070686817,320000,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
controlled_on_real_features,confirmatory,0,period2_index2,2,2,3,False,ensemble_upper_bound,4,8,9296,0,576,1.0,8.0,0.05470891483128071,320000,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
controlled_on_real_features,confirmatory,0,period2_index2,2,2,3,False,oracle_coherent_lift,4,8,9296,0,576,1.0,8.0,3.490749979391694,320000,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
controlled_on_real_features,confirmatory,0,period2_index2,2,2,4,True,ordinary_same_capacity,4,8,9296,0,1024,1.0,8.0,1.8799160607159138,320000,False,False,4.371138828673793e-08,0.0,4.371138828673793e-08
controlled_on_real_features,confirmatory,0,period2_index2,2,2,4,True,coherent_projective_lift,4,8,9296,0,1024,1.0,8.0,4.206749843433499,320000,False,False,4.371138828673793e-08,0.0,4.371138828673793e-08
controlled_on_real_features,confirmatory,0,period2_index2,2,2,4,True,parameter_matched_generic_unitary,4,8,9296,0,1024,1.0,8.0,4.187458194792271,320000,False,False,4.371138828673793e-08,0.0,4.371138828673793e-08
controlled_on_real_features,confirmatory,0,period2_index2,2,2,4,True,random_branch_control,4,8,9296,0,1024,1.0,8.0,4.161708056926727,320000,False,False,4.371138828673793e-08,0.0,4.371138828673793e-08
controlled_on_real_features,confirmatory,0,period2_index2,2,2,4,True,wrong_cocycle_control,4,8,9296,0,1024,1.0,8.0,4.119915887713432,320000,False,False,4.371138828673793e-08,0.0,4.371138828673793e-08
controlled_on_real_features,confirmatory,0,period2_index2,2,2,4,True,wrong_projective_representation,4,8,9296,0,1024,1.0,8.0,4.1686249896883965,320000,False,False,4.371138828673793e-08,0.0,4.371138828673793e-08
controlled_on_real_features,confirmatory,0,period2_index2,2,2,4,True,ensemble_upper_bound,4,8,9296,0,1024,1.0,8.0,0.024624867364764214,320000,False,False,4.371138828673793e-08,0.0,4.371138828673793e-08
