exact_command,execution_commit,source_sha256,seed_scope,dataset_revision_or_checksum,start_time,runtime_seconds,exit_code,state,factual_summary
python experiments/exact_mask_retransport.py,69dc6182d9fc1675a198380225f71c97b1deabdf,33b74c0da8518d295ce8352d12d2208a38b021ae469c797ec3c383ddd242df71,exact,procedural_exact_masks_v1,2026-07-16T01:10:35.943275+00:00,1.327476,0,completed,executed 288 mask-action cases
python experiments/exact_spatial_output_actions.py,69dc6182d9fc1675a198380225f71c97b1deabdf,b21ecb881ddde04a726e53c6a818419bce709ab9ba530b67c8878c0bf3e5809f,exact,procedural_spatial_outputs_v1,2026-07-16T01:10:39.687691+00:00,0.063422,0,completed,executed 123 output-action checks
python experiments/trivial_vs_spatial_output_action.py,69dc6182d9fc1675a198380225f71c97b1deabdf,60479cd0f674251e943183504104abf21893ed2ebc527a0edc83e4ae9d81e063,exact,procedural_representation_pair_v1,2026-07-16T01:10:41.703290+00:00,0.032756,0,completed,executed 40 representation rows
python experiments/biomedical_dataset_audit.py,69dc6182d9fc1675a198380225f71c97b1deabdf,fe8c00893f1254feadf1ce15f4d6eace84bf42cee0c897cfe8ffefdf9ce2cad6,none,54a220cf383e341b4622a5d89dc1cf3b630902a7,2026-07-16T01:10:43.289238+00:00,0.224091,0,completed,"audited primary counts {'train': 160, 'validation': 40, 'test': 40}"
python experiments/biomedical_segmentation_discovery.py,69dc6182d9fc1675a198380225f71c97b1deabdf,4a557d4e516b021e6a91a763bc97d336f7d05c350172d68aa1bad0c88a04a0f2,0:4 plus 5:9 on gate,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:10:45.253792+00:00,89.156789,0,completed,executed 5 seeds; retransport_gate=False
python experiments/biomedical_zeroshot_segmentation.py,69dc6182d9fc1675a198380225f71c97b1deabdf,2a54a36a7a3affe0942abc96e77f46c06e8150a4a8f7e8d03511ee0e2ca7a889,10:19 or 10:14 diagnostic,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:12:16.971100+00:00,66.951525,0,completed,executed 5 seeds; strict_gate=False
python experiments/biomedical_chart_uncertainty.py,69dc6182d9fc1675a198380225f71c97b1deabdf,9a9132fde5056aa8639f26cbb04d2aa391914beaf1d76d23660abadc83f266b3,0:4,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:13:26.318577+00:00,50.306744,0,completed,executed 5 seeds
python experiments/biomedical_segmentation_cost.py,69dc6182d9fc1675a198380225f71c97b1deabdf,e222c41a5be94d68a50822cbcc1931ff880bed0859aea7e862fe6edd3cb8605b,seed 0 checkpoints,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:14:19.349436+00:00,192.994591,0,completed,executed 36 complete-path rows
python experiments/multidomain_biomedical_experts.py,69dc6182d9fc1675a198380225f71c97b1deabdf,0fed9e3f841e0cd81282467d6b9c171b7bad74e585182a7fdf4313ad6339e5db,0:4,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:17:35.767914+00:00,41.800748,0,completed,executed 5 seeds; gate=False
python experiments/biomedical_missing_expert_robustness.py,69dc6182d9fc1675a198380225f71c97b1deabdf,22cf426b99489ffbff118bab35fb4356776676185a6358f6559f97a13653ca2f,0:4,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:18:20.300889+00:00,29.196179,0,completed,executed 245 robustness rows
python experiments/segmentation_transition_geometry.py,69dc6182d9fc1675a198380225f71c97b1deabdf,4cbbf8419537a4b5baceb900280e6f292e4a58cb8235ca8700d3777bfadc3ebd,C1 seed 0; five calibration resamples,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:18:52.523132+00:00,3.266989,0,completed,map rows=360; certified=False
python experiments/residual_aware_segmentation.py,69dc6182d9fc1675a198380225f71c97b1deabdf,b7e2a510c2bec4d2a8ce1c645f7fd1793835e659303a26524d4468ffe702e41c,gated by D1,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:18:58.839422+00:00,0.200258,0,gate_closed,correction rows=0
python experiments/second_biomedical_segmentation.py,69dc6182d9fc1675a198380225f71c97b1deabdf,a889c92ea8b9a17c9d8044272f664bb0cf5274c5654634c0c87602bb783794c6,gated discovery and confirmation,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:19:00.869868+00:00,0.094322,0,gate_closed,no second-dataset model rows executed
python experiments/biomedical_landmark_retransport.py,69dc6182d9fc1675a198380225f71c97b1deabdf,284ce6491c24c2ca68271fff17b280a635fd97406f6e6312fcc0f33855edf18e,gated real annotations,no_resolved_landmark_archive,2026-07-16T01:19:02.813803+00:00,0.026478,0,blocked,no real-landmark model rows executed
python experiments/medical_3d_retransport.py,69dc6182d9fc1675a198380225f71c97b1deabdf,5d169788db5f836c4736440a3d8b4c4d3cda5c66d002b5bf2bdda0cb0fc53fb2,gated extension,no_resolved_3d_archive,2026-07-16T01:19:04.780064+00:00,0.024870,0,gate_closed,no 3D model rows executed
python experiments/microscopy_multiview_retransport.py,69dc6182d9fc1675a198380225f71c97b1deabdf,b757f328d17b9823480edff2d149f8940afc65375f27ef09a21dec48052bc6d6,availability gate,no_resolved_multiview_microscopy_archive,2026-07-16T01:19:06.703317+00:00,0.026428,0,blocked,no microscopy model rows executed
python experiments/spatial_output_finalize.py,69dc6182d9fc1675a198380225f71c97b1deabdf,4703cd1b944c855c9a2caaa8a7c9cb0808188700182628d23725cd40dda953e4,all tests and final artifacts,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:19:08.557075+00:00,44.383056,0,completed,claim levels written=6; test_exit=0
python experiments/spatial_output_finalize.py,241dd25523c46818b71804d1ed8bac9b296f1757,6cc03253c51a0b1001c2f34c81f0e870ae92640bb34df044c40355c426451f48,all tests and final artifacts,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:20:58.351115+00:00,39.039664,0,completed,claim levels written=6; test_exit=0
python experiments/biomedical_zeroshot_segmentation.py,350085b249e4cdccaf603bcf4f9001b12d8e3c01,f37e139aaeb75e31a42c21e209faccd3b51d079a2a186b30bafe4d6b8c357f35,10:19 or 10:14 diagnostic,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:25:10.562297+00:00,83.155613,0,completed,executed 5 seeds; strict_gate=False
python experiments/biomedical_segmentation_cost.py,350085b249e4cdccaf603bcf4f9001b12d8e3c01,68da239cb627fcfe1a8b5bba11cb8fa67690ac83bea9778e1b62fd2641cf92c5,seed 0 checkpoints,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:26:49.629100+00:00,4.713231,1,failed,"rot90(): argument 'k' (position 2) must be int, not Tensor"
python experiments/biomedical_segmentation_cost.py,949518d90d23eb3a471a88117eb75c552fa849d1,cd40285bd07a4502143da8bd415ceb0f0fb01e54b275ec758d3eb0553a1d8a36,seed 0 checkpoints,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:27:40.187578+00:00,218.373257,0,completed,executed 36 complete-path rows
python experiments/spatial_output_finalize.py,949518d90d23eb3a471a88117eb75c552fa849d1,6cc03253c51a0b1001c2f34c81f0e870ae92640bb34df044c40355c426451f48,all tests and final artifacts,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:31:49.611213+00:00,48.024804,0,completed,claim levels written=6; test_exit=0
python experiments/spatial_output_finalize.py,02b8818e4da9ba700336b24b22fda8ea101d11ef,7abf5443a65ac7565adcefcd90c9ef14a7205227530b837b8772d5c19544334d,all tests and final artifacts,b96dfb8b16afc51a1ceb5285b1170535064b6007a3e8c555bbd5d93eabe3e11d,2026-07-16T01:34:14.537021+00:00,48.947842,0,completed,claim levels written=6; test_exit=0
