family,claim_scope,method,dependent_scramble_count,independent_training_group_count,mean_test_accuracy,median_test_accuracy,test_accuracy_std,test_accuracy_range,worst_setting_accuracy,max_relative_delta_distance_from_original,max_logit_distance_from_original,max_prediction_disagreement_from_original,mean_relative_delta_distance_from_oracle,mean_max_logit_distance_from_oracle,method_failure_count,numerical_gauge_failure_count,paired_bootstrap_ci_low,paired_bootstrap_ci_high,ci_status
ill_conditioned,numerical_boundary_only,oracle_alignment,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,2.5343329330069664e-07,4.0167372294779013e-07,0.0,0.0,0.0,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,numerical_boundary_only,pairwise_reference_alignment,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,2.6075740567149503e-07,4.2119827170505886e-07,0.0,1.5381326807185721e-07,1.7751471310667454e-07,20,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,numerical_boundary_only,prediction_ensemble,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,,4.285917065138811e-07,0.0,,1.8641604117158871e-07,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,numerical_boundary_only,separate_adapters,20,1,1.0,1.0,0.0,0.0,1.0,,1.0799804892602793e-06,0.0,,0.9851418912883497,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,numerical_boundary_only,task_arithmetic,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,2.640498854127876e-07,4.2859170684694803e-07,0.0,1.6362011941726893e-07,1.8641604114383314e-07,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,numerical_boundary_only,ties,20,1,0.7275390625,0.7275390625,0.0,0.0,0.7275390625,2.9647158410072776e-07,6.884706275078756e-07,0.0,1.007132786934368,0.8566018032354238,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,primary_well_conditioned,canonical_svd_factor_average,20,1,0.7880859375,0.7880859375,0.0,0.0,0.7880859375,8.414435106731228e-16,1.1102230246251565e-15,0.0,0.3722642991514335,0.4209830438577666,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,primary_well_conditioned,compress_then_merge,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,1.9690829047842977e-15,2.7755575615628914e-15,0.0,8.802812903026586e-16,1.1796119636642288e-15,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,primary_well_conditioned,cycle_aware_alignment,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,2.2006245011785348e-15,3.1086244689504383e-15,0.0,6.275057193442156e-16,9.575673587391975e-16,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,primary_well_conditioned,dare,20,1,0.7587890625,0.7587890625,0.0,0.0,0.7587890625,2.016712488951005e-16,8.881784197001252e-16,0.0,0.7157353123800394,0.7102889609695511,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,primary_well_conditioned,full_delta_svd,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,1.2753967695463886e-15,1.609823385706477e-15,0.0,5.408619428691878e-16,7.965850201685498e-16,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,primary_well_conditioned,global_synchronization,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,2.2006245011785348e-15,3.1086244689504383e-15,0.0,6.275057193442156e-16,9.575673587391975e-16,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,primary_well_conditioned,naive_factor_average,20,1,0.755126953125,0.75439453125,0.017756753551499277,0.0556640625,0.7275390625,0.9439640157840579,1.1264292823814157,0.2001953125,0.7829500413650361,0.9051055663027053,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,primary_well_conditioned,oracle_alignment,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,2.9355749683370726e-16,8.881784197001252e-16,0.0,0.0,0.0,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,primary_well_conditioned,pairwise_reference_alignment,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,1.492042349497263e-15,2.55351295663786e-15,0.0,3.8661828729887436e-16,7.771561172376096e-16,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,primary_well_conditioned,prediction_ensemble,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,,6.661338147750939e-16,0.0,,8.326672684688674e-16,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,primary_well_conditioned,separate_adapters,20,1,1.0,1.0,0.0,0.0,1.0,,8.881784197001252e-16,0.0,,0.9851419332814197,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,primary_well_conditioned,task_arithmetic,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,1.8588595104904265e-16,6.661338147750939e-16,0.0,1.9183681299518168e-16,5.218048215738236e-16,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,primary_well_conditioned,ties,20,1,0.7275390625,0.7275390625,0.0,0.0,0.7275390625,1.8286534572196982e-16,6.661338147750939e-16,0.0,1.0071327733795061,0.8566017837859622,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,primary_well_conditioned,canonical_svd_factor_average,20,1,0.7880859375,0.7880859375,0.0,0.0,0.7880859375,5.663475567992595e-16,8.881784197001252e-16,0.0,0.37226429915143344,0.4209830438577664,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,primary_well_conditioned,compress_then_merge,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,1.6314040381324013e-15,2.4424906541753444e-15,0.0,8.789881562967409e-16,1.1955714196432155e-15,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,primary_well_conditioned,cycle_aware_alignment,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,9.838688401316336e-15,1.1879386363489175e-14,0.0,1.8815079677080377e-15,2.450817326860033e-15,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,primary_well_conditioned,dare,20,1,0.7587890625,0.7587890625,0.0,0.0,0.7587890625,1.3507709374090007e-16,8.881784197001252e-16,0.0,0.7157353123800396,0.7102889609695511,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,primary_well_conditioned,full_delta_svd,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,1.1999671629280365e-15,1.6653345369377348e-15,0.0,6.785856709713165e-16,9.700573677662306e-16,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,primary_well_conditioned,global_synchronization,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,9.838688401316336e-15,1.1879386363489175e-14,0.0,1.8815079677080377e-15,2.450817326860033e-15,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,primary_well_conditioned,naive_factor_average,20,1,0.751123046875,0.7548828125,0.026677132903315325,0.0966796875,0.7080078125,1.4079148190045851,1.7847311667486625,0.23828125,1.0210297729899103,1.1623900692306726,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,primary_well_conditioned,oracle_alignment,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,1.4104957417915847e-16,4.440892098500626e-16,0.0,0.0,0.0,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,primary_well_conditioned,pairwise_reference_alignment,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,3.1248988263656124e-16,8.881784197001252e-16,0.0,2.367982099387949e-16,5.384581669432009e-16,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,primary_well_conditioned,prediction_ensemble,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,,4.440892098500626e-16,0.0,,8.881784197001252e-16,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,primary_well_conditioned,separate_adapters,20,1,1.0,1.0,0.0,0.0,1.0,,4.440892098500626e-16,0.0,,0.9851419332814195,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,primary_well_conditioned,task_arithmetic,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,1.0891563551566464e-16,4.440892098500626e-16,0.0,1.5357501639441288e-16,4.662936703425658e-16,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,primary_well_conditioned,ties,20,1,0.7275390625,0.7275390625,0.0,0.0,0.7275390625,8.892464543821524e-17,4.440892098500626e-16,0.0,1.0071327733795061,0.8566017837859622,0,0,,,not_computed_dependent_scrambles_single_training_group
