family,method,baseline,dependent_pair_count,mean_paired_accuracy_delta,median_paired_accuracy_delta,paired_delta_std,wins,ties,losses,paired_bootstrap_ci_low,paired_bootstrap_ci_high,ci_status
positive_diagonal,compress_then_merge,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,cycle_aware_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,dare,full_delta_svd,20,-0.05078125,-0.05078125,0.0,0,0,20,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,global_synchronization,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,naive_factor_average,full_delta_svd,20,-0.058447265625,-0.0546875,0.026677132903315325,0,0,20,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,oracle_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,pairwise_reference_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,prediction_ensemble,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,separate_adapters,full_delta_svd,20,0.1904296875,0.1904296875,0.0,20,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,task_arithmetic,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,ties,full_delta_svd,20,-0.08203125,-0.08203125,0.0,0,0,20,,,not_computed_dependent_scrambles_single_training_group
dense,canonical_svd_factor_average,naive_factor_average,20,0.257763671875,0.259765625,0.07859418823592604,20,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,compress_then_merge,naive_factor_average,20,0.279248046875,0.28125,0.07859418823592604,20,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,cycle_aware_alignment,naive_factor_average,20,0.279248046875,0.28125,0.07859418823592604,20,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,dare,naive_factor_average,20,0.228466796875,0.23046875,0.07859418823592604,20,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,full_delta_svd,naive_factor_average,20,0.279248046875,0.28125,0.07859418823592604,20,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,global_synchronization,naive_factor_average,20,0.279248046875,0.28125,0.07859418823592604,20,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,oracle_alignment,naive_factor_average,20,0.279248046875,0.28125,0.07859418823592604,20,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,pairwise_reference_alignment,naive_factor_average,20,0.279248046875,0.28125,0.07859418823592604,20,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,prediction_ensemble,naive_factor_average,20,0.279248046875,0.28125,0.07859418823592604,20,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,separate_adapters,naive_factor_average,20,0.469677734375,0.4716796875,0.07859418823592604,20,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,task_arithmetic,naive_factor_average,20,0.279248046875,0.28125,0.07859418823592604,20,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,ties,naive_factor_average,20,0.197216796875,0.19921875,0.07859418823592604,20,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,canonical_svd_factor_average,full_delta_svd,20,-0.021484375,-0.021484375,0.0,0,0,20,,,not_computed_dependent_scrambles_single_training_group
dense,compress_then_merge,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
dense,cycle_aware_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
dense,dare,full_delta_svd,20,-0.05078125,-0.05078125,0.0,0,0,20,,,not_computed_dependent_scrambles_single_training_group
dense,global_synchronization,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
dense,naive_factor_average,full_delta_svd,20,-0.279248046875,-0.28125,0.07859418823592604,0,0,20,,,not_computed_dependent_scrambles_single_training_group
dense,oracle_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
dense,pairwise_reference_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
dense,prediction_ensemble,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
dense,separate_adapters,full_delta_svd,20,0.1904296875,0.1904296875,0.0,20,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,task_arithmetic,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
dense,ties,full_delta_svd,20,-0.08203125,-0.08203125,0.0,0,0,20,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,canonical_svd_factor_average,naive_factor_average,20,0.617236328125,0.61328125,0.04477243247838573,20,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,compress_then_merge,naive_factor_average,20,0.638720703125,0.634765625,0.04477243247838573,20,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,cycle_aware_alignment,naive_factor_average,20,0.638720703125,0.634765625,0.04477243247838573,20,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,dare,naive_factor_average,20,0.587939453125,0.583984375,0.04477243247838573,20,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,full_delta_svd,naive_factor_average,20,0.638720703125,0.634765625,0.04477243247838573,20,0,0,,,not_computed_dependent_scrambles_single_training_group
