evidence_label,mode,corpus_seed,case_name,period,predicted_index,candidate_capacity,capacity_divisible_by_index,method,adapter_rank,branches,active_local_adapter_parameters,controlled_carrier_parameters,stored_carrier_bytes,parameter_multiplier_vs_shared_corpus,inference_multiplier,latency_ms_for_complete_test_tensor,estimated_peak_tensor_bytes,new_adapter_training,test_labels_used_before_logits_saved,projective_relation_residual,unitarity_residual,combined_structural_residual
controlled_on_real_features,smoke,0,period2_index2,2,2,1,False,ordinary_same_capacity,4,8,9296,0,64,1.0,8.0,0.7215000223368406,40960,False,False,0.0,1.0,1.0
controlled_on_real_features,smoke,0,period2_index2,2,2,1,False,coherent_projective_lift,4,8,9296,0,64,1.0,8.0,0.6724579725414515,40960,False,False,0.0,1.0,1.0
controlled_on_real_features,smoke,0,period2_index2,2,2,1,False,parameter_matched_generic_unitary,4,8,9296,0,64,1.0,8.0,0.5401249509304762,40960,False,False,0.0,1.0,1.0
controlled_on_real_features,smoke,0,period2_index2,2,2,1,False,random_branch_control,4,8,9296,0,64,1.0,8.0,0.5374171305447817,40960,False,False,0.0,1.0,1.0
controlled_on_real_features,smoke,0,period2_index2,2,2,1,False,wrong_cocycle_control,4,8,9296,0,64,1.0,8.0,0.5510828923434019,40960,False,False,0.0,1.0,1.0
controlled_on_real_features,smoke,0,period2_index2,2,2,1,False,wrong_projective_representation,4,8,9296,0,64,1.0,8.0,0.5358750931918621,40960,False,False,0.0,1.0,1.0
controlled_on_real_features,smoke,0,period2_index2,2,2,1,False,ensemble_upper_bound,4,8,9296,0,64,1.0,8.0,0.00537489540874958,40960,False,False,0.0,1.0,1.0
controlled_on_real_features,smoke,0,period2_index2,2,2,1,False,oracle_coherent_lift,4,8,9296,0,64,1.0,8.0,1.1414580512791872,40960,False,False,0.0,1.0,1.0
controlled_on_real_features,smoke,0,period2_index2,2,2,2,True,ordinary_same_capacity,4,8,9296,0,256,1.0,8.0,0.4974168259650469,40960,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,smoke,0,period2_index2,2,2,2,True,coherent_projective_lift,4,8,9296,0,256,1.0,8.0,1.111457822844386,40960,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,smoke,0,period2_index2,2,2,2,True,parameter_matched_generic_unitary,4,8,9296,0,256,1.0,8.0,1.2153750285506248,40960,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,smoke,0,period2_index2,2,2,2,True,random_branch_control,4,8,9296,0,256,1.0,8.0,1.0657089296728373,40960,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,smoke,0,period2_index2,2,2,2,True,wrong_cocycle_control,4,8,9296,0,256,1.0,8.0,1.0445830412209034,40960,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,smoke,0,period2_index2,2,2,2,True,wrong_projective_representation,4,8,9296,0,256,1.0,8.0,1.0402500629425049,40960,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,smoke,0,period2_index2,2,2,2,True,ensemble_upper_bound,4,8,9296,0,256,1.0,8.0,0.010125106200575829,40960,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,smoke,0,period2_index2,2,2,2,True,oracle_coherent_lift,4,8,9296,0,256,1.0,8.0,1.050707884132862,40960,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08
controlled_on_real_features,smoke,0,period2_index2,2,2,3,False,ordinary_same_capacity,4,8,9296,0,576,1.0,8.0,0.5079160910099745,40960,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
controlled_on_real_features,smoke,0,period2_index2,2,2,3,False,coherent_projective_lift,4,8,9296,0,576,1.0,8.0,1.4000830706208944,40960,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
controlled_on_real_features,smoke,0,period2_index2,2,2,3,False,parameter_matched_generic_unitary,4,8,9296,0,576,1.0,8.0,1.3599579688161612,40960,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
controlled_on_real_features,smoke,0,period2_index2,2,2,3,False,random_branch_control,4,8,9296,0,576,1.0,8.0,1.3607090804725885,40960,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
controlled_on_real_features,smoke,0,period2_index2,2,2,3,False,wrong_cocycle_control,4,8,9296,0,576,1.0,8.0,1.3867088127881289,40960,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
controlled_on_real_features,smoke,0,period2_index2,2,2,3,False,wrong_projective_representation,4,8,9296,0,576,1.0,8.0,1.3340418227016926,40960,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
controlled_on_real_features,smoke,0,period2_index2,2,2,3,False,ensemble_upper_bound,4,8,9296,0,576,1.0,8.0,0.00800006091594696,40960,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095
