evidence_label,mode,corpus_seed,case_name,period,predicted_index,candidate_capacity,capacity_divisible_by_index,method,adapter_rank,branches,active_local_adapter_parameters,controlled_carrier_parameters,stored_carrier_bytes,parameter_multiplier_vs_shared_corpus,inference_multiplier,latency_ms_for_complete_test_tensor,estimated_peak_tensor_bytes,new_adapter_training,test_labels_used_before_logits_saved,projective_relation_residual,unitarity_residual,combined_structural_residual,classification_accuracy,average_branch_accuracy,worst_branch_accuracy,nll,brier,ece,prediction_consistency,test_logits_path,test_logits_sha256,test_logits_content_sha256,execution_commit,accuracy_gap_from_ensemble,structural_gate_passed,task_gate_passed,coherent_application_success
controlled_on_real_features,smoke,0,period2_index2,2,2,2,True,parameter_matched_generic_unitary,4,8,9296,0,256,1.0,8.0,1.2153750285506248,40960,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08,0.21875,0.1259765625,0.0703125,2.2299249172210693,0.8846098184585571,0.08531866874545813,0.3125,/Users/tinggong/Documents/Codex/2026-07-19/holonomy-applications/work/TwistedMerge-holonomy-applications/reports/tmp/holonomy_applications/application_C_smoke/candidate_logits_seed_0.npz,ca4c629e50e796a3349a51f63e9297df1e500fd2253f3d7eafdbd59a79c254e1,7e479e3de177bb2fd92088019750e5eb040aa2cde19e8459120d1e0a483e1ff0,35c650d2b2021b19ae22eea0489b1592b4591902,0.0,True,True,False
controlled_on_real_features,smoke,0,period2_index2,2,2,2,True,random_branch_control,4,8,9296,0,256,1.0,8.0,1.0657089296728373,40960,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08,0.1015625,0.0830078125,0.0390625,2.3289194107055664,0.905318021774292,0.01944972574710846,0.306640625,/Users/tinggong/Documents/Codex/2026-07-19/holonomy-applications/work/TwistedMerge-holonomy-applications/reports/tmp/holonomy_applications/application_C_smoke/candidate_logits_seed_0.npz,ca4c629e50e796a3349a51f63e9297df1e500fd2253f3d7eafdbd59a79c254e1,7e479e3de177bb2fd92088019750e5eb040aa2cde19e8459120d1e0a483e1ff0,35c650d2b2021b19ae22eea0489b1592b4591902,-0.1171875,True,False,False
controlled_on_real_features,smoke,0,period2_index2,2,2,2,True,wrong_cocycle_control,4,8,9296,0,256,1.0,8.0,1.0445830412209034,40960,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08,0.046875,0.06640625,0.03125,2.4111461639404297,0.9208958148956299,0.08778941631317139,0.3291015625,/Users/tinggong/Documents/Codex/2026-07-19/holonomy-applications/work/TwistedMerge-holonomy-applications/reports/tmp/holonomy_applications/application_C_smoke/candidate_logits_seed_0.npz,ca4c629e50e796a3349a51f63e9297df1e500fd2253f3d7eafdbd59a79c254e1,7e479e3de177bb2fd92088019750e5eb040aa2cde19e8459120d1e0a483e1ff0,35c650d2b2021b19ae22eea0489b1592b4591902,-0.171875,True,False,False
controlled_on_real_features,smoke,0,period2_index2,2,2,2,True,wrong_projective_representation,4,8,9296,0,256,1.0,8.0,1.0402500629425049,40960,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08,0.203125,0.1103515625,0.0703125,2.2716267108917236,0.8934080600738525,0.0862201452255249,0.3447265625,/Users/tinggong/Documents/Codex/2026-07-19/holonomy-applications/work/TwistedMerge-holonomy-applications/reports/tmp/holonomy_applications/application_C_smoke/candidate_logits_seed_0.npz,ca4c629e50e796a3349a51f63e9297df1e500fd2253f3d7eafdbd59a79c254e1,7e479e3de177bb2fd92088019750e5eb040aa2cde19e8459120d1e0a483e1ff0,35c650d2b2021b19ae22eea0489b1592b4591902,-0.015625,True,False,False
controlled_on_real_features,smoke,0,period2_index2,2,2,2,True,ensemble_upper_bound,4,8,9296,0,256,1.0,8.0,0.010125106200575829,40960,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08,0.21875,0.1259765625,0.0703125,2.2299246788024902,0.8846098184585571,0.08531866874545813,0.3125,/Users/tinggong/Documents/Codex/2026-07-19/holonomy-applications/work/TwistedMerge-holonomy-applications/reports/tmp/holonomy_applications/application_C_smoke/candidate_logits_seed_0.npz,ca4c629e50e796a3349a51f63e9297df1e500fd2253f3d7eafdbd59a79c254e1,7e479e3de177bb2fd92088019750e5eb040aa2cde19e8459120d1e0a483e1ff0,35c650d2b2021b19ae22eea0489b1592b4591902,0.0,True,True,False
controlled_on_real_features,smoke,0,period2_index2,2,2,2,True,oracle_coherent_lift,4,8,9296,0,256,1.0,8.0,1.050707884132862,40960,False,False,6.181724643283815e-08,0.0,6.181724643283815e-08,0.21875,0.1259765625,0.0703125,2.2299246788024902,0.8846098184585571,0.08531866874545813,0.3125,/Users/tinggong/Documents/Codex/2026-07-19/holonomy-applications/work/TwistedMerge-holonomy-applications/reports/tmp/holonomy_applications/application_C_smoke/candidate_logits_seed_0.npz,ca4c629e50e796a3349a51f63e9297df1e500fd2253f3d7eafdbd59a79c254e1,7e479e3de177bb2fd92088019750e5eb040aa2cde19e8459120d1e0a483e1ff0,35c650d2b2021b19ae22eea0489b1592b4591902,0.0,True,True,False
controlled_on_real_features,smoke,0,period2_index2,2,2,3,False,ordinary_same_capacity,4,8,9296,0,576,1.0,8.0,0.5079160910099745,40960,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095,0.1171875,0.0908203125,0.0390625,2.291224956512451,0.8977594971656799,0.0021739602088928223,0.298828125,/Users/tinggong/Documents/Codex/2026-07-19/holonomy-applications/work/TwistedMerge-holonomy-applications/reports/tmp/holonomy_applications/application_C_smoke/candidate_logits_seed_0.npz,ca4c629e50e796a3349a51f63e9297df1e500fd2253f3d7eafdbd59a79c254e1,7e479e3de177bb2fd92088019750e5eb040aa2cde19e8459120d1e0a483e1ff0,35c650d2b2021b19ae22eea0489b1592b4591902,-0.1015625,False,False,False
controlled_on_real_features,smoke,0,period2_index2,2,2,3,False,coherent_projective_lift,4,8,9296,0,576,1.0,8.0,1.4000830706208944,40960,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095,0.1953125,0.1220703125,0.0703125,2.2495882511138916,0.8890148997306824,0.06865452229976654,0.3203125,/Users/tinggong/Documents/Codex/2026-07-19/holonomy-applications/work/TwistedMerge-holonomy-applications/reports/tmp/holonomy_applications/application_C_smoke/candidate_logits_seed_0.npz,ca4c629e50e796a3349a51f63e9297df1e500fd2253f3d7eafdbd59a79c254e1,7e479e3de177bb2fd92088019750e5eb040aa2cde19e8459120d1e0a483e1ff0,35c650d2b2021b19ae22eea0489b1592b4591902,-0.0234375,False,False,False
controlled_on_real_features,smoke,0,period2_index2,2,2,3,False,parameter_matched_generic_unitary,4,8,9296,0,576,1.0,8.0,1.3599579688161612,40960,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095,0.21875,0.1259765625,0.0703125,2.2299246788024902,0.8846096992492676,0.08531866874545813,0.3125,/Users/tinggong/Documents/Codex/2026-07-19/holonomy-applications/work/TwistedMerge-holonomy-applications/reports/tmp/holonomy_applications/application_C_smoke/candidate_logits_seed_0.npz,ca4c629e50e796a3349a51f63e9297df1e500fd2253f3d7eafdbd59a79c254e1,7e479e3de177bb2fd92088019750e5eb040aa2cde19e8459120d1e0a483e1ff0,35c650d2b2021b19ae22eea0489b1592b4591902,0.0,False,True,False
controlled_on_real_features,smoke,0,period2_index2,2,2,3,False,random_branch_control,4,8,9296,0,576,1.0,8.0,1.3607090804725885,40960,False,False,5.047356665954794e-08,0.5773502588272095,0.5773502588272095,0.03125,0.0791015625,0.0390625,2.329969882965088,0.9055855870246887,0.08439993858337402,0.30859375,/Users/tinggong/Documents/Codex/2026-07-19/holonomy-applications/work/TwistedMerge-holonomy-applications/reports/tmp/holonomy_applications/application_C_smoke/candidate_logits_seed_0.npz,ca4c629e50e796a3349a51f63e9297df1e500fd2253f3d7eafdbd59a79c254e1,7e479e3de177bb2fd92088019750e5eb040aa2cde19e8459120d1e0a483e1ff0,35c650d2b2021b19ae22eea0489b1592b4591902,-0.1875,False,False,False
