d,k,candidate_rank,theoretical_threshold,success,relation_residual,minimal_candidate
2,1,1,2,False,2.0,False
2,1,2,2,True,1.7319121124709866e-16,True
2,1,4,2,True,1.7319121124709866e-16,False
2,2,1,4,False,2.0,False
2,2,2,4,False,2.0,False
2,2,3,4,False,2.0,False
2,2,4,4,True,1.7319121124709866e-16,True
2,2,8,4,True,1.7319121124709866e-16,False
2,3,1,8,False,2.0,False
2,3,2,8,False,2.0,False
2,3,7,8,False,2.0,False
2,3,8,8,True,1.7319121124709866e-16,True
2,3,16,8,True,1.7319121124709866e-16,False
3,1,1,3,False,1.7320508075688772,False
3,1,2,3,False,1.732050807568877,False
3,1,3,3,True,3.040470972244059e-16,True
3,1,6,3,True,3.0404709722440593e-16,False
3,2,1,9,False,1.7320508075688772,False
3,2,3,9,False,1.7320508075688772,False
3,2,8,9,False,1.732050807568877,False
3,2,9,9,True,3.040470972244059e-16,True
3,2,18,9,True,3.040470972244059e-16,False
4,1,1,4,False,1.414213562373095,False
4,1,3,4,False,1.414213562373095,False
4,1,4,4,True,1.2246467991473532e-16,True
4,1,8,4,True,1.2246467991473532e-16,False
4,2,1,16,False,1.414213562373095,False
4,2,4,16,False,1.414213562373095,False
4,2,15,16,False,1.414213562373095,False
4,2,16,16,True,1.2246467991473532e-16,True
4,2,32,16,True,1.2246467991473532e-16,False
5,1,1,5,False,1.1755705045849465,False
5,1,4,5,False,1.1755705045849465,False
5,1,5,5,True,1.4261072965499198e-16,True
5,1,10,5,True,1.4261072965499198e-16,False
5,2,1,25,False,1.1755705045849465,False
5,2,5,25,False,1.175570504584946,False
5,2,24,25,False,1.1755705045849465,False
5,2,25,25,True,1.42610729654992e-16,True
5,2,50,25,True,1.4261072965499198e-16,False
6,1,1,6,False,0.9999999999999999,False
6,1,5,6,False,0.9999999999999998,False
6,1,6,6,True,3.8459253727671276e-16,True
6,1,12,6,True,3.845925372767128e-16,False
