family,name,identifier,revision_or_checksum,source_artifact
text,sst2,stanfordnlp/sst2,8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb,reports/future_program/near_term/text_data_manifest.json
text,imdb,stanfordnlp/imdb,e6281661ce1c48d982bc483cf8a173c1bbeb5d31,reports/future_program/near_term/text_data_manifest.json
text,yelp,fancyzhx/yelp_polarity,bbf1c97a1f0cf005e5aded43839fd814654a1557,reports/future_program/near_term/text_data_manifest.json
text,amazon,fancyzhx/amazon_polarity,9d9c45c18f8c3cf1b23a3c27917b60cbf28f3289,reports/future_program/near_term/text_data_manifest.json
vision,CIFAR10,resnet18,de620ffcedf6c2818d8b6575ad3b3fc89a41351a1588ef8c0d904defc28ebf8e,reports/future_program/extended/broader_vision_manifest.csv
vision,CIFAR100,resnet18,de620ffcedf6c2818d8b6575ad3b3fc89a41351a1588ef8c0d904defc28ebf8e,reports/future_program/extended/broader_vision_manifest.csv
vision,CIFAR10,deit_tiny,9a4e7cc392920096d1bf1be91854437b389ed01fb3f45ad9cb63ea60d616a530,reports/future_program/extended/broader_vision_manifest.csv
vision,CIFAR100,deit_tiny,9a4e7cc392920096d1bf1be91854437b389ed01fb3f45ad9cb63ea60d616a530,reports/future_program/extended/broader_vision_manifest.csv
pose,ModelNet10,https://3dvision.princeton.edu/projects/2014/3DShapeNets/ModelNet10.zip,9d8679435fc07d1d26f13009878db164a7aa8ea5e7ea3c8880e42794b7307d51,reports/future_program/near_term/pose_claims.csv
