topology,vertices,edges,harmonic_norm,gauge_invariance_error,condition_number
cycle,8,8,0.04233984604164643,6.093597404471837e-16,400000012.2027452
theta,8,10,0.08951377850797328,1.3978039664347968e-15,523606801.5636674
dense,8,20,0.13679301984671097,2.8705223695464124e-15,861499621.0266142
sparse,16,18,0.14512118012548056,2.8223476486757627e-15,495167600.584697
