group,order,coefficient_order,associativity_passed,regular_action_error,central_scalar_modulus
C2,2,2,True,0.0,1.0
C2,2,3,True,0.0,1.0
C2,2,4,True,0.0,1.0
C3,3,2,True,0.0,1.0
C3,3,3,True,0.0,1.0
C3,3,4,True,0.0,1.0
C4,4,2,True,0.0,1.0
C4,4,3,True,0.0,1.0
C4,4,4,True,0.0,1.0
C6,6,2,True,0.0,1.0
C6,6,3,True,0.0,1.0
C6,6,4,True,0.0,1.0
S3,6,2,True,0.0,1.0
S3,6,3,True,0.0,1.0
S3,6,4,True,0.0,1.0
D4,8,2,True,0.0,1.0
D4,8,3,True,0.0,1.0
D4,8,4,True,0.0,1.0
A4,12,2,True,0.0,1.0
A4,12,3,True,0.0,1.0
A4,12,4,True,0.0,1.0
S4,24,2,True,0.0,1.0
S4,24,3,True,0.0,1.0
S4,24,4,True,0.0,1.0
Q8,8,2,True,0.0,1.0
Q8,8,3,True,0.0,1.0
Q8,8,4,True,0.0,1.0
