setting_id,teacher_accuracy,student_accuracy,distillation_gap,teacher_ece,student_ece
D4_s0_n0.2_b16,0.8308333333333333,0.135,-0.6958333333333333,0.4684774003875716,0.1136785016734183
D4_s0_n0.2_b64,0.825,0.1383333333333333,-0.6866666666666666,0.4640294813489207,0.5858236659200515
D4_s0_n0.5_b16,0.5391666666666667,0.135,-0.4041666666666667,0.1956627679508607,0.1136785016734183
D4_s0_n0.5_b64,0.5866666666666667,0.1383333333333333,-0.4483333333333333,0.2516239830477497,0.5858236659200515
D4_s1_n0.2_b16,0.8175,0.125,-0.6925,0.4431522468352803,0.1270756976362667
D4_s1_n0.2_b64,0.8066666666666666,0.1025,-0.7041666666666666,0.4335632183525728,0.5863305148577812
D4_s1_n0.5_b16,0.5725,0.125,-0.4475,0.2130509033408725,0.1270756976362667
D4_s1_n0.5_b64,0.5625,0.1025,-0.46,0.1945734490372411,0.5863305148577812
D4_s2_n0.2_b16,0.8141666666666667,0.1158333333333333,-0.6983333333333334,0.4585319574182974,0.1261676648160707
D4_s2_n0.2_b64,0.835,0.1325,-0.7024999999999999,0.4793652907516307,0.5687805170312996
D4_s2_n0.5_b16,0.5825,0.1158333333333333,-0.4666666666666667,0.2268652907516308,0.1261676648160707
D4_s2_n0.5_b64,0.5591666666666667,0.1325,-0.4266666666666667,0.2176215163588369,0.5687805170312996
D4_s3_n0.2_b16,0.8158333333333333,0.1225,-0.6933333333333334,0.4521678166448984,0.1265926095908963
D4_s3_n0.2_b64,0.8133333333333334,0.1125,-0.7008333333333333,0.4520889344615846,0.5915746783890012
D4_s3_n0.5_b16,0.5541666666666667,0.1225,-0.4316666666666667,0.196324110180454,0.1265926095908963
D4_s3_n0.5_b64,0.5683333333333334,0.1125,-0.4558333333333333,0.2107335398623542,0.5915746783890012
D4_s4_n0.2_b16,0.8191666666666667,0.13,-0.6891666666666667,0.4689554300691604,0.1048932592762932
D4_s4_n0.2_b64,0.8458333333333333,0.1225,-0.7233333333333334,0.4939554300691605,0.5842698405376017
D4_s4_n0.5_b16,0.565,0.13,-0.4349999999999999,0.2279027356408549,0.1048932592762932
D4_s4_n0.5_b64,0.5491666666666667,0.1225,-0.4266666666666667,0.2120694023075218,0.5842698405376017
D4_s5_n0.2_b16,0.8241666666666667,0.1216666666666666,-0.7025000000000001,0.4536719638684958,0.120132988498459
D4_s5_n0.2_b64,0.8175,0.115,-0.7025,0.4470052972018293,0.561207971065765
D4_s5_n0.5_b16,0.5425,0.1216666666666666,-0.4208333333333334,0.1960734522483757,0.120132988498459
D4_s5_n0.5_b64,0.5591666666666667,0.115,-0.4441666666666667,0.2060734522483757,0.561207971065765
D4_s6_n0.2_b16,0.8216666666666667,0.125,-0.6966666666666667,0.4618417408392489,0.1219321791361782
D4_s6_n0.2_b64,0.8333333333333334,0.1275,-0.7058333333333333,0.4741509838275437,0.5797614279153205
D4_s6_n0.5_b16,0.5725,0.125,-0.4475,0.2220216388966085,0.1219321791361782
D4_s6_n0.5_b64,0.5683333333333334,0.1275,-0.4408333333333333,0.2201642152182368,0.5797614279153205
D4_s7_n0.2_b16,0.8266666666666667,0.1041666666666666,-0.7225,0.473911423277599,0.1543229733624534
D4_s7_n0.2_b64,0.8125,0.1166666666666666,-0.6958333333333334,0.4595865377331821,0.5855727078262034
D4_s7_n0.5_b16,0.5525,0.1041666666666666,-0.4483333333333333,0.2130453961758815,0.1543229733624534
D4_s7_n0.5_b64,0.5841666666666666,0.1166666666666666,-0.4675,0.2402158235691012,0.5855727078262034
D4_s8_n0.2_b16,0.8191666666666667,0.135,-0.6841666666666667,0.4594271320493311,0.1276238144306198
D4_s8_n0.2_b64,0.8225,0.1266666666666666,-0.6958333333333334,0.4605179225108672,0.601209371872115
D4_s8_n0.5_b16,0.59,0.135,-0.4549999999999999,0.2432510967642967,0.1276238144306198
D4_s8_n0.5_b64,0.5833333333333334,0.1266666666666666,-0.4566666666666668,0.2354731141385856,0.601209371872115
