setting_id,group,seed,noise,context_budget,method,accuracy,loss,ece,residual_before,residual_after,residual_reduction,selected_rank,trainable_parameters,latency_ms,peak_memory_mb,leakage_hash_passed,logits_sha256
S3_s0_n0.2_b16,S3,0,0.2,16,context_blind_strict_synchronization,0.20833333333333334,2.1508062657271405,0.21051251125983034,1.293942282031674,1.293942282031674,0.0,0,462,0.028665876016020775,124.296875,True,bab993682fd9cee47587f3da81badd4fc87d273650fc37ad7fd2aefd2467401c
S3_s0_n0.2_b16,S3,0,0.2,16,group_retransport_without_hodge,0.8358333333333333,1.1450693682973798,0.4186679313280976,1.293942282031674,0.0,1.293942282031674,5,30,0.023042084649205208,124.296875,True,bab993682fd9cee47587f3da81badd4fc87d273650fc37ad7fd2aefd2467401c
S3_s0_n0.2_b16,S3,0,0.2,16,weighted_hodge_without_low_rank,0.4225,1.4616997584089786,0.11163814533407987,1.293942282031674,0.646971141015837,0.646971141015837,5,30,0.02308306284248829,124.296875,True,bab993682fd9cee47587f3da81badd4fc87d273650fc37ad7fd2aefd2467401c
S3_s0_n0.2_b16,S3,0,0.2,16,generic_low_rank_residual_correction,0.17,2.180357093411266,0.2594953483916499,1.293942282031674,1.3272228357208387,-0.033280553689164716,2,462,0.027207890525460243,124.296875,True,bab993682fd9cee47587f3da81badd4fc87d273650fc37ad7fd2aefd2467401c
S3_s0_n0.2_b16,S3,0,0.2,16,hodge_low_rank_generic_retransport,0.43583333333333335,1.4711690684157093,0.09859153850546537,1.293942282031674,0.6636114178604194,0.6303308641712545,5,30,0.02233404666185379,124.296875,True,bab993682fd9cee47587f3da81badd4fc87d273650fc37ad7fd2aefd2467401c
S3_s0_n0.2_b16,S3,0,0.2,16,group_retransport_without_low_rank,0.8358333333333333,1.1450693682973798,0.4186679313280976,1.293942282031674,0.0,1.293942282031674,5,462,0.02237502485513687,124.296875,True,bab993682fd9cee47587f3da81badd4fc87d273650fc37ad7fd2aefd2467401c
S3_s0_n0.2_b16,S3,0,0.2,16,full_twistedmerge_hodge_lr,0.8358333333333333,1.1450693682973798,0.4186679313280976,1.293942282031674,8.870191788119733e-16,1.293942282031673,5,30,0.026291003450751305,124.296875,True,bab993682fd9cee47587f3da81badd4fc87d273650fc37ad7fd2aefd2467401c
S3_s0_n0.2_b16,S3,0,0.2,16,full_random_group_law,0.0,2.5132275853048394,0.4188458445931637,1.293942282031674,1.44599842934404,-0.15205614731236605,5,30,0.022999942302703857,124.296875,True,bab993682fd9cee47587f3da81badd4fc87d273650fc37ad7fd2aefd2467401c
S3_s0_n0.2_b16,S3,0,0.2,16,full_shuffled_generator_identities,0.175,2.182770704989083,0.2438458445931637,1.293942282031674,1.4208101490460265,-0.1268678670143526,6,30,0.023166881874203682,124.296875,True,bab993682fd9cee47587f3da81badd4fc87d273650fc37ad7fd2aefd2467401c
S3_s0_n0.2_b16,S3,0,0.2,16,full_wrong_multiplication_order,0.18333333333333332,2.18441160990911,0.23551251125983036,1.293942282031674,1.2975956286416677,-0.003653346609993724,5,30,0.027250032871961594,124.296875,True,bab993682fd9cee47587f3da81badd4fc87d273650fc37ad7fd2aefd2467401c
S3_s0_n0.2_b16,S3,0,0.2,16,full_without_pooling,0.7216666666666667,1.2591882107001136,0.36161707882941335,1.293942282031674,0.3234855705079184,0.9704567115237556,5,30,0.022999942302703857,124.296875,True,bab993682fd9cee47587f3da81badd4fc87d273650fc37ad7fd2aefd2467401c
S3_s0_n0.2_b16,S3,0,0.2,16,full_without_retransport,0.20833333333333334,2.1508062657271405,0.2105125112598304,1.293942282031674,1.293942282031674,0.0,6,30,0.023042084649205208,124.296875,True,bab993682fd9cee47587f3da81badd4fc87d273650fc37ad7fd2aefd2467401c
S3_s0_n0.2_b16,S3,0,0.2,16,full_followed_by_distillation,0.16916666666666666,1.937688758367683,0.13380830815538042,1.293942282031674,1.1353251080073834,0.15861717402429054,6,30,0.024582957848906517,124.296875,True,bab993682fd9cee47587f3da81badd4fc87d273650fc37ad7fd2aefd2467401c
S3_s0_n0.2_b64,S3,0,0.2,64,context_blind_strict_synchronization,0.20833333333333334,2.1508062657271405,0.21051251125983034,1.298452599299377,1.298452599299377,0.0,0,462,0.02504093572497368,124.453125,True,c3aeb3109806b94031f3e6ef430f33e02928e3d29001e4daaa1a610c7942dbe1
S3_s0_n0.2_b64,S3,0,0.2,64,group_retransport_without_hodge,0.8391666666666666,1.1679494204052203,0.4220012646614309,1.298452599299377,0.0,1.298452599299377,5,30,0.02237502485513687,124.453125,True,c3aeb3109806b94031f3e6ef430f33e02928e3d29001e4daaa1a610c7942dbe1
S3_s0_n0.2_b64,S3,0,0.2,64,weighted_hodge_without_low_rank,0.42,1.471838339090296,0.10744219542464001,1.298452599299377,0.6492262996496885,0.6492262996496885,5,30,0.021208077669143677,124.453125,True,c3aeb3109806b94031f3e6ef430f33e02928e3d29001e4daaa1a610c7942dbe1
