setting_id,group,width,seed,noise,context_budget,split,method,accuracy,loss,ece,trainable_parameters,stored_parameters,branch_count,latency_ms,peak_memory_mb,leakage_hash_passed,logits_sha256
S3_w64_s20_n0.5_b16,S3,64,20,0.5,16,standard,generic_low_rank_context_adapter,0.2,2.108090622432143,0.214771052196711,462,462,1,0.021416926756501198,125.1875,True,b6e8d706e6da8d531863bb69bb136416f8c550a2dc845b441602ae2b2ad63dcf
S3_w64_s20_n0.5_b16,S3,64,20,0.5,16,standard,group_structured_without_hodge,0.595,1.501620034635799,0.1931338076762163,0,0,1,0.021792016923427582,125.1875,True,b6e8d706e6da8d531863bb69bb136416f8c550a2dc845b441602ae2b2ad63dcf
S3_w64_s20_n0.5_b16,S3,64,20,0.5,16,standard,hodge_lr_generic_retransport,0.35833333333333334,1.6308712833480754,0.033296494947918955,66,66,6,0.021416926756501198,125.1875,True,b6e8d706e6da8d531863bb69bb136416f8c550a2dc845b441602ae2b2ad63dcf
S3_w64_s20_n0.5_b16,S3,64,20,0.5,16,standard,random_multiplication_table_control,0.7133333333333334,1.3258875786553086,0.3003569429898547,0,0,1,0.02133287489414215,125.1875,True,b6e8d706e6da8d531863bb69bb136416f8c550a2dc845b441602ae2b2ad63dcf
S3_w64_s20_n0.5_b16,S3,64,20,0.5,16,standard,shuffled_context_control,0.16416666666666666,2.195517285156227,0.25305259495182375,0,0,1,0.022290972992777824,125.1875,True,b6e8d706e6da8d531863bb69bb136416f8c550a2dc845b441602ae2b2ad63dcf
S3_w64_s20_n0.5_b64,S3,64,20,0.5,64,standard,twistedmerge_hodge_lr,0.5775,1.5384105160914214,0.16715769994232663,30,30,1,0.022249994799494743,125.203125,True,58c577fffe9215a1ac256cdd85e434c80deae04603f1a675fb9bb851b0dbfc25
S3_w64_s20_n0.5_b64,S3,64,20,0.5,64,standard,generic_mixture_of_experts,0.43,1.743407027870996,0.24183197047239505,42,42,6,0.022833002731204033,125.203125,True,58c577fffe9215a1ac256cdd85e434c80deae04603f1a675fb9bb851b0dbfc25
S3_w64_s20_n0.5_b64,S3,64,20,0.5,64,standard,learned_unconstrained_matrix_context_action,0.29833333333333334,1.9690688006800716,0.12057981010226616,222,222,1,0.024833017960190773,125.203125,True,58c577fffe9215a1ac256cdd85e434c80deae04603f1a675fb9bb851b0dbfc25
S3_w64_s20_n0.5_b64,S3,64,20,0.5,64,standard,generic_low_rank_context_adapter,0.1625,2.75122202660718,0.38041203738176754,462,462,1,0.023333122953772545,125.203125,True,58c577fffe9215a1ac256cdd85e434c80deae04603f1a675fb9bb851b0dbfc25
S3_w64_s20_n0.5_b64,S3,64,20,0.5,64,standard,group_structured_without_hodge,0.5775,1.5384105160914214,0.16715769994232665,0,0,1,0.02191704697906971,125.203125,True,58c577fffe9215a1ac256cdd85e434c80deae04603f1a675fb9bb851b0dbfc25
S3_w64_s20_n0.5_b64,S3,64,20,0.5,64,standard,hodge_lr_generic_retransport,0.2825,1.8508193646387607,0.11970615344424329,66,66,6,0.022416934370994568,125.203125,True,58c577fffe9215a1ac256cdd85e434c80deae04603f1a675fb9bb851b0dbfc25
S3_w64_s20_n0.5_b64,S3,64,20,0.5,64,standard,random_multiplication_table_control,0.0,2.386617995781943,0.41721926161849043,0,0,1,0.024541979655623436,125.21875,True,58c577fffe9215a1ac256cdd85e434c80deae04603f1a675fb9bb851b0dbfc25
S3_w64_s20_n0.5_b64,S3,64,20,0.5,64,standard,shuffled_context_control,0.17416666666666666,2.164613708435451,0.24305259495182374,0,0,1,0.023499829694628716,125.21875,True,58c577fffe9215a1ac256cdd85e434c80deae04603f1a675fb9bb851b0dbfc25
S3_w64_s20_n1.0_b16,S3,64,20,1.0,16,standard,twistedmerge_hodge_lr,0.18583333333333332,2.115919330936746,0.23138592828515714,30,30,1,0.02212519757449627,125.25,True,993b233953144755d2369b5f7e15fb3da94ddb04775949de5a0c3bc05162fa93
