family,setting_id,seed,method,accuracy,loss,ece,residual_before,residual_after,residual_reduction,selected_rank,false_positive_lift_activation,trainable_parameters,stored_parameters,latency_ms,peak_memory_mb,context_samples,leakage_hash_passed,logits_sha256,cocycle_family,width,control_seed
controlled_mu2,mu2_w32_s1,1,distilled_chart_aware_predictor,0.5141666666666667,0.7126297290513983,0.06311714453110068,0.913202862505187,0.6774892051546679,0.23571365735051908,1,False,70,70,0.01,257.109375,512,True,c0833fef32c8e1f42d9fd9cc12fb15c0ee4dbf71bbda99fb8dc54dcf08115fe2,nontrivial_central,32,1
controlled_mu2,mu2_w32_s2,2,strict_synchronization,0.5008333333333334,0.8856569982769285,0.21661794107642093,0.9474252356554286,0.9474252356554286,0.0,0,False,0,0,0.01,257.125,512,True,961d62f903e1cc63e8460ccc75e76c1a14177f799c15f4a068ad16924e4a236b,noncentral_control,32,2
controlled_mu2,mu2_w32_s2,2,synchronization_cycle_norm_only,0.5008333333333334,0.8856569982769285,0.21661794107642093,0.9474252356554286,0.9474252356554286,0.0,0,False,0,0,0.01,257.125,512,True,961d62f903e1cc63e8460ccc75e76c1a14177f799c15f4a068ad16924e4a236b,noncentral_control,32,2
controlled_mu2,mu2_w32_s2,2,weighted_hodge,0.7433333333333333,0.5216631030445757,0.1350149909474243,0.9474252356554286,0.4737126178277143,0.4737126178277143,0,False,0,0,0.01,257.140625,512,True,961d62f903e1cc63e8460ccc75e76c1a14177f799c15f4a068ad16924e4a236b,noncentral_control,32,2
controlled_mu2,mu2_w32_s2,2,hodge_full_rank_correction,1.0,0.34887592470906137,0.2825487255902457,0.9474252356554286,0.0,0.9474252356554286,2,False,4,4,0.01,257.140625,512,True,961d62f903e1cc63e8460ccc75e76c1a14177f799c15f4a068ad16924e4a236b,noncentral_control,32,2
controlled_mu2,mu2_w32_s2,2,hodge_low_rank_correction,1.0,0.3488759247090613,0.2825487255902456,0.9474252356554286,2.526406193186023e-16,0.9474252356554284,1,False,2,2,0.01,257.140625,512,True,961d62f903e1cc63e8460ccc75e76c1a14177f799c15f4a068ad16924e4a236b,noncentral_control,32,2
controlled_mu2,mu2_w32_s2,2,low_rank_generic_router,0.495,0.6999852541388969,0.045913288494113975,0.9474252356554286,1.0878818197828597,-0.14045658412743112,1,False,70,70,0.01,257.140625,512,True,961d62f903e1cc63e8460ccc75e76c1a14177f799c15f4a068ad16924e4a236b,noncentral_control,32,2
controlled_mu2,mu2_w32_s2,2,low_rank_structured_router,1.0,0.34887592470906137,0.2825487255902457,0.9474252356554286,0.0,0.9474252356554286,1,False,2,2,0.01,257.140625,512,True,961d62f903e1cc63e8460ccc75e76c1a14177f799c15f4a068ad16924e4a236b,noncentral_control,32,2
controlled_mu2,mu2_w32_s2,2,canonicalize_pool_retransport,1.0,0.34887592470906137,0.2825487255902457,0.9474252356554286,0.0,0.9474252356554286,1,False,2,2,0.01,257.140625,512,True,961d62f903e1cc63e8460ccc75e76c1a14177f799c15f4a068ad16924e4a236b,noncentral_control,32,2
controlled_mu2,mu2_w32_s2,2,distilled_chart_aware_predictor,0.5133333333333333,0.7009173494242525,0.046549522807565545,0.9474252356554286,0.6863767440045652,0.2610484916508634,1,False,70,70,0.01,257.140625,512,True,961d62f903e1cc63e8460ccc75e76c1a14177f799c15f4a068ad16924e4a236b,noncentral_control,32,2
controlled_mu2,mu2_w32_s3,3,strict_synchronization,0.48333333333333334,0.9239405890754054,0.2401029418674051,1.0191805572903132,1.0191805572903132,0.0,0,False,0,0,0.01,257.140625,512,True,c153d8ec16b606d391008a1f496b7da1532de1f906daf82607a6cc0ee5cfef30,coboundary,32,3
controlled_mu2,mu2_w32_s3,3,synchronization_cycle_norm_only,0.48333333333333334,0.9239405890754054,0.2401029418674051,1.0191805572903132,1.0191805572903132,0.0,0,False,0,0,0.01,257.140625,512,True,c153d8ec16b606d391008a1f496b7da1532de1f906daf82607a6cc0ee5cfef30,coboundary,32,3
controlled_mu2,mu2_w32_s3,3,weighted_hodge,0.7225,0.5238509270160806,0.1151684087275409,1.0191805572903132,0.5095902786451566,0.5095902786451566,0,False,0,0,0.01,257.140625,512,True,c153d8ec16b606d391008a1f496b7da1532de1f906daf82607a6cc0ee5cfef30,coboundary,32,3
controlled_mu2,mu2_w32_s3,3,hodge_full_rank_correction,1.0,0.3410573956398532,0.27656372479926156,1.0191805572903132,0.0,1.0191805572903132,2,False,4,4,0.01,257.140625,512,True,c153d8ec16b606d391008a1f496b7da1532de1f906daf82607a6cc0ee5cfef30,coboundary,32,3
controlled_mu2,mu2_w32_s3,3,hodge_low_rank_correction,1.0,0.34105739563985327,0.27656372479926167,1.0191805572903132,2.294357077314319e-16,1.019180557290313,1,False,2,2,0.01,257.140625,512,True,c153d8ec16b606d391008a1f496b7da1532de1f906daf82607a6cc0ee5cfef30,coboundary,32,3
controlled_mu2,mu2_w32_s3,3,low_rank_generic_router,0.5233333333333333,0.6958412460498866,0.01720132248214079,1.0191805572903132,1.1287439954314267,-0.10956343814111347,1,False,70,70,0.01,257.140625,512,True,c153d8ec16b606d391008a1f496b7da1532de1f906daf82607a6cc0ee5cfef30,coboundary,32,3
