setting_id,selector_accuracy,greedy_accuracy,selector_minus_greedy
mnist_mlp_N3_W16_S1800,0.8551,0.8551,0.0
mnist_mlp_N3_W16_S1801,0.8156,0.8156,0.0
mnist_mlp_N3_W16_S1802,0.8324,0.8324,0.0
mnist_mlp_N3_W16_S1803,0.8336,0.8347,-0.0010999999999999899
mnist_mlp_N3_W16_S1804,0.8298,0.8298,0.0
mnist_mlp_N3_W16_S1805,0.8127,0.8099,0.0028000000000000247
mnist_mlp_N3_W16_S1806,0.814,0.814,0.0
mnist_mlp_N3_W16_S1807,0.8163,0.8243,-0.008000000000000007
mnist_mlp_N3_W16_S1808,0.832,0.8328,-0.0008000000000000229
mnist_mlp_N3_W16_S1809,0.838,0.8357,0.0022999999999999687
mnist_mlp_N3_W16_S1810,0.8288,0.8326,-0.0038000000000000256
mnist_mlp_N3_W16_S1811,0.8213,0.8207,0.0006000000000000449
mnist_mlp_N3_W16_S1812,0.8323,0.837,-0.0046999999999999265
mnist_mlp_N3_W16_S1813,0.8207,0.8207,0.0
mnist_mlp_N3_W16_S1814,0.8381,0.8381,0.0
mnist_mlp_N3_W16_S1815,0.8304,0.8368,-0.006399999999999961
mnist_mlp_N3_W16_S1816,0.8246,0.8246,0.0
mnist_mlp_N3_W16_S1817,0.8037,0.799,0.0046999999999999265
mnist_mlp_N3_W16_S1818,0.8318,0.8318,0.0
mnist_mlp_N3_W16_S1819,0.8339,0.8339,0.0
mnist_mlp_N3_W32_S1800,0.8651,0.8651,0.0
mnist_mlp_N3_W32_S1801,0.8592,0.8592,0.0
mnist_mlp_N3_W32_S1802,0.857,0.8575,-0.000500000000000056
mnist_mlp_N3_W32_S1803,0.864,0.864,0.0
mnist_mlp_N3_W32_S1804,0.8647,0.8654,-0.0006999999999999229
mnist_mlp_N3_W32_S1805,0.86,0.8602,-0.00019999999999997797
mnist_mlp_N3_W32_S1806,0.8613,0.8632,-0.0019000000000000128
mnist_mlp_N3_W32_S1807,0.8643,0.8615,0.0027999999999999137
mnist_mlp_N3_W32_S1808,0.8516,0.86,-0.008399999999999963
mnist_mlp_N3_W32_S1809,0.8621,0.8621,0.0
mnist_mlp_N3_W32_S1810,0.8714,0.8714,0.0
mnist_mlp_N3_W32_S1811,0.8596,0.8629,-0.0032999999999999696
mnist_mlp_N3_W32_S1812,0.8534,0.8534,0.0
mnist_mlp_N3_W32_S1813,0.8577,0.858,-0.00029999999999996696
mnist_mlp_N3_W32_S1814,0.8615,0.8615,0.0
mnist_mlp_N3_W32_S1815,0.8584,0.8584,0.0
mnist_mlp_N3_W32_S1816,0.8648,0.8648,0.0
mnist_mlp_N3_W32_S1817,0.8662,0.8675,-0.0013000000000000789
mnist_mlp_N3_W32_S1818,0.8593,0.8593,0.0
mnist_mlp_N3_W32_S1819,0.8685,0.8685,0.0
mnist_mlp_N3_W64_S1800,0.875,0.8813,-0.006299999999999972
mnist_mlp_N3_W64_S1801,0.874,0.8832,-0.009199999999999986
mnist_mlp_N3_W64_S1802,0.8776,0.8762,0.0014000000000000679
mnist_mlp_N3_W64_S1803,0.8734,0.8775,-0.0040999999999999925
mnist_mlp_N3_W64_S1804,0.8772,0.8833,-0.006099999999999994
mnist_mlp_N3_W64_S1805,0.8761,0.878,-0.0019000000000000128
mnist_mlp_N3_W64_S1806,0.8784,0.8797,-0.0013000000000000789
mnist_mlp_N3_W64_S1807,0.8706,0.8804,-0.00979999999999992
mnist_mlp_N3_W64_S1808,0.8727,0.8783,-0.005599999999999938
mnist_mlp_N3_W64_S1809,0.8719,0.88,-0.008099999999999996
mnist_mlp_N3_W64_S1810,0.8782,0.8801,-0.0019000000000000128
mnist_mlp_N3_W64_S1811,0.8819,0.8819,0.0
mnist_mlp_N3_W64_S1812,0.8813,0.8813,0.0
mnist_mlp_N3_W64_S1813,0.8811,0.8813,-0.00019999999999997797
mnist_mlp_N3_W64_S1814,0.8812,0.882,-0.0008000000000000229
mnist_mlp_N3_W64_S1815,0.8717,0.879,-0.007299999999999973
mnist_mlp_N3_W64_S1816,0.8794,0.8794,0.0
mnist_mlp_N3_W64_S1817,0.8809,0.8772,0.0037000000000000366
mnist_mlp_N3_W64_S1818,0.8651,0.8756,-0.010500000000000065
mnist_mlp_N3_W64_S1819,0.8842,0.8842,0.0
mnist_mlp_N4_W16_S1800,0.836,0.8336,0.0023999999999999577
mnist_mlp_N4_W16_S1801,0.8297,0.8324,-0.0027000000000000357
mnist_mlp_N4_W16_S1802,0.8243,0.8277,-0.0033999999999999586
mnist_mlp_N4_W16_S1803,0.8388,0.8363,0.0024999999999999467
mnist_mlp_N4_W16_S1804,0.8282,0.8275,0.0007000000000000339
mnist_mlp_N4_W16_S1805,0.8189,0.8189,0.0
mnist_mlp_N4_W16_S1806,0.833,0.8333,-0.000300000000000078
mnist_mlp_N4_W16_S1807,0.8332,0.8332,0.0
mnist_mlp_N4_W16_S1808,0.8414,0.8414,0.0
mnist_mlp_N4_W16_S1809,0.8325,0.8305,0.0020000000000000018
mnist_mlp_N4_W16_S1810,0.8278,0.8241,0.0036999999999999256
mnist_mlp_N4_W16_S1811,0.8315,0.8339,-0.0023999999999999577
mnist_mlp_N4_W16_S1812,0.8428,0.8428,0.0
mnist_mlp_N4_W16_S1813,0.8446,0.8446,0.0
mnist_mlp_N4_W16_S1814,0.8271,0.831,-0.0039000000000000146
mnist_mlp_N4_W16_S1815,0.8277,0.8277,0.0
