setting_id,group,width,seed,noise,context_budget,split,method,accuracy,loss,ece,trainable_parameters,stored_parameters,branch_count,latency_ms,peak_memory_mb,leakage_hash_passed,logits_sha256
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,words_length_4_5,twistedmerge_hodge_lr,0.8258333333333333,1.166554082436789,0.40952360965652146,30,30,1,0.023042084649205208,124.234375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,heldout_rs_after_sr,twistedmerge_hodge_lr,0.8456221198156681,1.14408805064009,0.43049712321518113,30,30,1,0.023042084649205208,124.328125,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,heldout_element,twistedmerge_hodge_lr,0.8376623376623377,1.1215781670545792,0.41191277981660335,30,30,1,0.023042084649205208,124.34375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,context_distribution_shift,twistedmerge_hodge_lr,0.8175,1.184399958918691,0.399452044419892,30,30,1,0.023042084649205208,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,words_length_4_5,generic_mixture_of_experts,0.615,1.6734802987966377,0.40453515782562366,42,42,6,0.02287491224706173,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,heldout_rs_after_sr,generic_mixture_of_experts,0.5576036866359447,1.6930089178990495,0.34689969006449345,42,42,6,0.02287491224706173,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,heldout_element,generic_mixture_of_experts,0.8701298701298701,1.56453991797207,0.6527296046594196,42,42,6,0.02287491224706173,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,context_distribution_shift,generic_mixture_of_experts,0.625,1.6717957736747378,0.41554078733747696,42,42,6,0.02287491224706173,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,words_length_4_5,learned_unconstrained_matrix_context_action,0.24833333333333332,1.8796175490363547,0.11444240407725309,222,222,1,0.017583835870027542,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,heldout_rs_after_sr,learned_unconstrained_matrix_context_action,0.22119815668202766,1.8924024640028891,0.12532293067068692,222,222,1,0.017583835870027542,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,heldout_element,learned_unconstrained_matrix_context_action,0.37662337662337664,1.6319264513874778,0.07512428819118466,222,222,1,0.017583835870027542,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,context_distribution_shift,learned_unconstrained_matrix_context_action,0.2425,1.8784147762269328,0.13003663977795202,222,222,1,0.017583835870027542,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,words_length_4_5,generic_low_rank_context_adapter,0.1975,2.1087932143823984,0.2173905157273006,462,462,1,0.021582935005426407,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,heldout_rs_after_sr,generic_low_rank_context_adapter,0.2304147465437788,2.0060958373718107,0.18039998248501737,462,462,1,0.021582935005426407,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,heldout_element,generic_low_rank_context_adapter,0.07792207792207792,2.3856513226199705,0.3347814194066744,462,462,1,0.021582935005426407,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,context_distribution_shift,generic_low_rank_context_adapter,0.2,2.071824941223353,0.21258239721880773,462,462,1,0.021582935005426407,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,words_length_4_5,group_structured_without_hodge,0.8258333333333333,1.166554082436789,0.40952360965652135,0,0,1,0.02237502485513687,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,heldout_rs_after_sr,group_structured_without_hodge,0.8456221198156681,1.14408805064009,0.43049712321518113,0,0,1,0.02237502485513687,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,heldout_element,group_structured_without_hodge,0.8376623376623377,1.1215781670545797,0.41191277981660335,0,0,1,0.02237502485513687,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,context_distribution_shift,group_structured_without_hodge,0.8175,1.184399958918691,0.3994520444198921,0,0,1,0.02237502485513687,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,words_length_4_5,hodge_lr_generic_retransport,0.4533333333333333,1.4586048074398088,0.1258321823401104,66,66,6,0.02208305522799492,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,heldout_rs_after_sr,hodge_lr_generic_retransport,0.4769585253456221,1.4144943937724843,0.14745771317998832,66,66,6,0.02208305522799492,124.453125,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,heldout_element,hodge_lr_generic_retransport,0.4675324675324675,1.5329372152898377,0.14279412273488812,66,66,6,0.02208305522799492,124.453125,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,context_distribution_shift,hodge_lr_generic_retransport,0.4275,1.4542496128712101,0.09509217247524827,66,66,6,0.02208305522799492,124.46875,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,words_length_4_5,random_multiplication_table_control,0.1575,2.2391317859253657,0.25971926161849046,0,0,1,0.022416934370994568,124.46875,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,heldout_rs_after_sr,random_multiplication_table_control,0.1175115207373272,2.3000813907516178,0.29761347586315984,0,0,1,0.022416934370994568,124.46875,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,heldout_element,random_multiplication_table_control,0.0,2.610424179356769,0.4257495578457343,0,0,1,0.022416934370994568,124.46875,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,context_distribution_shift,random_multiplication_table_control,0.14,2.2705911363321776,0.2793491195484189,0,0,1,0.022416934370994568,124.46875,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,words_length_4_5,shuffled_context_control,0.1625,2.1815787706726493,0.2547192616184904,0,0,1,0.02200016751885414,124.46875,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
