setting_id,group,seed,noise,validation_samples,test_samples,method,accuracy,nll,brier,ece,classwise_ece,leakage_hash_passed,logits_sha256
S3_s20_n1.0,S3,20,1.0,400,800,learned_unconstrained_matrix_context_action_temperature,0.18125,1.805016402053881,0.8381576149380945,0.0305047337185556,0.020096992424446392,True,a9625721e4fa0945076e9f7ab1bcb31be7e1858a9a90fac739d9bd461b6fa1a2
S3_s21_n0.2,S3,21,0.2,400,800,twistedmerge_hodge_lr_uncalibrated,0.83375,1.1549802106003921,0.5442715361346008,0.4092249578015535,0.09308256202799033,True,07cd9e2eb98a4c3e60a39332a040ab6c96f67847637611550c79deca71766a01
S3_s21_n0.2,S3,21,0.2,400,800,twistedmerge_hodge_lr_temperature,0.83375,1.044539460600116,0.43750504232122106,0.24914314160077136,0.06595551250347662,True,07cd9e2eb98a4c3e60a39332a040ab6c96f67847637611550c79deca71766a01
S3_s21_n0.2,S3,21,0.2,400,800,twistedmerge_hodge_lr_vector,0.75625,1.0638193715962725,0.4407703280396514,0.16562668289544422,0.06185064080523989,True,07cd9e2eb98a4c3e60a39332a040ab6c96f67847637611550c79deca71766a01
S3_s21_n0.2,S3,21,0.2,400,800,generic_mixture_of_experts_uncalibrated,0.8075,1.6229833389964363,0.7727256025270327,0.6003476940311556,0.10821318633766369,True,07cd9e2eb98a4c3e60a39332a040ab6c96f67847637611550c79deca71766a01
S3_s21_n0.2,S3,21,0.2,400,800,generic_mixture_of_experts_temperature,0.8075,1.2038082107375379,0.5739158056726859,0.41515332093031765,0.09756540549886282,True,07cd9e2eb98a4c3e60a39332a040ab6c96f67847637611550c79deca71766a01
S3_s21_n0.2,S3,21,0.2,400,800,learned_unconstrained_matrix_context_action_uncalibrated,0.6,1.3368411618832692,0.6345202363727426,0.1860328531134676,0.06324986674040924,True,07cd9e2eb98a4c3e60a39332a040ab6c96f67847637611550c79deca71766a01
S3_s21_n0.2,S3,21,0.2,400,800,learned_unconstrained_matrix_context_action_temperature,0.6,1.3190512257842044,0.6073868041052826,0.13354095183383594,0.05478407096789648,True,07cd9e2eb98a4c3e60a39332a040ab6c96f67847637611550c79deca71766a01
S3_s21_n0.5,S3,21,0.5,400,800,twistedmerge_hodge_lr_uncalibrated,0.62375,1.473934416744533,0.6774612688288641,0.22444096424413507,0.0631301829575697,True,13d0db409ad69543cf5a674334af10c0370c74daf1cfe099037d1a8927074b58
S3_s21_n0.5,S3,21,0.5,400,800,twistedmerge_hodge_lr_temperature,0.62375,1.4981095702361296,0.7070734225882594,0.2859028139020415,0.06207277422499749,True,13d0db409ad69543cf5a674334af10c0370c74daf1cfe099037d1a8927074b58
S3_s21_n0.5,S3,21,0.5,400,800,twistedmerge_hodge_lr_vector,0.515,1.5079917468768331,0.7104460441703023,0.1622443566738747,0.06698228834196708,True,13d0db409ad69543cf5a674334af10c0370c74daf1cfe099037d1a8927074b58
S3_s21_n0.5,S3,21,0.5,400,800,generic_mixture_of_experts_uncalibrated,0.53,1.7200792805758136,0.8082649685127086,0.3379881255900493,0.03739593244175695,True,13d0db409ad69543cf5a674334af10c0370c74daf1cfe099037d1a8927074b58
S3_s21_n0.5,S3,21,0.5,400,800,generic_mixture_of_experts_temperature,0.53,1.5502174714280137,0.730857454716682,0.22607107969901608,0.06233000951228698,True,13d0db409ad69543cf5a674334af10c0370c74daf1cfe099037d1a8927074b58
S3_s21_n0.5,S3,21,0.5,400,800,learned_unconstrained_matrix_context_action_uncalibrated,0.27,1.908819710481156,0.8584484413313745,0.1466057588420822,0.06711211171928477,True,13d0db409ad69543cf5a674334af10c0370c74daf1cfe099037d1a8927074b58
S3_s21_n0.5,S3,21,0.5,400,800,learned_unconstrained_matrix_context_action_temperature,0.27,1.745429214255247,0.8162047147118288,0.04937935752063862,0.032731741025329185,True,13d0db409ad69543cf5a674334af10c0370c74daf1cfe099037d1a8927074b58
S3_s21_n1.0,S3,21,1.0,400,800,twistedmerge_hodge_lr_uncalibrated,0.16875,2.156869190114503,0.9627482087902297,0.2568455629216768,0.11599954225023874,True,d7041c468e4433272ffbf551a98b2d077f5ccb352bd8ad04d4d4bc5e9cbac40c
S3_s21_n1.0,S3,21,1.0,400,800,twistedmerge_hodge_lr_temperature,0.16875,1.801406284052359,0.8371830975304545,0.04448252555009146,0.024783357936685818,True,d7041c468e4433272ffbf551a98b2d077f5ccb352bd8ad04d4d4bc5e9cbac40c
S3_s21_n1.0,S3,21,1.0,400,800,twistedmerge_hodge_lr_vector,0.195,1.799752462979757,0.8355784074991306,0.01730755647725574,0.02217757071993502,True,d7041c468e4433272ffbf551a98b2d077f5ccb352bd8ad04d4d4bc5e9cbac40c
