group,noise,context_budget,method,accuracy,loss,ece,trainable_parameters,latency_ms
D4,0.2,16,generic_low_rank_context_adapter,0.15525,2.4284736861795264,0.20807099581534277,648.0,0.008978880941867828
D4,0.2,16,generic_mixture_of_experts,0.5558333333333334,1.969857546023724,0.4068290742351868,72.0,0.008916482329368591
D4,0.2,16,group_structured_without_hodge,0.82825,1.3433628872130865,0.4675283216973858,0.0,0.009145354852080345
D4,0.2,16,hodge_lr_generic_retransport,0.4083333333333333,1.6894689160562026,0.13618649549806022,120.0,0.009104493074119091
D4,0.2,16,learned_unconstrained_matrix_context_action,0.22591666666666668,1.9782917977754153,0.04085452919706099,520.0,0.008958391845226288
D4,0.2,16,random_multiplication_table_control,0.07633333333333334,2.5716240829818515,0.2849374679033828,0.0,0.008604023605585098
D4,0.2,16,shuffled_context_control,0.13183333333333333,2.475418863835987,0.22972020553854486,0.0,0.008645933121442795
D4,0.2,16,twistedmerge_hodge_lr,0.82825,1.3433628872130865,0.4675283216973857,56.0,0.009458046406507492
D4,0.2,64,generic_low_rank_context_adapter,0.13691666666666666,2.9749716627123,0.3373611756111024,648.0,0.008395523764193058
D4,0.2,64,generic_mixture_of_experts,0.6998333333333333,1.9549126196226347,0.5523464114286474,72.0,0.009103561751544476
D4,0.2,64,group_structured_without_hodge,0.82575,1.3493299669213128,0.4651925081505956,0.0,0.008521019481122494
D4,0.2,64,hodge_lr_generic_retransport,0.3139166666666667,1.8587932928550692,0.0416816524416194,120.0,0.008895527571439743
D4,0.2,64,learned_unconstrained_matrix_context_action,0.3711666666666667,1.911281169873784,0.09706877596704666,520.0,0.008770963177084923
D4,0.2,64,random_multiplication_table_control,0.09816666666666667,2.5270140115425344,0.2764395295133063,0.0,0.008791917935013771
D4,0.2,64,shuffled_context_control,0.13391666666666668,2.4722665686070533,0.22793900680234852,0.0,0.008520437404513359
D4,0.2,64,twistedmerge_hodge_lr,0.82575,1.3493299669213126,0.4651925081505956,56.0,0.009103910997509956
D4,0.5,16,generic_low_rank_context_adapter,0.15558333333333335,2.4283063140507215,0.20755655110325194,648.0,0.008583534508943558
D4,0.5,16,generic_mixture_of_experts,0.30183333333333334,2.038351447675249,0.15626813463851158,72.0,0.008999952115118504
D4,0.5,16,group_structured_without_hodge,0.5685,1.770647646455122,0.22190360630026662,0.0,0.008875038474798203
