cocycle_family,width,method,accuracy,residual_before,residual_after,selected_rank,leakage_hash_passed
coboundary,32,canonicalize_pool_retransport,1.0,0.9957305374802932,0.0,1.0,True
coboundary,32,distilled_chart_aware_predictor,0.49108333333333337,0.9957305374802932,0.7336759616076749,1.0,True
coboundary,32,hodge_full_rank_correction,1.0,0.9957305374802932,0.0,2.0,True
coboundary,32,hodge_low_rank_correction,1.0,0.9957305374802932,2.437849796116187e-16,1.0,True
coboundary,32,low_rank_generic_router,0.50075,0.9957305374802932,1.1278248598548066,1.0,True
coboundary,32,low_rank_structured_router,1.0,0.9957305374802932,0.0,1.0,True
coboundary,32,strict_synchronization,0.5033333333333333,0.9957305374802932,0.9957305374802932,0.0,True
coboundary,32,synchronization_cycle_norm_only,0.5033333333333333,0.9957305374802932,0.9957305374802932,0.0,True
coboundary,32,weighted_hodge,0.747,0.9957305374802932,0.4978652687401466,0.0,True
coboundary,64,canonicalize_pool_retransport,1.0,0.9407751151736431,0.0,1.0,True
coboundary,64,distilled_chart_aware_predictor,0.49883333333333335,0.9407751151736431,0.7144273209609372,1.0,True
coboundary,64,hodge_full_rank_correction,1.0,0.9407751151736431,0.0,2.0,True
coboundary,64,hodge_low_rank_correction,1.0,0.9407751151736431,2.2162872756470072e-16,1.0,True
coboundary,64,low_rank_generic_router,0.5,0.9407751151736431,1.1181466912237297,1.0,True
coboundary,64,low_rank_structured_router,1.0,0.9407751151736431,0.0,1.0,True
coboundary,64,strict_synchronization,0.49466666666666664,0.9407751151736431,0.9407751151736431,0.0,True
coboundary,64,synchronization_cycle_norm_only,0.49466666666666664,0.9407751151736431,0.9407751151736431,0.0,True
coboundary,64,weighted_hodge,0.7464166666666666,0.9407751151736431,0.47038755758682155,0.0,True
noncentral_control,32,canonicalize_pool_retransport,1.0,1.0477444314843098,0.0,1.0,True
noncentral_control,32,distilled_chart_aware_predictor,0.5021666666666667,1.0477444314843098,0.7638597298160115,1.0,True
noncentral_control,32,hodge_full_rank_correction,1.0,1.0477444314843098,0.0,2.0,True
noncentral_control,32,hodge_low_rank_correction,1.0,1.0477444314843098,2.307369995265449e-16,1.0,True
noncentral_control,32,low_rank_generic_router,0.5021666666666667,1.0477444314843098,1.1231943640491546,1.0,True
noncentral_control,32,low_rank_structured_router,1.0,1.0477444314843098,0.0,1.0,True
noncentral_control,32,strict_synchronization,0.4998333333333333,1.0477444314843098,1.0477444314843098,0.0,True
noncentral_control,32,synchronization_cycle_norm_only,0.4998333333333333,1.0477444314843098,1.0477444314843098,0.0,True
noncentral_control,32,weighted_hodge,0.7456666666666667,1.0477444314843098,0.5238722157421549,0.0,True
noncentral_control,64,canonicalize_pool_retransport,1.0,0.9576718340572272,0.0,1.0,True
noncentral_control,64,distilled_chart_aware_predictor,0.502,0.9576718340572272,0.7357964529036362,1.0,True
noncentral_control,64,hodge_full_rank_correction,1.0,0.9576718340572272,0.0,2.0,True
noncentral_control,64,hodge_low_rank_correction,1.0,0.9576718340572272,2.2258186073827645e-16,1.0,True
noncentral_control,64,low_rank_generic_router,0.4996666666666667,0.9576718340572272,1.1079813947571586,1.0,True
noncentral_control,64,low_rank_structured_router,1.0,0.9576718340572272,0.0,1.0,True
noncentral_control,64,strict_synchronization,0.5048333333333332,0.9576718340572272,0.9576718340572272,0.0,True
noncentral_control,64,synchronization_cycle_norm_only,0.5048333333333332,0.9576718340572272,0.9576718340572272,0.0,True
noncentral_control,64,weighted_hodge,0.7524166666666667,0.9576718340572272,0.4788359170286136,0.0,True
nontrivial_central,32,canonicalize_pool_retransport,1.0,1.0220009061604585,0.0,1.0,True
nontrivial_central,32,distilled_chart_aware_predictor,0.5055833333333333,1.0220009061604585,0.7489352018529554,1.0,True
nontrivial_central,32,hodge_full_rank_correction,1.0,1.0220009061604585,0.0,2.0,True
nontrivial_central,32,hodge_low_rank_correction,1.0,1.0220009061604585,2.2307571511495257e-16,1.0,True
nontrivial_central,32,low_rank_generic_router,0.5084166666666666,1.0220009061604585,1.1330329927053482,1.0,True
nontrivial_central,32,low_rank_structured_router,1.0,1.0220009061604585,0.0,1.0,True
nontrivial_central,32,strict_synchronization,0.49574999999999997,1.0220009061604585,1.0220009061604585,0.0,True
nontrivial_central,32,synchronization_cycle_norm_only,0.49574999999999997,1.0220009061604585,1.0220009061604585,0.0,True
nontrivial_central,32,weighted_hodge,0.7473333333333333,1.0220009061604585,0.5110004530802292,0.0,True
nontrivial_central,64,canonicalize_pool_retransport,1.0,0.9957947751537702,0.0,1.0,True
nontrivial_central,64,distilled_chart_aware_predictor,0.49975,0.9957947751537702,0.751416454034047,1.0,True
nontrivial_central,64,hodge_full_rank_correction,1.0,0.9957947751537702,0.0,2.0,True
nontrivial_central,64,hodge_low_rank_correction,1.0,0.9957947751537702,1.968287903144557e-16,1.0,True
nontrivial_central,64,low_rank_generic_router,0.50675,0.9957947751537702,1.116971816821481,1.0,True
nontrivial_central,64,low_rank_structured_router,1.0,0.9957947751537702,0.0,1.0,True
nontrivial_central,64,strict_synchronization,0.49400000000000005,0.9957947751537702,0.9957947751537702,0.0,True
nontrivial_central,64,synchronization_cycle_norm_only,0.49400000000000005,0.9957947751537702,0.9957947751537702,0.0,True
nontrivial_central,64,weighted_hodge,0.7461666666666666,0.9957947751537702,0.4978973875768851,0.0,True
