group,noise,context_budget,method,accuracy,trainable_parameters,latency_ms
S3,0.5,16,generic_mixture_of_experts,0.34933333333333333,42.0,0.022687483578920364
S3,0.5,16,group_structured_without_hodge,0.5935833333333334,0.0,0.02247956581413746
S3,0.5,16,hodge_lr_generic_retransport,0.34408333333333335,66.0,0.022166408598423004
S3,0.5,16,learned_unconstrained_matrix_context_action,0.2089166666666667,222.0,0.021270476281642914
S3,0.5,16,random_multiplication_table_control,0.27091666666666664,0.0,0.022833002731204033
S3,0.5,16,shuffled_context_control,0.17066666666666666,0.0,0.02264545764774084
S3,0.5,16,twistedmerge_hodge_lr,0.5935833333333334,30.0,0.022707972675561905
S3,0.5,64,generic_low_rank_context_adapter,0.18175000000000002,462.0,0.02195802517235279
S3,0.5,64,generic_mixture_of_experts,0.4265,42.0,0.022333464585244656
S3,0.5,64,group_structured_without_hodge,0.585,0.0,0.022521009668707848
S3,0.5,64,hodge_lr_generic_retransport,0.2768333333333334,66.0,0.021478976123034954
S3,0.5,64,learned_unconstrained_matrix_context_action,0.2725,222.0,0.02339598722755909
S3,0.5,64,random_multiplication_table_control,0.14525000000000002,0.0,0.023145461454987526
S3,0.5,64,shuffled_context_control,0.16883333333333334,0.0,0.022854539565742016
S3,0.5,64,twistedmerge_hodge_lr,0.585,30.0,0.023167114704847336
S3,1.0,16,generic_low_rank_context_adapter,0.19133333333333333,462.0,0.023290980607271194
S3,1.0,16,generic_mixture_of_experts,0.15733333333333333,42.0,0.02295919694006443
S3,1.0,16,group_structured_without_hodge,0.17066666666666666,0.0,0.02291705459356308
S3,1.0,16,hodge_lr_generic_retransport,0.18483333333333335,66.0,0.022666994482278824
S3,1.0,16,learned_unconstrained_matrix_context_action,0.16133333333333333,222.0,0.022707972675561905
S3,1.0,16,random_multiplication_table_control,0.125,0.0,0.023416010662913322
S3,1.0,16,shuffled_context_control,0.17333333333333334,0.0,0.022958964109420776
S3,1.0,16,twistedmerge_hodge_lr,0.17066666666666666,30.0,0.023707980290055275
S3,1.0,64,generic_low_rank_context_adapter,0.17966666666666667,462.0,0.02133287489414215
S3,1.0,64,generic_mixture_of_experts,0.14733333333333334,42.0,0.022208085283637047
S3,1.0,64,group_structured_without_hodge,0.1685,0.0,0.02266606315970421
S3,1.0,64,hodge_lr_generic_retransport,0.17766666666666667,66.0,0.022207852452993393
S3,1.0,64,learned_unconstrained_matrix_context_action,0.16099999999999998,222.0,0.02245907671749592
S3,1.0,64,random_multiplication_table_control,0.029666666666666668,0.0,0.022124964743852615
S3,1.0,64,shuffled_context_control,0.16466666666666668,0.0,0.023165950551629066
S3,1.0,64,twistedmerge_hodge_lr,0.1685,30.0,0.02345792017877102
