setting_id,candidate,output_type,parameter_multiplier,active_parameters,stored_checkpoint_bytes,inference_multiplier,branches,same_capacity_single_model,merge_compute_seconds,training_compute_seconds_group,test_inference_seconds,test_samples,peak_process_memory_mb,generation_validation_evals,selector_validation_eval
post_iclr_v2_mnist_mlp_N4_W32_S9100,official_c2m3,same_capacity_single_model,1.0,25450,101800,1.0,1,True,2.6886754580773413,0.5062588339205831,0.02508812490850687,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,permutation_gauge_merge,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.11228416697122157,0.5062588339205831,0.0244594169780612,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,positive_monomial_gauge_merge,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0019652920309454203,0.5062588339205831,0.023791916901245713,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,permutation_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.07651516608893871,0.5062588339205831,0.023607874987646937,1000,470592.0,8,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,monomial_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.08084708405658603,0.5062588339205831,0.02346958313137293,1000,470592.0,8,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,union_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.2282627080567181,0.5062588339205831,0.023393541108816862,1000,470592.0,24,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,ordinary_weighted_soup_0,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003773749340325594,0.5062588339205831,0.023235375061631203,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,ordinary_weighted_soup_1,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00031841685995459557,0.5062588339205831,0.02341024996712804,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,ordinary_weighted_soup_2,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003346248995512724,0.5062588339205831,0.023181458935141563,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,ordinary_weighted_soup_3,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00035662506707012653,0.5062588339205831,0.023445041151717305,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,ordinary_weighted_soup_4,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00034262496046721935,0.5062588339205831,0.023279875051230192,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,ordinary_weighted_soup_5,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00032708398066461086,0.5062588339205831,0.02420804207213223,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,ordinary_weighted_soup_6,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003390840720385313,0.5062588339205831,0.025274791987612844,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,individual_0,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.3844793748576194,0.023688415996730328,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,individual_1,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.3844793748576194,0.023298999993130565,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,individual_2,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.3844793748576194,0.023465791950002313,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,weight_average,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.00035795802250504494,0.3844793748576194,0.023507958045229316,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,greedy_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.05951362522318959,0.3844793748576194,0.024738708045333624,1000,470592.0,6,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,official_git_rebasin,same_capacity_single_model,1.0,25450,101800,1.0,1,True,2.4609016668982804,0.3844793748576194,0.023740958189591765,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,official_c2m3,same_capacity_single_model,1.0,25450,101800,1.0,1,True,1.3944482081569731,0.3844793748576194,0.0235169162042439,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,permutation_gauge_merge,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.08320325007662177,0.3844793748576194,0.0234887080732733,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,positive_monomial_gauge_merge,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0013695000670850277,0.3844793748576194,0.02334470790810883,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,permutation_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.06129008298739791,0.3844793748576194,0.02430612500756979,1000,470592.0,6,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,monomial_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.06002541701309383,0.3844793748576194,0.023598042083904147,1000,470592.0,6,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,union_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.17380374995991588,0.3844793748576194,0.024462916888296604,1000,470592.0,18,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,ordinary_weighted_soup_0,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00034675002098083496,0.3844793748576194,0.028510458068922162,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,ordinary_weighted_soup_1,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00032066600397229195,0.3844793748576194,0.02860029204748571,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,ordinary_weighted_soup_2,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003238329663872719,0.3844793748576194,0.02511749998666346,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,ordinary_weighted_soup_3,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00031566619873046875,0.3844793748576194,0.02390862489119172,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,ordinary_weighted_soup_4,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00030645797960460186,0.3844793748576194,0.023693958995863795,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,ordinary_weighted_soup_5,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003097921144217253,0.3844793748576194,0.02493866696022451,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9101,ordinary_weighted_soup_6,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00030704191885888577,0.3844793748576194,0.02488191705197096,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,individual_0,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.48993899999186397,0.02448629098944366,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,individual_1,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.48993899999186397,0.02482662512920797,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,individual_2,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.48993899999186397,0.023552083177492023,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,individual_3,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.48993899999186397,0.02362162503413856,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,weight_average,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.00032420805655419827,0.48993899999186397,0.02472124993801117,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,greedy_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0766875830013305,0.48993899999186397,0.02505616587586701,1000,470592.0,8,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,official_git_rebasin,same_capacity_single_model,1.0,25450,101800,1.0,1,True,3.692690458148718,0.48993899999186397,0.024281834019348025,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,official_c2m3,same_capacity_single_model,1.0,25450,101800,1.0,1,True,2.785275291884318,0.48993899999186397,0.023791333194822073,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,permutation_gauge_merge,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.11375862499698997,0.48993899999186397,0.023729708045721054,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,positive_monomial_gauge_merge,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0017939170356839895,0.48993899999186397,0.02382295811548829,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,permutation_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.07698466605506837,0.48993899999186397,0.02366629196330905,1000,470592.0,8,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,monomial_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.08153950003907084,0.48993899999186397,0.023729207925498486,1000,470592.0,8,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,union_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.24561937479302287,0.48993899999186397,0.023516666842624545,1000,470592.0,24,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,ordinary_weighted_soup_0,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003834578674286604,0.48993899999186397,0.02348679187707603,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,ordinary_weighted_soup_1,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003421669825911522,0.48993899999186397,0.023732250090688467,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,ordinary_weighted_soup_2,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003544578794389963,0.48993899999186397,0.023678916972130537,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,ordinary_weighted_soup_3,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0004067921545356512,0.48993899999186397,0.02350733312778175,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,ordinary_weighted_soup_4,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003771660849452019,0.48993899999186397,0.023576832842081785,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,ordinary_weighted_soup_5,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00034162518568336964,0.48993899999186397,0.02413783292286098,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9101,ordinary_weighted_soup_6,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00037195789627730846,0.48993899999186397,0.02567808306775987,1000,470592.0,0,1
