dimension_m,dimension_n,rank,adapter_count,precision,method,peak_rss_bytes,baseline_rss_bytes,incremental_peak_rss_bytes,accelerator_peak_bytes,temporary_allocation_bytes_analytical,dense_effective_update_allocations,dense_effective_update_bytes,stored_result_bytes,bytes_read,bytes_written
768,768,8,4,float32,cycle_aware_alignment,265420800,264044544,1376256,not_available_cpu_benchmark,200704,0,0,49152,0,0
768,768,8,4,float32,dense_deterministic_truncated_svd,290078720,286867456,3211264,not_available_cpu_benchmark,2555904,1,2359296,49152,0,0
768,768,8,4,float32,dense_randomized_svd,290127872,286932992,3194880,not_available_cpu_benchmark,2555904,1,2359296,49152,0,0
768,768,8,4,float32,global_synchronization,272269312,222625792,49643520,not_available_cpu_benchmark,200704,0,0,49152,0,0
768,768,8,4,float32,naive_factor_average,287899648,286851072,1048576,not_available_cpu_benchmark,98304,0,0,49152,0,0
768,768,8,4,float32,pairwise_reference_alignment,287981568,286900224,1081344,not_available_cpu_benchmark,200704,0,0,49152,0,0
768,768,8,8,float32,canonical_factor_space,263274496,262324224,950272,not_available_cpu_benchmark,405504,0,0,49152,0,0
768,768,8,8,float32,cycle_aware_alignment,285294592,277250048,8044544,not_available_cpu_benchmark,409600,0,0,49152,0,0
768,768,8,8,float32,dense_deterministic_truncated_svd,290308096,287178752,3129344,not_available_cpu_benchmark,2555904,1,2359296,49152,0,0
768,768,8,8,float32,dense_randomized_svd,290177024,286949376,3227648,not_available_cpu_benchmark,2555904,1,2359296,49152,0,0
768,768,8,8,float32,global_synchronization,276283392,274300928,1982464,not_available_cpu_benchmark,409600,0,0,49152,0,0
768,768,8,8,float32,naive_factor_average,266354688,265338880,1015808,not_available_cpu_benchmark,98304,0,0,49152,0,0
768,768,8,8,float32,pairwise_reference_alignment,261292032,259440640,1851392,not_available_cpu_benchmark,409600,0,0,49152,0,0
768,768,8,16,float32,canonical_factor_space,266485760,262111232,4374528,not_available_cpu_benchmark,811008,0,0,49152,0,0
768,768,8,16,float32,cycle_aware_alignment,266092544,252444672,13647872,not_available_cpu_benchmark,851968,0,0,49152,0,0
768,768,8,16,float32,dense_deterministic_truncated_svd,271433728,267698176,3735552,not_available_cpu_benchmark,2555904,1,2359296,49152,0,0
768,768,8,16,float32,dense_randomized_svd,265125888,259211264,5914624,not_available_cpu_benchmark,2555904,1,2359296,49152,0,0
768,768,8,16,float32,global_synchronization,274546688,264912896,9633792,not_available_cpu_benchmark,851968,0,0,49152,0,0
768,768,8,16,float32,naive_factor_average,271695872,269352960,2342912,not_available_cpu_benchmark,98304,0,0,49152,0,0
768,768,8,16,float32,pairwise_reference_alignment,270761984,267141120,3620864,not_available_cpu_benchmark,851968,0,0,49152,0,0
768,768,16,4,float32,canonical_factor_space,261029888,259981312,1048576,not_available_cpu_benchmark,417792,0,0,98304,0,0
768,768,16,4,float32,cycle_aware_alignment,267468800,265469952,1998848,not_available_cpu_benchmark,409600,0,0,98304,0,0
768,768,16,4,float32,dense_deterministic_truncated_svd,266715136,261783552,4931584,not_available_cpu_benchmark,2654208,1,2359296,98304,0,0
768,768,16,4,float32,dense_randomized_svd,266190848,262176768,4014080,not_available_cpu_benchmark,2654208,1,2359296,98304,0,0
768,768,16,4,float32,global_synchronization,246579200,227311616,19267584,not_available_cpu_benchmark,409600,0,0,98304,0,0
768,768,16,4,float32,naive_factor_average,278315008,270893056,7421952,not_available_cpu_benchmark,196608,0,0,98304,0,0
768,768,16,4,float32,pairwise_reference_alignment,264798208,262602752,2195456,not_available_cpu_benchmark,409600,0,0,98304,0,0
768,768,16,8,float32,canonical_factor_space,266272768,264716288,1556480,not_available_cpu_benchmark,835584,0,0,98304,0,0
768,768,16,8,float32,cycle_aware_alignment,265289728,259538944,5750784,not_available_cpu_benchmark,851968,0,0,98304,0,0
768,768,16,8,float32,dense_deterministic_truncated_svd,266502144,262406144,4096000,not_available_cpu_benchmark,2654208,1,2359296,98304,0,0
768,768,16,8,float32,dense_randomized_svd,255377408,195166208,60211200,not_available_cpu_benchmark,2654208,1,2359296,98304,0,0
768,768,16,8,float32,global_synchronization,292323328,287227904,5095424,not_available_cpu_benchmark,851968,0,0,98304,0,0
768,768,16,8,float32,naive_factor_average,275726336,268435456,7290880,not_available_cpu_benchmark,196608,0,0,98304,0,0
768,768,16,8,float32,pairwise_reference_alignment,290029568,287555584,2473984,not_available_cpu_benchmark,851968,0,0,98304,0,0
768,768,16,16,float32,canonical_factor_space,270024704,267714560,2310144,not_available_cpu_benchmark,1671168,0,0,98304,0,0
768,768,16,16,float32,cycle_aware_alignment,304644096,277135360,27508736,not_available_cpu_benchmark,1835008,0,0,98304,0,0
768,768,16,16,float32,dense_deterministic_truncated_svd,268468224,263438336,5029888,not_available_cpu_benchmark,2654208,1,2359296,98304,0,0
768,768,16,16,float32,dense_randomized_svd,292782080,288227328,4554752,not_available_cpu_benchmark,2654208,1,2359296,98304,0,0
768,768,16,16,float32,global_synchronization,318898176,288161792,30736384,not_available_cpu_benchmark,1835008,0,0,98304,0,0
768,768,16,16,float32,naive_factor_average,267894784,266878976,1015808,not_available_cpu_benchmark,196608,0,0,98304,0,0
768,768,16,16,float32,pairwise_reference_alignment,272252928,267730944,4521984,not_available_cpu_benchmark,1835008,0,0,98304,0,0
768,768,32,4,float32,canonical_factor_space,280657920,279117824,1540096,not_available_cpu_benchmark,884736,0,0,196608,0,0
