dimension_m,dimension_n,rank,adapter_count,precision,method,status,warmups,process_isolated,seed,trial,wall_seconds,cpu_seconds,baseline_rss_bytes,peak_rss_bytes,incremental_peak_rss_bytes,accelerator_peak_bytes,temporary_allocation_bytes_analytical,dense_effective_update_allocations,dense_effective_update_bytes,stored_result_bytes,bytes_read,bytes_written,decision,cycle_frobenius_defect,cycle_spectral_defect
768,768,4,8,float32,dense_deterministic_truncated_svd,success,1,True,21029127,1,0.0014606248587369,0.001459,278593536,281706496,3112960,,2506752,1,2359296,24576,0,0,dense_deterministic_range_svd,0.0,0.0
768,768,4,8,float32,dense_deterministic_truncated_svd,success,1,True,21029127,2,0.0014597498811781,0.001459,278593536,281706496,3112960,,2506752,1,2359296,24576,0,0,dense_deterministic_range_svd,0.0,0.0
768,768,4,8,float32,dense_randomized_svd,success,1,True,21029127,0,0.0011527079623192,0.0011499999999999,286818304,289849344,3031040,,2506752,1,2359296,24576,0,0,dense_randomized_svd,0.0,0.0
768,768,4,8,float32,dense_randomized_svd,success,1,True,21029127,1,0.0009422921575605,0.000941,286818304,289882112,3063808,,2506752,1,2359296,24576,0,0,dense_randomized_svd,0.0,0.0
768,768,4,8,float32,dense_randomized_svd,success,1,True,21029127,2,0.0009047081694006,0.0009029999999999,286818304,289882112,3063808,,2506752,1,2359296,24576,0,0,dense_randomized_svd,0.0,0.0
768,768,4,8,float32,canonical_factor_space,success,1,True,21029127,0,0.0034005418419837,0.0030529999999999,260210688,267567104,7356416,,199680,0,0,24576,0,0,per_adapter_thin_qr_core_svd,0.0,0.0
768,768,4,8,float32,canonical_factor_space,success,1,True,21029127,1,0.0018443749286234,0.0017819999999999,260210688,267567104,7356416,,199680,0,0,24576,0,0,per_adapter_thin_qr_core_svd,0.0,0.0
768,768,4,8,float32,canonical_factor_space,success,1,True,21029127,2,0.0012831669300794,0.0012510000000001,260210688,267567104,7356416,,199680,0,0,24576,0,0,per_adapter_thin_qr_core_svd,0.0,0.0
768,768,4,8,float32,pairwise_reference_alignment,success,1,True,21029127,0,0.0041838330216705,0.00563,263340032,264683520,1343488,,200704,0,0,24576,0,0,whitened_pairwise_reference_alignment,4.828702929147062e-07,6.582117748621386e-07
768,768,4,8,float32,pairwise_reference_alignment,success,1,True,21029127,1,0.0039529160130769,0.005354,263340032,264699904,1359872,,200704,0,0,24576,0,0,whitened_pairwise_reference_alignment,4.828702929147062e-07,6.582117748621386e-07
768,768,4,8,float32,pairwise_reference_alignment,success,1,True,21029127,2,0.0038799159228801,0.005451,263340032,264699904,1359872,,200704,0,0,24576,0,0,whitened_pairwise_reference_alignment,4.828702929147062e-07,6.582117748621386e-07
768,768,4,8,float32,global_synchronization,success,1,True,21029127,0,0.0046469580847769,0.0065329999999999,287080448,288129024,1048576,,200704,0,0,24576,0,0,whitened_orthogonal_global_synchronization,4.828702929147062e-07,6.582117748621386e-07
768,768,4,8,float32,global_synchronization,success,1,True,21029127,1,0.0042214579880237,0.0057,287080448,288145408,1064960,,200704,0,0,24576,0,0,whitened_orthogonal_global_synchronization,4.828702929147062e-07,6.582117748621386e-07
768,768,4,8,float32,global_synchronization,success,1,True,21029127,2,0.0043654590845108,0.006013,287080448,288145408,1064960,,200704,0,0,24576,0,0,whitened_orthogonal_global_synchronization,4.828702929147062e-07,6.582117748621386e-07
768,768,4,8,float32,cycle_aware_alignment,success,1,True,21029127,0,0.0045711670536547,0.0063520000000001,265617408,266895360,1277952,,200704,0,0,24576,0,0,cycle_gated_global_synchronization,4.828702929147062e-07,6.582117748621386e-07
768,768,4,8,float32,cycle_aware_alignment,success,1,True,21029127,1,0.004505458055064,0.0061939999999998,265617408,266993664,1376256,,200704,0,0,24576,0,0,cycle_gated_global_synchronization,4.828702929147062e-07,6.582117748621386e-07
768,768,4,8,float32,cycle_aware_alignment,success,1,True,21029127,2,0.0043029999360442,0.005832,265617408,267091968,1474560,,200704,0,0,24576,0,0,cycle_gated_global_synchronization,4.828702929147062e-07,6.582117748621386e-07
768,768,4,16,float32,naive_factor_average,success,1,True,21029135,0,0.0001362499315291,0.0001339999999998,270057472,273842176,3784704,,49152,0,0,24576,0,0,factor_average,0.0,0.0
768,768,4,16,float32,naive_factor_average,success,1,True,21029135,1,5.879090167582035e-05,5.700000000019578e-05,270057472,273842176,3784704,,49152,0,0,24576,0,0,factor_average,0.0,0.0
768,768,4,16,float32,naive_factor_average,success,1,True,21029135,2,4.329206421971321e-05,4.199999999987547e-05,270057472,273842176,3784704,,49152,0,0,24576,0,0,factor_average,0.0,0.0
768,768,4,16,float32,dense_deterministic_truncated_svd,success,1,True,21029135,0,0.0016982499510049,0.0016929999999999,286556160,288505856,1949696,,2506752,1,2359296,24576,0,0,dense_deterministic_range_svd,0.0,0.0
768,768,4,16,float32,dense_deterministic_truncated_svd,success,1,True,21029135,1,0.0015262919478118,0.0015249999999999,286556160,288505856,1949696,,2506752,1,2359296,24576,0,0,dense_deterministic_range_svd,0.0,0.0
768,768,4,16,float32,dense_deterministic_truncated_svd,success,1,True,21029135,2,0.0014785840176045,0.0014779999999999,286556160,288505856,1949696,,2506752,1,2359296,24576,0,0,dense_deterministic_range_svd,0.0,0.0
768,768,4,16,float32,dense_randomized_svd,success,1,True,21029135,0,0.001193624921143,0.0011909999999999,259801088,282574848,22773760,,2506752,1,2359296,24576,0,0,dense_randomized_svd,0.0,0.0
768,768,4,16,float32,dense_randomized_svd,success,1,True,21029135,1,0.0009870000649243,0.000987,259801088,282574848,22773760,,2506752,1,2359296,24576,0,0,dense_randomized_svd,0.0,0.0
768,768,4,16,float32,dense_randomized_svd,success,1,True,21029135,2,0.0009762078989297,0.0009759999999998,259801088,282574848,22773760,,2506752,1,2359296,24576,0,0,dense_randomized_svd,0.0,0.0
768,768,4,16,float32,canonical_factor_space,success,1,True,21029135,0,0.0020627079065889,0.0020599999999999,287195136,288227328,1032192,,399360,0,0,24576,0,0,per_adapter_thin_qr_core_svd,0.0,0.0
768,768,4,16,float32,canonical_factor_space,success,1,True,21029135,1,0.0019155000336468,0.001915,287195136,288227328,1032192,,399360,0,0,24576,0,0,per_adapter_thin_qr_core_svd,0.0,0.0
768,768,4,16,float32,canonical_factor_space,success,1,True,21029135,2,0.0018817919772118,0.001881,287195136,288227328,1032192,,399360,0,0,24576,0,0,per_adapter_thin_qr_core_svd,0.0,0.0
768,768,4,16,float32,pairwise_reference_alignment,success,1,True,21029135,0,0.0169417920988053,0.0187829999999999,277610496,279281664,1671168,,409600,0,0,24576,0,0,whitened_pairwise_reference_alignment,7.172196121878398e-07,9.842434565143776e-07
768,768,4,16,float32,pairwise_reference_alignment,success,1,True,21029135,1,0.0167890421580523,0.0189159999999999,277610496,279281664,1671168,,409600,0,0,24576,0,0,whitened_pairwise_reference_alignment,7.172196121878398e-07,9.842434565143776e-07
768,768,4,16,float32,pairwise_reference_alignment,success,1,True,21029135,2,0.0166087499819695,0.0193320000000001,277610496,279281664,1671168,,409600,0,0,24576,0,0,whitened_pairwise_reference_alignment,7.172196121878398e-07,9.842434565143776e-07
768,768,4,16,float32,global_synchronization,success,1,True,21029135,0,0.0208066250197589,0.0253909999999999,238780416,271253504,32473088,,409600,0,0,24576,0,0,whitened_orthogonal_global_synchronization,7.172196121878398e-07,9.842434565143776e-07
768,768,4,16,float32,global_synchronization,success,1,True,21029135,1,0.0220003330614417,0.027757,238780416,271253504,32473088,,409600,0,0,24576,0,0,whitened_orthogonal_global_synchronization,7.172196121878398e-07,9.842434565143776e-07
768,768,4,16,float32,global_synchronization,success,1,True,21029135,2,0.0196374589577317,0.0230729999999999,238780416,271253504,32473088,,409600,0,0,24576,0,0,whitened_orthogonal_global_synchronization,7.172196121878398e-07,9.842434565143776e-07
768,768,4,16,float32,cycle_aware_alignment,success,1,True,21029135,0,0.0190040830057114,0.0220879999999998,269303808,272646144,3342336,,409600,0,0,24576,0,0,cycle_gated_global_synchronization,7.172196121878398e-07,9.842434565143776e-07
768,768,4,16,float32,cycle_aware_alignment,success,1,True,21029135,1,0.0183821669779717,0.020907,269303808,272678912,3375104,,409600,0,0,24576,0,0,cycle_gated_global_synchronization,7.172196121878398e-07,9.842434565143776e-07
768,768,4,16,float32,cycle_aware_alignment,success,1,True,21029135,2,0.0183522079605609,0.020742,269303808,272728064,3424256,,409600,0,0,24576,0,0,cycle_gated_global_synchronization,7.172196121878398e-07,9.842434565143776e-07
768,768,8,4,float32,naive_factor_average,success,1,True,21029523,0,0.0001100420486181,0.0001079999999999,286851072,287899648,1048576,,98304,0,0,49152,0,0,factor_average,0.0,0.0
768,768,8,4,float32,naive_factor_average,success,1,True,21029523,1,4.812516272068024e-05,4.700000000001925e-05,286851072,287899648,1048576,,98304,0,0,49152,0,0,factor_average,0.0,0.0
768,768,8,4,float32,naive_factor_average,success,1,True,21029523,2,3.875000402331352e-05,3.900000000001125e-05,286851072,287899648,1048576,,98304,0,0,49152,0,0,factor_average,0.0,0.0
768,768,8,4,float32,dense_deterministic_truncated_svd,success,1,True,21029523,0,0.0023157910909503,0.0023079999999999,286867456,289947648,3080192,,2555904,1,2359296,49152,0,0,dense_deterministic_range_svd,0.0,0.0
768,768,8,4,float32,dense_deterministic_truncated_svd,success,1,True,21029523,1,0.0018861659336835,0.001885,286867456,289996800,3129344,,2555904,1,2359296,49152,0,0,dense_deterministic_range_svd,0.0,0.0
768,768,8,4,float32,dense_deterministic_truncated_svd,success,1,True,21029523,2,0.00187558401376,0.0018749999999999,286867456,290078720,3211264,,2555904,1,2359296,49152,0,0,dense_deterministic_range_svd,0.0,0.0
768,768,8,4,float32,dense_randomized_svd,success,1,True,21029523,0,0.0013609579764306,0.0013579999999999,286932992,290045952,3112960,,2555904,1,2359296,49152,0,0,dense_randomized_svd,0.0,0.0
