dimension_m,dimension_n,rank,adapter_count,precision,method,status,relative_frobenius_error_to_effective_mean,random_vector_probe_error,random_batch_logit_error,output_subspace_distance_to_reference_span,gauge_invariance_probe_error,output_rank,reference_mode,dense_reference_materialized_for_correctness
768,768,4,4,float32,naive_factor_average,success,0.8441067694467514,0.8651455044746399,4.09627628326416,0.001091830083169,7.625513553619385,4,exact_low_rank_algebraic_identity,False
768,768,4,4,float32,dense_deterministic_truncated_svd,success,0.0,8.380703775401344e-07,5.245208740234375e-06,0.0012448778143152,4.718153832072858e-07,4,exact_low_rank_algebraic_identity,False
768,768,4,4,float32,dense_randomized_svd,success,0.0,9.009499422063528e-07,5.245208740234375e-06,0.0010358009021729,1.1783533864218043e-06,4,exact_low_rank_algebraic_identity,False
768,768,4,4,float32,canonical_factor_space,success,0.7619079947155379,0.7266685366630554,3.627646207809448,0.0016558422939851,2.35251127378433e-06,4,exact_low_rank_algebraic_identity,False
768,768,4,4,float32,pairwise_reference_alignment,success,0.000431560985361,8.33686158330238e-07,8.58306884765625e-06,0.00048828125,2.4554460651415866e-06,4,exact_low_rank_algebraic_identity,False
768,768,4,4,float32,global_synchronization,success,0.000431560985361,7.729606181783311e-07,8.106231689453125e-06,0.00048828125,2.242465143353911e-06,4,exact_low_rank_algebraic_identity,False
768,768,4,4,float32,cycle_aware_alignment,success,0.000431560985361,7.729606181783311e-07,8.106231689453125e-06,0.00048828125,2.242465143353911e-06,4,exact_low_rank_algebraic_identity,False
768,768,4,8,float32,naive_factor_average,success,0.8310208781232293,0.9013048410415648,3.506122589111328,0.0003452669770922,5.517673492431641,4,exact_low_rank_algebraic_identity,False
768,768,4,8,float32,dense_deterministic_truncated_svd,success,0.0004386118054463,8.138655971379194e-07,3.5762786865234375e-06,0.00146484375,5.058873284724541e-07,4,exact_low_rank_algebraic_identity,False
768,768,4,8,float32,dense_randomized_svd,success,0.0004386118054463,9.896307346934918e-07,6.198883056640625e-06,0.0012918707216158,1.0460734074513311e-06,4,exact_low_rank_algebraic_identity,False
768,768,4,8,float32,canonical_factor_space,success,0.8793123703792586,0.8878352046012878,3.690140008926392,0.0009134905994869,4.771252406499116e-06,4,exact_low_rank_algebraic_identity,False
768,768,4,8,float32,pairwise_reference_alignment,success,0.0004386118054463,7.392580414489203e-07,3.337860107421875e-06,0.0009134905994869,6.981270871619927e-06,4,exact_low_rank_algebraic_identity,False
768,768,4,8,float32,global_synchronization,success,0.0,8.339015948877204e-07,3.933906555175781e-06,0.0009134905994869,6.976459189900197e-06,4,exact_low_rank_algebraic_identity,False
768,768,4,8,float32,cycle_aware_alignment,success,0.0,8.339015948877204e-07,3.933906555175781e-06,0.0009134905994869,6.976459189900197e-06,4,exact_low_rank_algebraic_identity,False
768,768,4,16,float32,naive_factor_average,success,0.9229733249792232,0.8641122579574585,3.0365843772888184,0.0012918707216158,3.398915529251098,4,exact_low_rank_algebraic_identity,False
768,768,4,16,float32,dense_deterministic_truncated_svd,success,0.0,8.385304113289749e-07,3.814697265625e-06,0.0012448778143152,4.837505684918142e-07,4,exact_low_rank_algebraic_identity,False
768,768,4,16,float32,dense_randomized_svd,success,0.0,8.740338444113149e-07,2.86102294921875e-06,0.0010358009021729,9.352355050396e-07,4,exact_low_rank_algebraic_identity,False
768,768,4,16,float32,canonical_factor_space,success,0.9448865934850016,0.8917753100395203,2.4456329345703125,0.0012448778143152,5.420860816229833e-06,4,exact_low_rank_algebraic_identity,False
768,768,4,16,float32,pairwise_reference_alignment,success,0.0,7.206081136246212e-07,2.6226043701171875e-06,0.0006905339541845,5.699795565305976e-06,4,exact_low_rank_algebraic_identity,False
768,768,4,16,float32,global_synchronization,success,0.0,6.760654969184543e-07,2.7418136596679688e-06,0.0007720404537394,5.5363252613460645e-06,4,exact_low_rank_algebraic_identity,False
768,768,4,16,float32,cycle_aware_alignment,success,0.0,6.760654969184543e-07,2.7418136596679688e-06,0.0007720404537394,5.5363252613460645e-06,4,exact_low_rank_algebraic_identity,False
768,768,8,4,float32,naive_factor_average,success,0.8589565193409012,0.8585380911827087,2.3334197998046875,0.0017940598772838,5.465003490447998,8,exact_low_rank_algebraic_identity,False
768,768,8,4,float32,dense_deterministic_truncated_svd,success,0.0003040680833772,1.0582243703538552e-06,4.887580871582031e-06,0.00146484375,6.670779839623719e-07,8,exact_low_rank_algebraic_identity,False
768,768,8,4,float32,dense_randomized_svd,success,0.0004300172073968,1.0097021458932431e-06,3.457069396972656e-06,0.001726334914565,1.0270889561070362e-06,8,exact_low_rank_algebraic_identity,False
768,768,8,4,float32,canonical_factor_space,success,0.816581617280513,0.8586885333061218,2.596395492553711,0.0015822120476514,2.430301356071141e-05,8,exact_low_rank_algebraic_identity,False
768,768,8,4,float32,pairwise_reference_alignment,success,0.0004300172073968,8.080131692622672e-07,2.264976501464844e-06,0.0015822120476514,2.0697609670605743e-06,8,exact_low_rank_algebraic_identity,False
768,768,8,4,float32,global_synchronization,success,0.0004300172073968,8.047060759963642e-07,2.3543834686279297e-06,0.00146484375,1.9524652543623233e-06,8,exact_low_rank_algebraic_identity,False
768,768,8,4,float32,cycle_aware_alignment,success,0.0004300172073968,8.047060759963642e-07,2.3543834686279297e-06,0.00146484375,1.9524652543623233e-06,8,exact_low_rank_algebraic_identity,False
768,768,8,8,float32,naive_factor_average,success,0.9066726573221546,0.966392457485199,2.24942398071289,0.00146484375,6.340890884399414,8,exact_low_rank_algebraic_identity,False
768,768,8,8,float32,dense_deterministic_truncated_svd,success,0.0,9.022099334288214e-07,2.5033950805664062e-06,0.0021001771092414,6.888548114147852e-07,8,exact_low_rank_algebraic_identity,False
768,768,8,8,float32,dense_randomized_svd,success,0.0,9.043297950483976e-07,1.9073486328125e-06,0.0022375858388841,1.0591409136395669e-06,8,exact_low_rank_algebraic_identity,False
768,768,8,8,float32,canonical_factor_space,success,0.9038411268568946,0.8825645446777344,2.244248867034912,0.0013372133253142,5.3663234211853705e-06,8,exact_low_rank_algebraic_identity,False
