family,architecture,group,seed,inverse_consistency,cycle_norm,closure,centrality,distance_to_coboundaries,hodge_exact,hodge_coexact,hodge_harmonic,residual_rank,pairwise_fit,validation_loss,ordinary_merge_degradation,synchronized_merge_degradation,structured_gain,structured_correction_helps,harmful_activation
ordinary_merge,perturbed_linear,ordinary,171000000,5.873148687179282e-16,6.029212309982118e-16,-1.1102230246251565e-15,7.576867828018205e-16,3.014606154991059e-16,0.9999999999999994,7.576867828018205e-16,6.029212309982118e-16,0,0.0,0.28930307373824005,0.0,0.611328125,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000001,5.418450266618598e-16,5.41865071815664e-16,-1.2212453270876722e-15,7.168144099176683e-16,2.70932535907832e-16,0.9999999999999994,7.168144099176683e-16,5.41865071815664e-16,0,0.0,0.39214586961723674,0.0,0.650390625,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000002,7.979375616007098e-16,8.544957682696077e-16,2.220446049250313e-15,9.355819742518362e-16,4.2724788413480386e-16,0.9999999999999991,9.355819742518362e-16,8.544957682696077e-16,0,0.0,0.46060267471579247,0.0,0.650390625,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000003,5.675920460890316e-16,5.483510881474964e-16,-1.5543122344752192e-15,7.060263277549516e-16,2.741755440737482e-16,0.9999999999999994,7.060263277549516e-16,5.483510881474964e-16,0,0.0,0.3049457119570727,0.0,0.634765625,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000004,8.286823250169957e-16,9.001911196504572e-16,-7.771561172376096e-16,1.2433514794702532e-15,4.500955598252286e-16,0.9999999999999991,1.2433514794702532e-15,9.001911196504572e-16,0,0.0,0.32707451961604767,0.0,0.69140625,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000005,6.374049560833979e-16,6.979460011796605e-16,-2.6645352591003757e-15,6.847454418317668e-16,3.4897300058983024e-16,0.9999999999999993,6.847454418317668e-16,6.979460011796605e-16,0,0.0,0.3133615896633217,0.0,0.724609375,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000006,5.842207687145447e-16,6.470227888040668e-16,1.9984014443252818e-15,9.541836584695913e-16,3.235113944020334e-16,0.9999999999999993,9.541836584695913e-16,6.470227888040668e-16,0,0.0,0.2740195383238775,0.0,0.6640625,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000007,6.920753172449673e-16,6.988960628483915e-16,1.5543122344752192e-15,1.0441745729550037e-15,3.4944803142419577e-16,0.9999999999999993,1.0441745729550037e-15,6.988960628483915e-16,0,0.0,0.34047428357923115,0.0,0.763671875,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000008,5.931593887822661e-16,6.558435638795787e-16,-2.220446049250313e-16,1.0525598637377785e-15,3.2792178193978933e-16,0.9999999999999993,1.0525598637377785e-15,6.558435638795787e-16,0,0.0,0.3121516335458551,0.0,0.611328125,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000009,6.608045650957386e-16,7.769291397643947e-16,6.661338147750939e-16,9.591565101663548e-16,3.8846456988219735e-16,0.9999999999999992,9.591565101663548e-16,7.769291397643947e-16,0,0.0,0.2589380332534821,0.0,0.72265625,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000010,6.9575077283888535e-16,7.598185517421983e-16,1.3322676295501878e-15,8.870168676865509e-16,3.7990927587109914e-16,0.9999999999999992,8.870168676865509e-16,7.598185517421983e-16,0,0.0,0.2663690830870702,0.0,0.640625,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000011,8.276004373863776e-16,7.117444487684358e-16,-3.1086244689504383e-15,8.479597799812106e-16,3.558722243842179e-16,0.9999999999999993,8.479597799812106e-16,7.117444487684358e-16,0,0.0,0.41805729136086156,0.0,0.61328125,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000012,6.977406309082007e-16,6.685635334866748e-16,-4.440892098500626e-16,9.98477659095111e-16,3.342817667433374e-16,0.9999999999999993,9.98477659095111e-16,6.685635334866748e-16,0,0.0,0.28705886632435784,0.0,0.669921875,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000013,7.029507551967271e-16,8.138890568437612e-16,4.440892098500626e-16,9.358324699510054e-16,4.069445284218806e-16,0.9999999999999992,9.358324699510054e-16,8.138890568437612e-16,0,0.0,0.2916331150181787,0.0,0.615234375,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000014,6.654089336794445e-16,8.082242235369056e-16,4.440892098500626e-16,9.150530681040612e-16,4.041121117684528e-16,0.9999999999999992,9.150530681040612e-16,8.082242235369056e-16,0,0.0,0.4192893899545769,0.0,0.595703125,0.0,False,False
ordinary_merge,perturbed_linear,ordinary,171000015,4.913219544613403e-16,5.867276234084371e-16,0.0,9.260190494486613e-16,2.9336381170421857e-16,0.9999999999999994,9.260190494486613e-16,5.867276234084371e-16,0,0.0,0.37828074406503087,0.0,0.7578125,0.0,False,False
