method,accuracy,loss,ece,worst_domain_accuracy,training_time_seconds,logits_sha256,label_permutation_hash_passed,execution_commit,source_sha256,command,seed
weight_average,0.66875,0.6410173455471532,0.05063518847621111,0.45,1.0737488339655101,b5ce9af8c80c12b4715394b4cecfaaa9c631dbac4845af2e0ec6d60cd680fa8f,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,d878f3eba4cf6ac20de90969f3f1536b3a384786233d8cf1ac080b2c592bb0a8,python experiments/language_checkpoint_transition_geometry.py,0
feature_aligned_correction,0.5625,0.6857734077055812,0.04527849779531212,0.45,1.0737488339655101,b5ce9af8c80c12b4715394b4cecfaaa9c631dbac4845af2e0ec6d60cd680fa8f,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,d878f3eba4cf6ac20de90969f3f1536b3a384786233d8cf1ac080b2c592bb0a8,python experiments/language_checkpoint_transition_geometry.py,0
