subspace,null_family,draw,statistic
attention_output,edge_shuffle,0,0.4616950869670664
attention_output,edge_shuffle,1,0.4668503551751989
attention_output,edge_shuffle,2,0.5145184972910345
attention_output,edge_shuffle,3,0.49994482410425406
attention_output,edge_shuffle,4,0.4226144378175512
attention_output,edge_shuffle,5,0.4189144675424397
attention_output,edge_shuffle,6,0.2811340671964889
attention_output,edge_shuffle,7,0.45216913554656385
attention_output,edge_shuffle,8,0.4295935687154846
attention_output,edge_shuffle,9,0.5699880490271524
attention_output,edge_shuffle,10,0.44982258812421627
attention_output,edge_shuffle,11,0.47996187164509824
attention_output,edge_shuffle,12,0.4668503593328911
attention_output,edge_shuffle,13,0.281134075548637
attention_output,edge_shuffle,14,0.5069288982737377
attention_output,edge_shuffle,15,0.4666569065603438
attention_output,edge_shuffle,16,0.2608987186109121
attention_output,edge_shuffle,17,0.5721017015517007
attention_output,edge_shuffle,18,0.4718275459638976
attention_output,edge_shuffle,19,0.48336954603925186
attention_output,edge_shuffle,20,0.42261443757129374
attention_output,edge_shuffle,21,0.48690453968478264
attention_output,edge_shuffle,22,0.48052792704049974
attention_output,edge_shuffle,23,0.3183541264829798
attention_output,edge_shuffle,24,0.5365198311918195
attention_output,edge_shuffle,25,0.4445086334801559
attention_output,edge_shuffle,26,0.2830819356003925
attention_output,edge_shuffle,27,0.21654362346959036
attention_output,edge_shuffle,28,0.382269877230479
attention_output,edge_shuffle,29,0.33532927476419117
attention_output,edge_shuffle,30,0.5211107397264978
attention_output,edge_shuffle,31,0.4990485424845668
attention_output,edge_shuffle,32,0.33506963522312017
attention_output,edge_shuffle,33,0.483724425867786
attention_output,edge_shuffle,34,0.4412619989812401
attention_output,edge_shuffle,35,0.4368152099648107
attention_output,edge_shuffle,36,0.5616645727565017
attention_output,edge_shuffle,37,0.4406087903134297
attention_output,edge_shuffle,38,0.4771280271815815
attention_output,edge_shuffle,39,0.4544499216795706
attention_output,edge_shuffle,40,0.4132430956464747
attention_output,edge_shuffle,41,0.4696630116834853
attention_output,edge_shuffle,42,0.2830819322242779
attention_output,edge_shuffle,43,0.5616645562975903
attention_output,edge_shuffle,44,0.5730302063279238
attention_output,edge_shuffle,45,0.36426797624116664
attention_output,edge_shuffle,46,0.41424984122221725
attention_output,edge_shuffle,47,0.4709976331341159
attention_output,edge_shuffle,48,0.33532926469920804
attention_output,edge_shuffle,49,0.5824957649928552
attention_output,edge_shuffle,50,0.4521691234643645
attention_output,edge_shuffle,51,0.49994481559704046
attention_output,edge_shuffle,52,0.46384705814777005
attention_output,edge_shuffle,53,0.45577246709334907
attention_output,edge_shuffle,54,0.43499582746351256
attention_output,edge_shuffle,55,0.3183541289741929
attention_output,edge_shuffle,56,0.2608987219032683
attention_output,edge_shuffle,57,0.28308194153595484
attention_output,edge_shuffle,58,0.4760417458156119
attention_output,edge_shuffle,59,0.43423216058268005
attention_output,edge_shuffle,60,0.4833695540403341
attention_output,edge_shuffle,61,0.42826852200522103
attention_output,edge_shuffle,62,0.3350696200054373
attention_output,edge_shuffle,63,0.4668503494270433
attention_output,edge_shuffle,64,0.17649089327890818
attention_output,edge_shuffle,65,0.41424983977096025
attention_output,edge_shuffle,66,0.4723032941536087
attention_output,edge_shuffle,67,0.4295935512491625
attention_output,edge_shuffle,68,0.4142498390437012
attention_output,edge_shuffle,69,0.5740861458138303
attention_output,edge_shuffle,70,0.5739721316235137
attention_output,edge_shuffle,71,0.4368152162474683
attention_output,edge_shuffle,72,0.28308194490406763
attention_output,edge_shuffle,73,0.4628022990031114
attention_output,edge_shuffle,74,0.3965207797973672
attention_output,edge_shuffle,75,0.4760417509475705
attention_output,edge_shuffle,76,0.45627921676888106
attention_output,edge_shuffle,77,0.28308194490406763
attention_output,edge_shuffle,78,0.35900065185028796
attention_output,edge_shuffle,79,0.4557724525607201
attention_output,edge_shuffle,80,0.4189144573974425
attention_output,edge_shuffle,81,0.507847708026221
attention_output,edge_shuffle,82,0.41988738806523707
attention_output,edge_shuffle,83,0.4189144505918633
attention_output,edge_shuffle,84,0.45705879821199563
attention_output,edge_shuffle,85,0.2196646665764474
attention_output,edge_shuffle,86,0.5237284229922672
attention_output,edge_shuffle,87,0.21696493528519406
attention_output,edge_shuffle,88,0.4226144372840547
attention_output,edge_shuffle,89,0.48690453510018
attention_output,edge_shuffle,90,0.4142498435726839
attention_output,edge_shuffle,91,0.46685035133654335
attention_output,edge_shuffle,92,0.4406087974505025
attention_output,edge_shuffle,93,0.2811340659743839
attention_output,edge_shuffle,94,0.435890431892005
attention_output,edge_shuffle,95,0.4830634725216076
attention_output,edge_shuffle,96,0.2608987215699828
attention_output,edge_shuffle,97,0.5241460323862913
attention_output,edge_shuffle,98,0.4743755433092777
attention_output,edge_shuffle,99,0.41891444891701307
attention_output,edge_shuffle,100,0.5264124763529505
attention_output,edge_shuffle,101,0.551629691538116
attention_output,edge_shuffle,102,0.4712512704582102
attention_output,edge_shuffle,103,0.49570312187581816
attention_output,edge_shuffle,104,0.46389256080840324
attention_output,edge_shuffle,105,0.4408013699372385
attention_output,edge_shuffle,106,0.3618554968043361
attention_output,edge_shuffle,107,0.4668503481806952
attention_output,edge_shuffle,108,0.4189144633546905
attention_output,edge_shuffle,109,0.2830819420455647
attention_output,edge_shuffle,110,0.2811340764964551
attention_output,edge_shuffle,111,0.42959356425036066
attention_output,edge_shuffle,112,0.4142498356453651
attention_output,edge_shuffle,113,0.4668503574988143
attention_output,edge_shuffle,114,0.43944184780364653
attention_output,edge_shuffle,115,0.44127699497971967
attention_output,edge_shuffle,116,0.52804092000724
attention_output,edge_shuffle,117,0.4375389227048994
attention_output,edge_shuffle,118,0.5182382475187964
attention_output,edge_shuffle,119,0.35900066486918153
attention_output,edge_shuffle,120,0.281134070016287
attention_output,edge_shuffle,121,0.573030207988842
attention_output,edge_shuffle,122,0.28113406945267266
attention_output,edge_shuffle,123,0.47182755871472176
attention_output,edge_shuffle,124,0.46084376576810393
attention_output,edge_shuffle,125,0.46966301034742175
attention_output,edge_shuffle,126,0.5824957649928552
attention_output,edge_shuffle,127,0.4367481538001874
attention_output,edge_shuffle,128,0.2811340578285419
attention_output,edge_shuffle,129,0.3996053859127754
attention_output,edge_shuffle,130,0.4506602412452457
attention_output,edge_shuffle,131,0.4638925612423137
attention_output,edge_shuffle,132,0.3281400554289059
attention_output,edge_shuffle,133,0.5721017124632493
attention_output,edge_shuffle,134,0.34304756033446193
attention_output,edge_shuffle,135,0.49273150756048495
attention_output,edge_shuffle,136,0.4112153690467863
attention_output,edge_shuffle,137,0.5730302185043856
attention_output,edge_shuffle,138,0.4668503612334282
attention_output,edge_shuffle,139,0.41424984537613413
attention_output,edge_shuffle,140,0.5561433836658692
attention_output,edge_shuffle,141,0.44127698364328505
attention_output,edge_shuffle,142,0.43589043077910755
attention_output,edge_shuffle,143,0.4668503525878569
attention_output,edge_shuffle,144,0.45789283704776657
attention_output,edge_shuffle,145,0.28113406866933777
attention_output,edge_shuffle,146,0.4826342635730242
attention_output,edge_shuffle,147,0.4837244230575258
attention_output,edge_shuffle,148,0.10530368318036404
attention_output,edge_shuffle,149,0.45789284185951523
attention_output,edge_shuffle,150,0.4696630118189202
attention_output,edge_shuffle,151,0.3996053864554675
attention_output,edge_shuffle,152,0.2830819437869922
attention_output,edge_shuffle,153,0.4718275459638976
attention_output,edge_shuffle,154,0.45066023844761116
attention_output,edge_shuffle,155,0.2830819429121187
attention_output,edge_shuffle,156,0.5365198443807325
attention_output,edge_shuffle,157,0.4562792224887774
attention_output,edge_shuffle,158,0.5868247090160668
attention_output,edge_shuffle,159,0.42412963039866436
attention_output,edge_shuffle,160,0.46685036073008657
attention_output,edge_shuffle,161,0.4189144710222411
attention_output,edge_shuffle,162,0.4226144573277163
attention_output,edge_shuffle,163,0.48690453968478264
attention_output,edge_shuffle,164,0.4544499205325818
attention_output,edge_shuffle,165,0.46966301511243763
attention_output,edge_shuffle,166,0.470997626180254
attention_output,edge_shuffle,167,0.4226144233855098
attention_output,edge_shuffle,168,0.4226144401413573
attention_output,edge_shuffle,169,0.4294632830788707
attention_output,edge_shuffle,170,0.48376140155208974
attention_output,edge_shuffle,171,0.4501502178740046
attention_output,edge_shuffle,172,0.4226144431246449
attention_output,edge_shuffle,173,0.17226865620103174
attention_output,edge_shuffle,174,0.5453247844590582
attention_output,edge_shuffle,175,0.44125517144442045
attention_output,edge_shuffle,176,0.38755388242848665
attention_output,edge_shuffle,177,0.4226144437766601
attention_output,edge_shuffle,178,0.47712801967769575
attention_output,edge_shuffle,179,0.4562792224887774
attention_output,edge_shuffle,180,0.4189144717500583
attention_output,edge_shuffle,181,0.5183052429521197
attention_output,edge_shuffle,182,0.45627921538143795
attention_output,edge_shuffle,183,0.17226865799532629
attention_output,edge_shuffle,184,0.46901483979798836
attention_output,edge_shuffle,185,0.49273150756048495
attention_output,edge_shuffle,186,0.4221491477906681
attention_output,edge_shuffle,187,0.47182754162158763
attention_output,edge_shuffle,188,0.5880355879131662
attention_output,edge_shuffle,189,0.4068703931453431
attention_output,edge_shuffle,190,0.5770295011892802
attention_output,edge_shuffle,191,0.42412963495296124
attention_output,edge_shuffle,192,0.4763270755053572
attention_output,edge_shuffle,193,0.5343727490234957
attention_output,edge_shuffle,194,0.4550669361352422
attention_output,edge_shuffle,195,0.4189144696114302
attention_output,edge_shuffle,196,0.4666568965454554
attention_output,edge_shuffle,197,0.4226144411037737
attention_output,edge_shuffle,198,0.4668503494270433
attention_output,edge_shuffle,199,0.46947849552769333
mlp_intermediate,edge_shuffle,0,0.5897745207379501
mlp_intermediate,edge_shuffle,1,0.43684533209718807
mlp_intermediate,edge_shuffle,2,0.5859161188446215
mlp_intermediate,edge_shuffle,3,0.5852649334747644
mlp_intermediate,edge_shuffle,4,0.46285174753102487
mlp_intermediate,edge_shuffle,5,0.43626006807871687
mlp_intermediate,edge_shuffle,6,0.442252493636685
mlp_intermediate,edge_shuffle,7,0.5526774021158972
mlp_intermediate,edge_shuffle,8,0.5684691454318973
mlp_intermediate,edge_shuffle,9,0.6118332222069338
mlp_intermediate,edge_shuffle,10,0.47330069342522796
mlp_intermediate,edge_shuffle,11,0.5472254210777057
mlp_intermediate,edge_shuffle,12,0.43684531404438537
mlp_intermediate,edge_shuffle,13,0.4422524861421634
mlp_intermediate,edge_shuffle,14,0.5599247574416765
mlp_intermediate,edge_shuffle,15,0.46125705791267496
mlp_intermediate,edge_shuffle,16,0.6058284491605024
mlp_intermediate,edge_shuffle,17,0.6196782176183004
mlp_intermediate,edge_shuffle,18,0.595859701358044
mlp_intermediate,edge_shuffle,19,0.499416866272486
mlp_intermediate,edge_shuffle,20,0.462851718974392
mlp_intermediate,edge_shuffle,21,0.608582794410672
mlp_intermediate,edge_shuffle,22,0.5240688917302762
mlp_intermediate,edge_shuffle,23,0.5622037195198637
mlp_intermediate,edge_shuffle,24,0.6396324915867042
mlp_intermediate,edge_shuffle,25,0.5121995005104933
mlp_intermediate,edge_shuffle,26,0.41158709906536284
mlp_intermediate,edge_shuffle,27,0.6038802483516341
mlp_intermediate,edge_shuffle,28,0.4458883145301571
mlp_intermediate,edge_shuffle,29,0.518980721081152
