complex,vertices,edges,faces,runtime_seconds
triangle_complex,3,3,1,0.0005200000014156103
triangle_complex,3,3,1,7.812492549419403e-05
triangle_complex,3,3,1,6.77499920129776e-05
triangle_complex,3,3,1,6.129196844995022e-05
triangle_complex,3,3,1,6.062490865588188e-05
triangle_complex,3,3,1,5.6833960115909576e-05
triangle_complex,3,3,1,6.395787931978703e-05
triangle_complex,3,3,1,5.462486296892166e-05
triangle_complex,3,3,1,5.6208111345767975e-05
triangle_complex,3,3,1,5.38751482963562e-05
triangle_complex,3,3,1,5.350005812942982e-05
triangle_complex,3,3,1,5.425000563263893e-05
triangle_complex,3,3,1,5.291705019772053e-05
triangle_complex,3,3,1,5.3459079936146736e-05
triangle_complex,3,3,1,0.00010562501847743988
triangle_complex,3,3,1,5.312496796250343e-05
triangle_complex,3,3,1,5.2625080570578575e-05
triangle_complex,3,3,1,5.5416952818632126e-05
triangle_complex,3,3,1,5.52500132471323e-05
triangle_complex,3,3,1,5.258317105472088e-05
triangle_complex,3,3,1,5.204114131629467e-05
triangle_complex,3,3,1,5.212496034801006e-05
triangle_complex,3,3,1,5.1541952416300774e-05
triangle_complex,3,3,1,5.158316344022751e-05
triangle_complex,3,3,1,5.191611126065254e-05
triangle_complex,3,3,1,5.16669824719429e-05
triangle_complex,3,3,1,5.2958959713578224e-05
triangle_complex,3,3,1,5.191704258322716e-05
triangle_complex,3,3,1,5.27920201420784e-05
triangle_complex,3,3,1,5.170796066522598e-05
triangle_complex,3,3,1,5.16669824719429e-05
triangle_complex,3,3,1,5.1625072956085205e-05
triangle_complex,3,3,1,5.1667215302586555e-05
triangle_complex,3,3,1,5.183299072086811e-05
triangle_complex,3,3,1,5.145790055394173e-05
triangle_complex,3,3,1,5.133310332894325e-05
triangle_complex,3,3,1,5.1459064707159996e-05
triangle_complex,3,3,1,5.120900459587574e-05
triangle_complex,3,3,1,5.158386193215847e-05
triangle_complex,3,3,1,5.4167117923498154e-05
triangle_complex,3,3,1,5.1791081205010414e-05
triangle_complex,3,3,1,5.2084214985370636e-05
triangle_complex,3,3,1,5.154102109372616e-05
triangle_complex,3,3,1,5.145790055394173e-05
triangle_complex,3,3,1,5.162484012544155e-05
triangle_complex,3,3,1,5.124998278915882e-05
triangle_complex,3,3,1,5.154218524694443e-05
triangle_complex,3,3,1,5.129212513566017e-05
triangle_complex,3,3,1,5.129212513566017e-05
triangle_complex,3,3,1,5.1541952416300774e-05
triangle_complex,3,3,1,5.1416922360658646e-05
triangle_complex,3,3,1,5.174987018108368e-05
triangle_complex,3,3,1,5.145790055394173e-05
triangle_complex,3,3,1,5.1625072956085205e-05
triangle_complex,3,3,1,5.133310332894325e-05
triangle_complex,3,3,1,5.162484012544155e-05
triangle_complex,3,3,1,5.14171551913023e-05
triangle_complex,3,3,1,5.2541960030794144e-05
triangle_complex,3,3,1,5.4167117923498154e-05
triangle_complex,3,3,1,5.24159986525774e-05
triangle_complex,3,3,1,5.308305844664574e-05
triangle_complex,3,3,1,5.420902743935585e-05
triangle_complex,3,3,1,5.1584094762802124e-05
triangle_complex,3,3,1,5.1459064707159996e-05
triangle_complex,3,3,1,5.124998278915882e-05
triangle_complex,3,3,1,5.12909609824419e-05
triangle_complex,3,3,1,5.1083043217658997e-05
triangle_complex,3,3,1,5.137501284480095e-05
triangle_complex,3,3,1,5.116616375744343e-05
triangle_complex,3,3,1,5.1167095080018044e-05
triangle_complex,3,3,1,5.1250215619802475e-05
triangle_complex,3,3,1,5.091703496873379e-05
triangle_complex,3,3,1,5.154102109372616e-05
triangle_complex,3,3,1,5.133403465151787e-05
triangle_complex,3,3,1,5.116686224937439e-05
triangle_complex,3,3,1,5.12909609824419e-05
triangle_complex,3,3,1,5.0957780331373215e-05
triangle_complex,3,3,1,5.112495273351669e-05
triangle_complex,3,3,1,5.1083043217658997e-05
triangle_complex,3,3,1,5.129212513566017e-05
triangle_complex,3,3,1,5.091610364615917e-05
triangle_complex,3,3,1,5.1250215619802475e-05
triangle_complex,3,3,1,5.1042065024375916e-05
triangle_complex,3,3,1,5.124998278915882e-05
triangle_complex,3,3,1,5.129189230501652e-05
triangle_complex,3,3,1,5.133403465151787e-05
triangle_complex,3,3,1,5.112495273351669e-05
triangle_complex,3,3,1,5.137501284480095e-05
triangle_complex,3,3,1,5.0958944484591484e-05
