benchmark,teacher_metric,teacher_value,distilled_value,distillation_gap
hodge_lr_component,KL_to_teacher,0.0,6.8413421308814685e-09,6.8413421308814685e-09
controlled_mu2,accuracy,1.0,0.9166666666666666,0.08333333333333337
