benchmark,method,mean_accuracy,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,measured_inference_time_seconds,inference_multiplier,peak_memory_mb,best_benchmark_accuracy,worst_case_regret,inference_overhead,lambda_regret,lambda_inference,practical_score
lora_holonomy,raw_lora_factor_average,0.6275,96.0,96.0,1.0,1.0,0.0001434579025954,1.0,,1.0,0.37250000000000005,0.0,0.1,0.01,0.5902499999999999
lora_holonomy,raw_lora_factor_average,0.6275,96.0,96.0,1.0,1.0,0.0001434579025954,1.0,,1.0,0.37250000000000005,0.0,0.1,0.05,0.5902499999999999
lora_holonomy,raw_lora_factor_average,0.6275,96.0,96.0,1.0,1.0,0.0001434579025954,1.0,,1.0,0.37250000000000005,0.0,0.25,0.0,0.5343749999999999
lora_holonomy,raw_lora_factor_average,0.6275,96.0,96.0,1.0,1.0,0.0001434579025954,1.0,,1.0,0.37250000000000005,0.0,0.25,0.01,0.5343749999999999
lora_holonomy,raw_lora_factor_average,0.6275,96.0,96.0,1.0,1.0,0.0001434579025954,1.0,,1.0,0.37250000000000005,0.0,0.25,0.05,0.5343749999999999
lora_holonomy,synchronized_adapter_basis,0.6975,96.0,96.0,1.0,1.0,7.779104635119438e-05,0.542256961406937,,1.0,0.3025,0.0,0.0,0.0,0.6975
lora_holonomy,synchronized_adapter_basis,0.6975,96.0,96.0,1.0,1.0,7.779104635119438e-05,0.542256961406937,,1.0,0.3025,0.0,0.0,0.01,0.6975
lora_holonomy,synchronized_adapter_basis,0.6975,96.0,96.0,1.0,1.0,7.779104635119438e-05,0.542256961406937,,1.0,0.3025,0.0,0.0,0.05,0.6975
lora_holonomy,synchronized_adapter_basis,0.6975,96.0,96.0,1.0,1.0,7.779104635119438e-05,0.542256961406937,,1.0,0.3025,0.0,0.1,0.0,0.66725
lora_holonomy,synchronized_adapter_basis,0.6975,96.0,96.0,1.0,1.0,7.779104635119438e-05,0.542256961406937,,1.0,0.3025,0.0,0.1,0.01,0.66725
lora_holonomy,synchronized_adapter_basis,0.6975,96.0,96.0,1.0,1.0,7.779104635119438e-05,0.542256961406937,,1.0,0.3025,0.0,0.1,0.05,0.66725
lora_holonomy,synchronized_adapter_basis,0.6975,96.0,96.0,1.0,1.0,7.779104635119438e-05,0.542256961406937,,1.0,0.3025,0.0,0.25,0.0,0.621875
lora_holonomy,synchronized_adapter_basis,0.6975,96.0,96.0,1.0,1.0,7.779104635119438e-05,0.542256961406937,,1.0,0.3025,0.0,0.25,0.01,0.621875
lora_holonomy,synchronized_adapter_basis,0.6975,96.0,96.0,1.0,1.0,7.779104635119438e-05,0.542256961406937,,1.0,0.3025,0.0,0.25,0.05,0.621875
lora_holonomy,task_arithmetic,0.6975,96.0,96.0,1.0,1.0,0.0001126248389482,0.7850723934385788,,1.0,0.3025,0.0,0.0,0.0,0.6975
lora_holonomy,task_arithmetic,0.6975,96.0,96.0,1.0,1.0,0.0001126248389482,0.7850723934385788,,1.0,0.3025,0.0,0.0,0.01,0.6975
lora_holonomy,task_arithmetic,0.6975,96.0,96.0,1.0,1.0,0.0001126248389482,0.7850723934385788,,1.0,0.3025,0.0,0.0,0.05,0.6975
lora_holonomy,task_arithmetic,0.6975,96.0,96.0,1.0,1.0,0.0001126248389482,0.7850723934385788,,1.0,0.3025,0.0,0.1,0.0,0.66725
lora_holonomy,task_arithmetic,0.6975,96.0,96.0,1.0,1.0,0.0001126248389482,0.7850723934385788,,1.0,0.3025,0.0,0.1,0.01,0.66725
lora_holonomy,task_arithmetic,0.6975,96.0,96.0,1.0,1.0,0.0001126248389482,0.7850723934385788,,1.0,0.3025,0.0,0.1,0.05,0.66725
lora_holonomy,task_arithmetic,0.6975,96.0,96.0,1.0,1.0,0.0001126248389482,0.7850723934385788,,1.0,0.3025,0.0,0.25,0.0,0.621875
lora_holonomy,task_arithmetic,0.6975,96.0,96.0,1.0,1.0,0.0001126248389482,0.7850723934385788,,1.0,0.3025,0.0,0.25,0.01,0.621875
lora_holonomy,task_arithmetic,0.6975,96.0,96.0,1.0,1.0,0.0001126248389482,0.7850723934385788,,1.0,0.3025,0.0,0.25,0.05,0.621875
lora_holonomy,ties,0.66375,96.0,96.0,1.0,1.0,8.474988862872124e-05,0.5907648661764157,,1.0,0.33625000000000005,0.0,0.0,0.0,0.66375
lora_holonomy,ties,0.66375,96.0,96.0,1.0,1.0,8.474988862872124e-05,0.5907648661764157,,1.0,0.33625000000000005,0.0,0.0,0.01,0.66375
