benchmark,method,mean_accuracy,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,measured_inference_time_seconds,inference_multiplier,peak_memory_mb,best_benchmark_accuracy,worst_case_regret,inference_overhead,lambda_regret,lambda_inference,practical_score
federated_frame,greedy_validation_merge,0.876,7850.0,7850.0,1.0,1.0,3.395904786884785e-05,0.6535862483083734,,0.882,0.006000000000000005,0.0,0.1,0.01,0.8754
federated_frame,greedy_validation_merge,0.876,7850.0,7850.0,1.0,1.0,3.395904786884785e-05,0.6535862483083734,,0.882,0.006000000000000005,0.0,0.1,0.05,0.8754
federated_frame,greedy_validation_merge,0.876,7850.0,7850.0,1.0,1.0,3.395904786884785e-05,0.6535862483083734,,0.882,0.006000000000000005,0.0,0.25,0.0,0.8745
federated_frame,greedy_validation_merge,0.876,7850.0,7850.0,1.0,1.0,3.395904786884785e-05,0.6535862483083734,,0.882,0.006000000000000005,0.0,0.25,0.01,0.8745
federated_frame,greedy_validation_merge,0.876,7850.0,7850.0,1.0,1.0,3.395904786884785e-05,0.6535862483083734,,0.882,0.006000000000000005,0.0,0.25,0.05,0.8745
federated_frame,learned_router,0.882,7850.0,31400.0,4.0,4.0,3.0624913051724434e-05,0.5894164672563834,,0.882,0.0,0.0,0.0,0.0,0.882
federated_frame,learned_router,0.882,7850.0,31400.0,4.0,4.0,3.0624913051724434e-05,0.5894164672563834,,0.882,0.0,0.0,0.0,0.01,0.882
federated_frame,learned_router,0.882,7850.0,31400.0,4.0,4.0,3.0624913051724434e-05,0.5894164672563834,,0.882,0.0,0.0,0.0,0.05,0.882
federated_frame,learned_router,0.882,7850.0,31400.0,4.0,4.0,3.0624913051724434e-05,0.5894164672563834,,0.882,0.0,0.0,0.1,0.0,0.882
federated_frame,learned_router,0.882,7850.0,31400.0,4.0,4.0,3.0624913051724434e-05,0.5894164672563834,,0.882,0.0,0.0,0.1,0.01,0.882
federated_frame,learned_router,0.882,7850.0,31400.0,4.0,4.0,3.0624913051724434e-05,0.5894164672563834,,0.882,0.0,0.0,0.1,0.05,0.882
federated_frame,learned_router,0.882,7850.0,31400.0,4.0,4.0,3.0624913051724434e-05,0.5894164672563834,,0.882,0.0,0.0,0.25,0.0,0.882
federated_frame,learned_router,0.882,7850.0,31400.0,4.0,4.0,3.0624913051724434e-05,0.5894164672563834,,0.882,0.0,0.0,0.25,0.01,0.882
federated_frame,learned_router,0.882,7850.0,31400.0,4.0,4.0,3.0624913051724434e-05,0.5894164672563834,,0.882,0.0,0.0,0.25,0.05,0.882
federated_frame,pairwise_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.7207966670393944e-05,0.7161159357943699,,0.882,0.0,0.0,0.0,0.0,0.882
federated_frame,pairwise_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.7207966670393944e-05,0.7161159357943699,,0.882,0.0,0.0,0.0,0.01,0.882
federated_frame,pairwise_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.7207966670393944e-05,0.7161159357943699,,0.882,0.0,0.0,0.0,0.05,0.882
