setting_id,strict_accuracy,global_monomial_accuracy,monomial_over_strict_gain,selector_accuracy,hodge_lr_activated,hodge_lr_reason
mnist_mlp_N3_W16_S1800,0.7661,0.7969,0.03080000000000005,0.8551,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1800,0.8428,0.8448,0.0020000000000000018,0.8651,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1800,0.8644,0.8636,-0.0007999999999999119,0.875,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1800,0.7738,0.7929,0.019100000000000006,0.836,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1800,0.8331,0.831,-0.0020999999999999908,0.8626,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1800,0.8626,0.8709,0.008299999999999974,0.8766,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1801,0.7773,0.7946,0.017299999999999982,0.8156,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1801,0.8314,0.8472,0.015799999999999925,0.8592,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1801,0.873,0.8733,0.00029999999999996696,0.874,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1801,0.7051,0.7353,0.030200000000000005,0.8297,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1801,0.8372,0.8422,0.004999999999999893,0.8605,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1801,0.8746,0.8754,0.0007999999999999119,0.88,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1802,0.7707,0.7716,0.0008999999999999009,0.8324,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1802,0.847,0.8488,0.0018000000000000238,0.857,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1802,0.8685,0.8697,0.0011999999999999789,0.8776,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1802,0.7332,0.7858,0.05260000000000009,0.8243,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1802,0.8281,0.845,0.016900000000000026,0.8625,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1802,0.8691,0.8733,0.0041999999999999815,0.8732,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1803,0.7152,0.7707,0.055500000000000105,0.8336,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1803,0.8089,0.8239,0.015000000000000013,0.864,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1803,0.8736,0.8736,0.0,0.8734,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1803,0.7693,0.8187,0.0494,0.8388,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1803,0.8257,0.8429,0.017199999999999993,0.8567,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1803,0.8662,0.8667,0.000500000000000056,0.8772,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1804,0.7505,0.7823,0.03180000000000005,0.8298,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1804,0.8409,0.8477,0.006800000000000028,0.8647,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W64_S1804,0.8704,0.8677,-0.0026999999999999247,0.8772,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W16_S1804,0.7437,0.7445,0.0008000000000000229,0.8282,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W32_S1804,0.7826,0.8136,0.031000000000000028,0.8549,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N4_W64_S1804,0.8609,0.8673,0.006399999999999961,0.8834,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W16_S1805,0.7538,0.7849,0.031100000000000017,0.8127,False,no persistent natural residual passed every preregistered gate
mnist_mlp_N3_W32_S1805,0.8126,0.8335,0.02090000000000003,0.86,False,no persistent natural residual passed every preregistered gate
