method,average_task_score,worst_task_score,task_0_score,task_1_score,task_2_score,task_3_score,interference,calibration_ece,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,measured_inference_time_seconds,inference_multiplier,certificate_passed,no_lift,saved_logits_sha256,label_permutation_regression_passed
weight_average,0.576171875,0.49609375,0.49609375,0.53515625,0.6015625,0.671875,0.423828125,0.47087917680619285,5882,5882,1.0,1,0.004599709063768387,1.0,False,True,5b8f69cfa43f3ac5e9a2efe3bb0f231b14a6fdd8438fa7eeb793d9803ca411df,True
task_arithmetic,0.576171875,0.49609375,0.49609375,0.53515625,0.6015625,0.671875,0.423828125,0.4708791766897775,5882,5882,1.0,1,0.004726666957139969,1.0276012877361356,False,True,5b8f69cfa43f3ac5e9a2efe3bb0f231b14a6fdd8438fa7eeb793d9803ca411df,True
ties,0.6201171875,0.49609375,0.49609375,0.51171875,0.578125,0.89453125,0.3798828125,0.41112096485449,5882,5882,1.0,1,0.004786459030583501,1.0406003867257891,False,True,5b8f69cfa43f3ac5e9a2efe3bb0f231b14a6fdd8438fa7eeb793d9803ca411df,True
dare,0.564453125,0.49609375,0.49609375,0.51171875,0.60546875,0.64453125,0.435546875,0.469379075744655,5882,5882,1.0,1,0.004664500011131167,1.0140858794468404,False,True,5b8f69cfa43f3ac5e9a2efe3bb0f231b14a6fdd8438fa7eeb793d9803ca411df,True
slerp,0.5771484375,0.49609375,0.49609375,0.53515625,0.6015625,0.67578125,0.4228515625,0.47053054854040965,5882,5882,1.0,1,0.004507208941504359,0.9798900058717528,False,True,5b8f69cfa43f3ac5e9a2efe3bb0f231b14a6fdd8438fa7eeb793d9803ca411df,True
low_rank_subspace_merge,0.576171875,0.49609375,0.49609375,0.53515625,0.6015625,0.671875,0.423828125,0.47087917680619285,5882,5882,1.0,1,0.004520166199654341,0.9827069792868858,False,True,5b8f69cfa43f3ac5e9a2efe3bb0f231b14a6fdd8438fa7eeb793d9803ca411df,True
greedy_soup,0.6142578125,0.4765625,0.4921875,0.4765625,0.48828125,1.0,0.3857421875,0.3871993547072634,5882,5882,1.0,1,0.006455000024288893,1.4033496325092631,False,True,5b8f69cfa43f3ac5e9a2efe3bb0f231b14a6fdd8438fa7eeb793d9803ca411df,True
twistedmerge_exact_gauge_soup_selector,0.6201171875,0.49609375,0.49609375,0.51171875,0.578125,0.89453125,0.3798828125,0.41112096485449,5882,5882,1.0,1,0.0044479998759925365,0.9670176557533053,False,True,5b8f69cfa43f3ac5e9a2efe3bb0f231b14a6fdd8438fa7eeb793d9803ca411df,True
twistedmerge_hodge_lr,0.6201171875,0.49609375,0.49609375,0.51171875,0.578125,0.89453125,0.3798828125,0.41112096485449,5882,5882,1.0,1,0.004317499930039048,0.938646307882322,False,True,5b8f69cfa43f3ac5e9a2efe3bb0f231b14a6fdd8438fa7eeb793d9803ca411df,True
