method,n,mean_accuracy,accuracy_ci_low,accuracy_ci_high,mean_loss
branch_orbit_lift_invariant_pooling,200,1.0,1.0,1.0,0.9911766388964074
branch_regular_lift_invariant_pooling,200,1.0,1.0,1.0,0.9911766388964074
validation_only_safe_selector,200,1.0,1.0,1.0,0.9911766388964073
twistedmerge_hodge_lr,200,1.0,1.0,1.0,0.9911766388964073
supplied_context_oracle,200,1.0,1.0,1.0,0.9911766388964074
ensemble_reference,200,0.99753,0.9973626009407879,0.9976973990592122,1.0050792622086788
learned_feature_router,200,0.9918425,0.9914541130102345,0.9922308869897655,1.0342722921511724
wrong_order_control,200,0.7563325000000001,0.750078534360773,0.7625864656392272,1.3740885169231765
wrong_group_action_control,200,0.6730974999999999,0.6687568605067915,0.6774381394932083,1.5044344545131785
greedy_soup,200,0.2068675,0.20526272754801084,0.20847227245198918,2.2384674399384057
wrong_generator_control,200,0.1498025,0.14277659790423705,0.15682840209576296,2.328019141517857
uniform_pooling_without_correct_action,200,0.1454975,0.14230114249552211,0.1486938575044779,1.9356005054539447
ordinary_weight_average,200,0.1454975,0.14230114249552211,0.1486938575044779,1.9356005054539447
random_same_branch_count_control,200,0.14535,0.14229571297252025,0.14840428702747976,2.337061720874199
naive_regular_representation_without_pooling,200,0.1217475,0.11856847388574336,0.12492652611425663,2.3726591174423053
git_rebasin_style_pairwise,200,0.1217475,0.11856847388574336,0.12492652611425663,2.3726591174423053
c2m3_strict_synchronization,200,0.1217475,0.11856847388574336,0.12492652611425663,2.3726591174423053
