setting_id,n_models,width,seed,pairwise_alignment_residual,sync_disagreement,permutation_cycle_score,monomial_phase_or_scale_cycle_score,monomial_centrality_improvement_from_permutation,global_scale_sync_rms_residual,global_scale_sync_max_residual,individual_accuracy_variance,individual_accuracy_mean,weight_average_degradation,strict_merge_degradation,monomial_over_strict_gain,selector_accuracy,greedy_accuracy,source_execution_commit,matched_natural_trained_checkpoints,label_permutation_regression_passed
mnist_mlp_N3_W16_S1800,3,16,1800,0.8377683361371359,0.1944444444444444,1.3228756555322954,1.0386089509359848,0.5769288091080591,0.1757310491932032,0.4018858792606545,0.0006080599999999,0.8279000000000001,0.34639999999999993,0.08899999999999997,0.03080000000000005,0.8551,0.8551,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W32_S1800,3,32,1800,0.736065665880839,0.1805555555555555,1.274754878398196,1.0322603771443013,0.5030020721081739,0.1532193760626207,0.5899445350046022,1.1055555555555403e-05,0.8604333333333334,0.11099999999999999,0.022299999999999986,0.0020000000000000018,0.8651,0.8651,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W64_S1800,3,64,1800,0.7069145639737447,0.1875,1.2624381172952597,0.9998875263499296,0.4872476772070154,0.123065032705256,0.4724853102768253,2.3022222222221887e-06,0.8791666666666665,0.07099999999999995,0.016900000000000026,-0.0007999999999999119,0.875,0.8813,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W16_S1800,4,16,1800,0.8234003682931265,0.234375,1.176180360985233,0.9531763745637944,0.6292525811121883,0.5360667065595716,3.0033550748506115,0.00011933,0.8147,0.43320000000000003,0.059799999999999964,0.019100000000000006,0.836,0.8336,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W32_S1800,4,32,1800,0.771592934926351,0.2890625,1.237239470207045,1.0207196577703572,0.452881384462552,0.1740645066395097,0.9373509909110754,1.2461875000000024e-05,0.860025,0.21099999999999997,0.028900000000000037,-0.0020999999999999908,0.8626,0.862,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W64_S1800,4,64,1800,0.7034910619258881,0.2666015625,1.195107400540716,1.0018130065489688,0.4349719707714696,0.1540204487353126,1.4043430952292189,1.2256875000000011e-05,0.8786750000000001,0.14549999999999996,0.01639999999999997,0.008299999999999974,0.8766,0.879,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W16_S1801,3,16,1801,0.8695217370986938,0.1527777777777778,1.118033988749895,0.9492195312528018,0.5944918511290931,0.5358469968810594,2.5310001466993253,1.3348888888889008e-05,0.8104333333333332,0.3525,0.0383,0.017299999999999982,0.8156,0.8156,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W32_S1801,3,32,1801,0.7277841567993164,0.1805555555555555,1.25,1.0181362211477485,0.478360969398054,0.372640791097199,3.471451703126011,1.6466666666666594e-06,0.8595,0.2144999999999999,0.027799999999999936,0.015799999999999925,0.8592,0.8592,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W64_S1801,3,64,1801,0.6929942965507507,0.1736111111111111,1.25,1.0302508383921751,0.4426343542361932,0.2469228632125005,2.152572743609809,1.0775555555555584e-05,0.8794333333333334,0.09550000000000003,0.010199999999999987,0.00029999999999996696,0.874,0.8832,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W16_S1801,4,16,1801,0.8546434938907623,0.26171875,1.1975344196238842,0.9752127791519568,0.5813194867879015,0.4275186006317995,2.3053222814909256,0.000258045,0.8225,0.3689,0.12730000000000008,0.030200000000000005,0.8297,0.8324,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W32_S1801,4,32,1801,0.7900364498297373,0.25,1.1743397045885131,0.9497500387840634,0.552092248807267,0.4014368968054937,3.2737211015415104,2.388687499999988e-05,0.859725,0.1694,0.02399999999999991,0.004999999999999893,0.8605,0.8612,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W64_S1801,4,64,1801,0.721860388914744,0.2890625,1.2428792575010583,1.022140450195108,0.4318779652186,0.3014762710590845,3.7631008590430137,1.139187499999994e-05,0.8811249999999999,0.24729999999999996,0.0035999999999999366,0.0007999999999999119,0.88,0.8782,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W16_S1802,3,16,1802,0.8458705147107443,0.1388888888888889,1.118033988749895,0.938747244444434,0.5838223795384663,0.2478623383612891,0.7095473505759071,0.0002047755555555,0.8226333333333334,0.2543000000000001,0.06169999999999998,0.0008999999999999009,0.8324,0.8324,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W32_S1802,3,32,1802,0.7559234897295634,0.1666666666666666,1.224744871391589,0.9738468108184956,0.5329355809460803,0.1449906841312584,0.4786779086544755,5.179999999999947e-06,0.8606000000000001,0.10650000000000004,0.010500000000000065,0.0018000000000000238,0.857,0.8575,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W64_S1802,3,64,1802,0.6928565303484598,0.1944444444444444,1.286953767623375,1.0468404077603086,0.4609469742813217,0.1125369729228089,0.4728093694095152,1.0459999999999808e-05,0.8769999999999999,0.16699999999999993,0.007699999999999929,0.0011999999999999789,0.8776,0.8762,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W16_S1802,4,16,1802,0.8417305449644724,0.2421875,1.1905238152277515,0.9693863702192468,0.6469351936153008,0.1827977640623955,0.5322081354834236,0.0001446568749999,0.817825,0.10429999999999995,0.09450000000000003,0.05260000000000009,0.8243,0.8277,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W32_S1802,4,32,1802,0.7386691470940908,0.265625,1.1920761391967272,0.959966967416833,0.5102084605421646,0.4062010881080997,4.174044812454346,2.6591874999999997e-05,0.856925,0.13380000000000003,0.0344000000000001,0.016900000000000026,0.8625,0.8625,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W64_S1802,4,64,1802,0.7395957310994467,0.302734375,1.2715577753425285,1.0313816533309268,0.4671137946720922,0.2525396676221889,2.2968542119454938,5.266875000000003e-06,0.881575,0.15659999999999996,0.016000000000000014,0.0041999999999999815,0.8732,0.8851,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W16_S1803,3,16,1803,0.7913328210512797,0.1805555555555555,1.274754878398196,1.0070454556635209,0.5553811089823664,0.1335993429191383,0.2771003532143326,0.0001652155555555,0.8177333333333333,0.26280000000000003,0.11950000000000005,0.055500000000000105,0.8336,0.8347,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W32_S1803,3,32,1803,0.7252013087272644,0.1423611111111111,1.0897247358851685,0.8874473874943882,0.4829965926555891,0.1328936152550349,0.4903520713087238,0.0001945755555555,0.8510666666666666,0.1553,0.05510000000000004,0.015000000000000013,0.864,0.864,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W64_S1803,3,64,1803,0.6992809375127157,0.1857638888888889,1.299038105676658,1.0716966719692775,0.452272006081553,0.1412091563599703,0.7258084989110318,8.022222222222921e-07,0.8783666666666666,0.08979999999999999,0.0038999999999999035,0.0,0.8734,0.8775,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W16_S1803,4,16,1803,0.8835288484891256,0.2421875,1.1913779157146671,0.9724483779970254,0.6141620129226266,0.4623475101828148,2.8191773629010557,0.000142295,0.821,0.28500000000000003,0.06700000000000006,0.0494,0.8388,0.8363,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W32_S1803,4,32,1803,0.7758717238903046,0.265625,1.1985228868375797,1.001817825474072,0.4428416312875826,0.1354321609994986,0.4340848873401162,1.3686875e-05,0.860725,0.21799999999999997,0.0393,0.017199999999999993,0.8567,0.865,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W64_S1803,4,64,1803,0.6955440243085226,0.283203125,1.243273659284601,1.011616782494154,0.4537065470224628,0.1247468468496643,0.4834745018249999,2.221875000000052e-06,0.8776249999999999,0.11149999999999993,0.01100000000000001,0.000500000000000056,0.8772,0.8772,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W16_S1804,3,16,1804,0.8476230303446451,0.2083333333333333,1.3693063937629153,1.045758401418615,0.6119819785640961,0.1673318535903881,0.3922446097508312,3.1219999999999765e-05,0.8237,0.20840000000000003,0.07930000000000004,0.03180000000000005,0.8298,0.8298,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W32_S1804,3,32,1804,0.726401686668396,0.1666666666666666,1.224744871391589,0.999714016390884,0.4953260793818558,0.2403464064785831,1.5356386202008974,1.2968888888888746e-05,0.8616666666666667,0.11629999999999996,0.024499999999999966,0.006800000000000028,0.8647,0.8654,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W64_S1804,3,64,1804,0.6768882671991984,0.1736111111111111,1.25,1.0259932128473137,0.4563861325224093,0.3144319297748146,4.688161287185632,1.384666666666666e-05,0.8788999999999999,0.08029999999999993,0.012900000000000023,-0.0026999999999999247,0.8772,0.8833,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W16_S1804,4,16,1804,0.9004624982674917,0.2578125,1.1446179979118485,0.9769799848855752,0.4542612477659164,0.1918742447343329,0.9336472053230171,0.000347746875,0.8075249999999999,0.42110000000000003,0.08379999999999999,0.0008000000000000229,0.8282,0.8275,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W32_S1804,4,32,1804,0.7769046723842621,0.2734375,1.2178904551960092,0.9732806691118606,0.5151592837684638,0.1474057747637374,0.7677084248190759,3.4568749999999143e-06,0.859475,0.3884,0.07700000000000007,0.031000000000000028,0.8549,0.8596,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W64_S1804,4,64,1804,0.6764205098152161,0.28515625,1.2492879824319294,1.0339289790945896,0.4417109117847007,0.1639879719626144,1.4990767025431873,1.322750000000005e-05,0.87905,0.06640000000000001,0.02400000000000002,0.006399999999999961,0.8834,0.8849,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W16_S1805,3,16,1805,0.861766000588735,0.1597222222222222,1.1726039399558574,1.4514687901948844,-0.1406534051796533,0.3156667704858969,1.6706042265504746,0.00026066,0.8052,0.46559999999999996,0.05609999999999993,0.031100000000000017,0.8127,0.8099,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W32_S1805,3,32,1805,0.7564934293429056,0.15625,1.118033988749895,0.9305248361406864,0.4898387580242221,0.5252232564622278,3.900450360369649,1.2328888888888738e-05,0.8554666666666666,0.2097,0.047599999999999976,0.02090000000000003,0.86,0.8602,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W64_S1805,3,64,1805,0.656621515750885,0.1631944444444444,1.1726039399558574,0.9790776248195688,0.4219931467069453,0.1016156540309565,0.434784781384218,1.3555555555556025e-07,0.8775333333333334,0.06140000000000001,0.014399999999999968,0.005499999999999949,0.8761,0.878,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W16_S1805,4,16,1805,0.8538136184215546,0.28125,1.2487448363194844,1.0018516200849006,0.5490508602097093,0.1880590634175137,0.506350095633187,0.0001202118749999,0.8125249999999999,0.38259999999999994,0.09029999999999994,9.999999999998899e-05,0.8189,0.8189,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W32_S1805,4,32,1805,0.7767448325951894,0.275390625,1.2234099775609495,1.0029670328995373,0.4970950955850022,0.1601769741724514,0.4700436338730663,4.15950000000002e-05,0.8562000000000001,0.25440000000000007,0.04380000000000006,0.011700000000000044,0.864,0.8635,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N4_W64_S1805,4,64,1805,0.7135339180628458,0.2998046875,1.2774261018818471,1.0404740295081405,0.4718710546891994,0.1397701385218681,0.93885151999578,3.721874999999979e-06,0.8788250000000001,0.20379999999999998,0.008299999999999974,-0.0029000000000000137,0.8728,0.8778,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W16_S1806,3,16,1806,0.8848303556442261,0.1666666666666666,1.224744871391589,0.9409835130385116,0.6742701270078713,0.1815963607561005,0.3875068698559163,0.0001654022222222,0.8086333333333333,0.23659999999999992,0.030999999999999917,0.0009000000000000119,0.814,0.814,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W32_S1806,3,32,1806,0.7681563099225363,0.1388888888888889,1.0897247358851685,0.9076337066999718,0.505178221764117,0.2418638130932125,1.4783223007515671,7.3622222222221724e-06,0.8593666666666667,0.1723,0.051899999999999946,0.025799999999999934,0.8613,0.8632,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
mnist_mlp_N3_W64_S1806,3,64,1806,0.722929835319519,0.1979166666666666,1.3110110602126894,1.0764397324731163,0.4653272969474249,0.1708350240503046,0.9588056827017176,5.446666666666688e-06,0.8813,0.08520000000000005,0.012700000000000045,0.0038000000000000256,0.8784,0.8797,d71d1a3651a4c4c23a3e6e80c834b729d6a8aa2e,True,True
