seed,method,mean_geodesic_error_degrees,pose_accuracy_under_10deg,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,measured_inference_time_seconds,inference_multiplier,candidate_count,selector_validation_budget,saved_predictions_path,saved_predictions_sha256,target_permutation_regression_passed
2,raw_weight_average,7.881322828223103,0.771484375,16,16,1,1,6.737490184605122e-05,1.0,1,0,reports/overnight_program/logits/quaternion_pose/seed2.npz,66241d068a8f66036209c27bd7eaed1644adb1f8684defd036d59ba2897ba89a,True
2,so3_synchronization,90.61658423269552,0.05859375,16,16,1,1,4.7666020691394806e-05,0.7074744361084138,1,0,reports/overnight_program/logits/quaternion_pose/seed2.npz,66241d068a8f66036209c27bd7eaed1644adb1f8684defd036d59ba2897ba89a,True
2,quaternion_sign_synchronization,3.901444877525986,0.998046875,16,16,1,1,4.3208012357354164e-05,0.6413072401364329,1,0,reports/overnight_program/logits/quaternion_pose/seed2.npz,66241d068a8f66036209c27bd7eaed1644adb1f8684defd036d59ba2897ba89a,True
2,c2m3_style_strict_alignment,3.901444877525986,0.998046875,16,16,1,1,4.216702654957771e-05,0.625856593393302,1,0,reports/overnight_program/logits/quaternion_pose/seed2.npz,66241d068a8f66036209c27bd7eaed1644adb1f8684defd036d59ba2897ba89a,True
2,two_branch_q_minus_q_lift,3.901014015958137,0.998046875,16,32,2,2,4.145805723965168e-05,0.6153338424801208,1,0,reports/overnight_program/logits/quaternion_pose/seed2.npz,66241d068a8f66036209c27bd7eaed1644adb1f8684defd036d59ba2897ba89a,True
2,sign_invariant_quadratic_qqt,3.901014015958137,0.998046875,16,16,1,1,4.1041988879442215e-05,0.6091584218292654,1,0,reports/overnight_program/logits/quaternion_pose/seed2.npz,66241d068a8f66036209c27bd7eaed1644adb1f8684defd036d59ba2897ba89a,True
2,random_two_branch_control,7.702511319604657,0.759765625,16,32,2,2,4.212488420307636e-05,0.625231103109136,1,0,reports/overnight_program/logits/quaternion_pose/seed2.npz,66241d068a8f66036209c27bd7eaed1644adb1f8684defd036d59ba2897ba89a,True
2,wrong_sign_control,176.59659533678416,0.0,16,16,1,1,4.03339508920908e-05,0.5986494939057894,1,0,reports/overnight_program/logits/quaternion_pose/seed2.npz,66241d068a8f66036209c27bd7eaed1644adb1f8684defd036d59ba2897ba89a,True
2,parameter_matched_wide_control,4.956014494769507,0.984375,16,16,1,1,4.1125109419226646e-05,0.6103921236604659,1,0,reports/overnight_program/logits/quaternion_pose/seed2.npz,66241d068a8f66036209c27bd7eaed1644adb1f8684defd036d59ba2897ba89a,True
2,ensemble_reference,3.901014015958137,0.998046875,16,64,4,4,3.945804201066494e-05,0.585648972087928,1,0,reports/overnight_program/logits/quaternion_pose/seed2.npz,66241d068a8f66036209c27bd7eaed1644adb1f8684defd036d59ba2897ba89a,True
