method,parameter_count,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,inference_multiplier,measured_inference_time_seconds,candidate_count,selector_validation_budget,is_single_model,is_branch_model,uses_supplied_context,uses_validation_data,uses_obstruction_data
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004249999765306711,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.000778124900534749,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007483749650418758,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0003785830922424793,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004738748539239168,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0012250000145286322,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007499591447412968,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006890001241117716,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00040458282455801964,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0011400000657886267,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0008201671298593283,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0005501669365912676,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.000775833148509264,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00048245792277157307,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.000832707853987813,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0003858329728245735,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00041095796041190624,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007184590213000774,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006726670544594526,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00048437505029141903,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00048687495291233063,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.000475084176287055,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006738749798387289,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006976248696446419,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00047337496653199196,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00048641604371368885,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004917080514132977,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007956249173730612,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.000716333044692874,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.000701958080753684,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0013469578698277473,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006579579785466194,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00044770888052880764,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006973331328481436,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00039766705594956875,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004692920483648777,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0008278328459709883,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0006143329665064812,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006567919626832008,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004955001641064882,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006806668825447559,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0005560419522225857,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.000496832886710763,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0005062080454081297,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0008538751862943172,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00038175005465745926,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00046274997293949127,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004072091542184353,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006837500259280205,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007464170921593904,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00044933310709893703,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0023841247893869877,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004657919052988291,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006995419971644878,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0009877919219434261,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.000724458135664463,1,4000,True,False,False,False,False
