cycle,cycle_residual_fro,largest_residual_singular_value
0,1.3136887921818361e-15,1.5173391328069595e-15
1,5.158710465473532e-16,1.5173391328069595e-15
2,9.074919803955935e-16,1.5173391328069595e-15
3,1.182584237637768e-15,1.5173391328069595e-15
