setting_id,n_models,width,seed,selected_source_method,selected_method,selector_val_margin,selector_validation_budget,candidate_count,selector_regret_audit,central_lift_activated,nonabelian_lift_activated
mnist_mlp_N3_W16_S1800,3,16,1800,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.0,False,False
mnist_mlp_N3_W16_S1801,3,16,1801,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.021499999999999964,False,False
mnist_mlp_N3_W16_S1802,3,16,1802,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.017100000000000004,False,False
mnist_mlp_N3_W16_S1803,3,16,1803,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.009000000000000008,False,False
mnist_mlp_N3_W16_S1804,3,16,1804,optimized_monomial_greedy_soup,optimized_monomial_greedy_soup,0.0,1000,13,0.01639999999999997,False,False
mnist_mlp_N3_W16_S1805,3,16,1805,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.006,1000,13,0.032399999999999984,False,False
mnist_mlp_N3_W16_S1806,3,16,1806,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.027800000000000047,False,False
mnist_mlp_N3_W16_S1807,3,16,1807,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.002,1000,13,0.03159999999999996,False,False
mnist_mlp_N3_W16_S1808,3,16,1808,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.003,1000,13,0.0030000000000000027,False,False
mnist_mlp_N3_W16_S1809,3,16,1809,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.005,1000,13,0.0029000000000000137,False,False
mnist_mlp_N3_W16_S1810,3,16,1810,union_candidate_soup,union_candidate_soup,0.001,1000,13,0.018100000000000005,False,False
mnist_mlp_N3_W16_S1811,3,16,1811,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.006,1000,13,0.022199999999999998,False,False
mnist_mlp_N3_W16_S1812,3,16,1812,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.001,1000,13,0.014799999999999924,False,False
mnist_mlp_N3_W16_S1813,3,16,1813,optimized_monomial_greedy_soup,optimized_monomial_greedy_soup,0.0,1000,13,0.010099999999999998,False,False
mnist_mlp_N3_W16_S1814,3,16,1814,optimized_monomial_greedy_soup,optimized_monomial_greedy_soup,0.0,1000,13,0.0037000000000000366,False,False
mnist_mlp_N3_W16_S1815,3,16,1815,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.014000000000000012,False,False
mnist_mlp_N3_W16_S1816,3,16,1816,union_candidate_soup,union_candidate_soup,0.0,1000,13,0.016800000000000037,False,False
mnist_mlp_N3_W16_S1817,3,16,1817,randomly_augmented_candidate_union,randomly_augmented_candidate_union,0.0039999999999998,1000,13,0.031399999999999983,False,False
