setting_id,group,width,seed,group_order,generator_s_recovery_error,generator_r_recovery_error,generator_commutator_norm,group_action_max_error,context_changes_prediction_rate,strict_synchronization_accuracy,supplied_context_accuracy,random_control_accuracy,wrong_generator_accuracy,wrong_order_accuracy,hodge_lr_rank,hodge_lr_explained_energy,leakage_regression_passed
S3_W32_S26,S3,32,26,6,2.1979593397621435e-15,2.1979593397621435e-15,3.4641016151377544,0.0,0.8525,0.1445,1.0,0.1695,0.0985,0.711,5,1.0,True
S3_W32_S27,S3,32,27,6,1.4608123516857491e-15,1.4608123516857493e-15,3.4641016151377544,0.0,0.861,0.1475,1.0,0.164,0.098,0.7255,5,1.0,True
S3_W32_S28,S3,32,28,6,1.402838177332043e-15,1.4028381773320433e-15,3.4641016151377544,0.0,0.8595,0.14,1.0,0.172,0.098,0.6965,5,1.0,True
S3_W32_S29,S3,32,29,6,8.494785721745855e-15,8.494785721745855e-15,3.4641016151377544,0.0,0.84975,0.149,1.0,0.1575,0.101,0.717,5,1.0,True
S3_W32_S30,S3,32,30,6,2.1747090501044696e-15,2.1747090501044696e-15,3.4641016151377544,0.0,0.85275,0.153,1.0,0.1615,0.1105,0.729,5,1.0,True
S3_W32_S31,S3,32,31,6,1.3776364917512873e-15,1.3776364917512875e-15,3.4641016151377544,0.0,0.84825,0.148,1.0,0.165,0.096,0.7275,5,1.0,True
S3_W32_S32,S3,32,32,6,1.6916337380336999e-15,1.6916337380337e-15,3.4641016151377544,0.0,0.85775,0.146,1.0,0.159,0.1035,0.7125,5,1.0,True
S3_W32_S33,S3,32,33,6,1.7325403899103553e-15,1.7325403899103553e-15,3.4641016151377544,0.0,0.859,0.1395,1.0,0.1805,0.1015,0.6945,5,1.0,True
S3_W32_S34,S3,32,34,6,2.0582769158802427e-15,2.0582769158802427e-15,3.4641016151377544,0.0,0.842,0.149,1.0,0.1655,0.0945,0.7065,5,1.0,True
S3_W32_S35,S3,32,35,6,1.3696647435001573e-15,1.3696647435001573e-15,3.4641016151377544,0.0,0.86525,0.132,1.0,0.1695,0.103,0.695,5,1.0,True
