setting_id,group,width,seed,group_order,generator_s_recovery_error,generator_r_recovery_error,generator_commutator_norm,group_action_max_error,context_changes_prediction_rate,strict_synchronization_accuracy,supplied_context_accuracy,random_control_accuracy,wrong_generator_accuracy,wrong_order_accuracy,hodge_lr_rank,hodge_lr_explained_energy,leakage_regression_passed
D4_W32_S44,D4,32,44,8,1.867692699122852e-15,1.867692699122852e-15,4.0,0.0,0.89825,0.1025,1.0,0.121,0.203,0.815,7,1.0,True
D4_W32_S45,D4,32,45,8,8.4518973840185e-15,8.4518973840185e-15,4.0,0.0,0.889,0.11,1.0,0.119,0.206,0.7925,7,1.0,True
D4_W32_S46,D4,32,46,8,2.2450375393595825e-15,2.2450375393595825e-15,4.0,0.0,0.90275,0.0955,1.0,0.124,0.18,0.8175,7,1.0,True
D4_W32_S47,D4,32,47,8,2.305295673637638e-15,2.305295673637638e-15,4.0,0.0,0.90125,0.0935,1.0,0.126,0.2085,0.789,7,1.0,True
D4_W32_S48,D4,32,48,8,1.7613409121053946e-15,1.7613409121053946e-15,4.0,0.0,0.90475,0.1005,1.0,0.128,0.19,0.796,7,1.0,True
D4_W32_S49,D4,32,49,8,1.786843756870247e-15,1.786843756870247e-15,4.0,0.0,0.90625,0.095,1.0,0.128,0.1885,0.796,7,1.0,True
D4_W64_S0,D4,64,0,8,1.8993014588738573e-15,1.8993014588738573e-15,4.0,0.0,0.902,0.1,1.0,0.123,0.1975,0.8095,7,1.0,True
D4_W64_S1,D4,64,1,8,2.2492952629027282e-15,2.2492952629027282e-15,4.0,0.0,0.90175,0.096,1.0,0.1325,0.212,0.7955,7,1.0,True
D4_W64_S2,D4,64,2,8,2.153687588099774e-15,2.153687588099774e-15,4.0,0.0,0.91,0.096,1.0,0.1095,0.2025,0.7895,7,1.0,True
D4_W64_S3,D4,64,3,8,2.3914485762971477e-15,2.3914485762971477e-15,4.0,0.0,0.894,0.102,1.0,0.1135,0.2095,0.793,7,1.0,True
D4_W64_S4,D4,64,4,8,3.512979594242637e-15,3.512979594242637e-15,4.0,0.0,0.9015,0.1025,1.0,0.1225,0.198,0.7975,7,1.0,True
D4_W64_S5,D4,64,5,8,2.2417893702696238e-15,2.2417893702696238e-15,4.0,0.0,0.90175,0.084,1.0,0.132,0.2,0.791,7,1.0,True
D4_W64_S6,D4,64,6,8,2.2806861389261985e-15,2.2806861389261985e-15,4.0,0.0,0.903,0.097,1.0,0.125,0.2,0.806,7,1.0,True
D4_W64_S7,D4,64,7,8,3.445835480346514e-15,3.445835480346514e-15,4.0,0.0,0.89575,0.107,1.0,0.1075,0.2055,0.8035,7,1.0,True
D4_W64_S8,D4,64,8,8,2.789659040835072e-15,2.7896590408350722e-15,4.0,0.0,0.89375,0.1045,1.0,0.129,0.195,0.798,7,1.0,True
D4_W64_S9,D4,64,9,8,2.3051571475665537e-15,2.3051571475665537e-15,4.0,0.0,0.90275,0.0865,1.0,0.124,0.1915,0.7905,7,1.0,True
D4_W64_S10,D4,64,10,8,2.4872671465709404e-15,2.4872671465709408e-15,4.0,0.0,0.9035,0.0975,1.0,0.1255,0.198,0.8005,7,1.0,True
D4_W64_S11,D4,64,11,8,2.1297374737537945e-15,2.1297374737537945e-15,4.0,0.0,0.8945,0.1155,1.0,0.1175,0.2,0.807,7,1.0,True
D4_W64_S12,D4,64,12,8,3.3214833538724206e-15,3.3214833538724206e-15,4.0,0.0,0.8925,0.111,1.0,0.1235,0.1985,0.8085,7,1.0,True
D4_W64_S13,D4,64,13,8,2.2381231123598735e-15,2.2381231123598735e-15,4.0,0.0,0.88975,0.113,1.0,0.1325,0.19,0.814,7,1.0,True
D4_W64_S14,D4,64,14,8,2.3370028229152787e-15,2.3370028229152787e-15,4.0,0.0,0.91,0.1025,1.0,0.1255,0.193,0.8045,7,1.0,True
D4_W64_S15,D4,64,15,8,2.993716949506207e-15,2.993716949506207e-15,4.0,0.0,0.89575,0.112,1.0,0.132,0.21,0.8045,7,1.0,True
D4_W64_S16,D4,64,16,8,3.763829004196748e-15,3.763829004196748e-15,4.0,0.0,0.88975,0.107,1.0,0.1165,0.2045,0.7975,7,1.0,True
D4_W64_S17,D4,64,17,8,2.351342688890637e-15,2.351342688890637e-15,4.0,0.0,0.907,0.0965,1.0,0.123,0.204,0.8,7,1.0,True
D4_W64_S18,D4,64,18,8,2.3366093787217346e-15,2.3366093787217346e-15,4.0,0.0,0.903,0.0915,1.0,0.119,0.1935,0.805,7,1.0,True
D4_W64_S19,D4,64,19,8,2.48074008098606e-15,2.48074008098606e-15,4.0,0.0,0.9055,0.1005,1.0,0.1285,0.204,0.7945,7,1.0,True
D4_W64_S20,D4,64,20,8,2.1758014015833927e-15,2.1758014015833927e-15,4.0,0.0,0.89625,0.105,1.0,0.119,0.201,0.787,7,1.0,True
D4_W64_S21,D4,64,21,8,5.672630868147931e-15,5.672630868147931e-15,4.0,0.0,0.9075,0.0935,1.0,0.1185,0.2005,0.8085,7,1.0,True
D4_W64_S22,D4,64,22,8,2.0591751757856153e-15,2.0591751757856153e-15,4.0,0.0,0.90175,0.102,1.0,0.1425,0.2025,0.805,7,1.0,True
D4_W64_S23,D4,64,23,8,6.6019877120590455e-15,6.6019877120590455e-15,4.0,0.0,0.89325,0.107,1.0,0.1195,0.1975,0.8015,7,1.0,True
D4_W64_S24,D4,64,24,8,2.41003770618034e-15,2.41003770618034e-15,4.0,0.0,0.89675,0.1115,1.0,0.1285,0.2095,0.801,7,1.0,True
D4_W64_S25,D4,64,25,8,7.616862311030166e-15,7.616862311030166e-15,4.0,0.0,0.89975,0.098,1.0,0.1325,0.2195,0.791,7,1.0,True
D4_W64_S26,D4,64,26,8,3.090834359166845e-15,3.090834359166845e-15,4.0,0.0,0.897,0.103,1.0,0.1205,0.2075,0.795,7,1.0,True
D4_W64_S27,D4,64,27,8,9.119542603139299e-15,9.119542603139299e-15,4.0,0.0,0.89675,0.102,1.0,0.1345,0.2005,0.8035,7,1.0,True
D4_W64_S28,D4,64,28,8,2.226080929124472e-15,2.2260809291244724e-15,4.0,0.0,0.8995,0.102,1.0,0.1325,0.2075,0.8055,7,1.0,True
D4_W64_S29,D4,64,29,8,1.9811914787823805e-15,1.9811914787823805e-15,4.0,0.0,0.896,0.1,1.0,0.122,0.1835,0.8105,7,1.0,True
D4_W64_S30,D4,64,30,8,2.335382296387178e-15,2.335382296387178e-15,4.0,0.0,0.90525,0.092,1.0,0.122,0.193,0.808,7,1.0,True
D4_W64_S31,D4,64,31,8,3.2255517015958627e-15,3.2255517015958627e-15,4.0,0.0,0.89875,0.1075,1.0,0.1175,0.204,0.793,7,1.0,True
D4_W64_S32,D4,64,32,8,2.2465449324036753e-15,2.2465449324036753e-15,4.0,0.0,0.89825,0.099,1.0,0.1375,0.2005,0.7895,7,1.0,True
D4_W64_S33,D4,64,33,8,2.2501508000183193e-15,2.2501508000183193e-15,4.0,0.0,0.8995,0.0945,1.0,0.1355,0.199,0.809,7,1.0,True
D4_W64_S34,D4,64,34,8,2.923539311403965e-15,2.923539311403965e-15,4.0,0.0,0.90175,0.104,1.0,0.114,0.1945,0.81,7,1.0,True
D4_W64_S35,D4,64,35,8,8.125144382996874e-15,8.125144382996876e-15,4.0,0.0,0.90625,0.0965,1.0,0.13,0.199,0.7985,7,1.0,True
D4_W64_S36,D4,64,36,8,2.2202201288871366e-15,2.220220128887137e-15,4.0,0.0,0.9045,0.098,1.0,0.119,0.1865,0.8035,7,1.0,True
D4_W64_S37,D4,64,37,8,2.419740238377804e-15,2.419740238377804e-15,4.0,0.0,0.89775,0.105,1.0,0.1255,0.1845,0.816,7,1.0,True
D4_W64_S38,D4,64,38,8,6.403805329365972e-15,6.403805329365972e-15,4.0,0.0,0.89625,0.099,1.0,0.12,0.188,0.8085,7,1.0,True
D4_W64_S39,D4,64,39,8,3.3961722071708905e-15,3.396172207170891e-15,4.0,0.0,0.908,0.086,1.0,0.122,0.1905,0.8065,7,1.0,True
D4_W64_S40,D4,64,40,8,4.960258162979268e-15,4.9602581629792675e-15,4.0,0.0,0.89525,0.102,1.0,0.1285,0.1995,0.798,7,1.0,True
D4_W64_S41,D4,64,41,8,2.7978423259116054e-15,2.7978423259116054e-15,4.0,0.0,0.8925,0.102,1.0,0.109,0.2025,0.8105,7,1.0,True
D4_W64_S42,D4,64,42,8,2.1418499665053256e-15,2.1418499665053256e-15,4.0,0.0,0.897,0.117,1.0,0.1195,0.2095,0.798,7,1.0,True
D4_W64_S43,D4,64,43,8,2.195274517030292e-15,2.1952745170302916e-15,4.0,0.0,0.898,0.105,1.0,0.1245,0.2065,0.8055,7,1.0,True
D4_W64_S44,D4,64,44,8,2.273281740937776e-15,2.273281740937776e-15,4.0,0.0,0.9,0.105,1.0,0.1245,0.2055,0.8005,7,1.0,True
D4_W64_S45,D4,64,45,8,2.0562333665848512e-15,2.0562333665848512e-15,4.0,0.0,0.9,0.0955,1.0,0.129,0.2185,0.779,7,1.0,True
D4_W64_S46,D4,64,46,8,2.8699854602904297e-15,2.8699854602904297e-15,4.0,0.0,0.889,0.113,1.0,0.121,0.2175,0.798,7,1.0,True
D4_W64_S47,D4,64,47,8,3.982047670306057e-15,3.982047670306057e-15,4.0,0.0,0.895,0.101,1.0,0.142,0.1895,0.7995,7,1.0,True
D4_W64_S48,D4,64,48,8,1.901891775278261e-15,1.901891775278261e-15,4.0,0.0,0.90075,0.104,1.0,0.1235,0.189,0.7995,7,1.0,True
D4_W64_S49,D4,64,49,8,2.2316202572408767e-15,2.2316202572408767e-15,4.0,0.0,0.89675,0.1045,1.0,0.115,0.1985,0.8,7,1.0,True
