dataset,clients,frame_actions,method,accuracy,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,measured_inference_time_seconds,inference_multiplier,selector_validation_budget,label_permutation_regression_passed,saved_logits_sha256
MNIST,4,quarter_turn_image_rotations,fedavg_raw_frame_weights,0.401,7850,7850,1,1,5.195802077651024e-05,1.0,0,True,d64c129dd3ede40a1f9226d4cf274c7b42b981f0bd4131f2a490cec64bd329c0
MNIST,4,quarter_turn_image_rotations,pairwise_synchronization,0.882,7850,7850,1,1,3.7207966670393944e-05,0.7161159357943699,0,True,d64c129dd3ede40a1f9226d4cf274c7b42b981f0bd4131f2a490cec64bd329c0
MNIST,4,quarter_turn_image_rotations,c2m3_style_synchronization,0.882,7850,7850,1,1,3.9207981899380684e-05,0.7546088421656405,0,True,d64c129dd3ede40a1f9226d4cf274c7b42b981f0bd4131f2a490cec64bd329c0
MNIST,4,quarter_turn_image_rotations,greedy_validation_merge,0.876,7850,7850,1,1,3.395904786884785e-05,0.6535862483083734,400,True,d64c129dd3ede40a1f9226d4cf274c7b42b981f0bd4131f2a490cec64bd329c0
MNIST,4,quarter_turn_image_rotations,twistedmerge_hodge_lr,0.882,7850,7850,1,1,3.483286127448082e-05,0.6704039290547504,0,True,d64c129dd3ede40a1f9226d4cf274c7b42b981f0bd4131f2a490cec64bd329c0
MNIST,4,quarter_turn_image_rotations,branch_pooling,0.882,7850,31400,4,4,3.0333176255226135e-05,0.5838016114143343,0,True,d64c129dd3ede40a1f9226d4cf274c7b42b981f0bd4131f2a490cec64bd329c0
MNIST,4,quarter_turn_image_rotations,learned_router,0.882,7850,31400,4,4,3.0624913051724434e-05,0.5894164672563834,0,True,d64c129dd3ede40a1f9226d4cf274c7b42b981f0bd4131f2a490cec64bd329c0
MNIST,4,quarter_turn_image_rotations,parameter_matched_control,0.882,7850,7850,1,1,3.479188308119774e-05,0.6696152501814857,0,True,d64c129dd3ede40a1f9226d4cf274c7b42b981f0bd4131f2a490cec64bd329c0
