scope,n_models,width,method,n,mean_test_accuracy,accuracy_ci_low,accuracy_ci_high,mean_test_loss,loss_ci_low,loss_ci_high,mean_validation_accuracy,mean_inference_time_seconds_512,mean_inference_multiplier
overall,all,all,c2m3_greedy_soup,120,0.8568683333333332,0.852913297755727,0.8608233689109395,0.6505630082289378,0.6217494863760769,0.6793765300817987,0.84775,0.011970873299287586,0.9899670550895533
overall,all,all,c2m3_strict_synchronization,120,0.8118941666666667,0.8018016685080394,0.821986664825294,0.8652620148742199,0.8249219734592608,0.9056020562891791,0.8013166666666666,0.011961992381839027,0.9892644382443418
overall,all,all,ensemble_reference,120,0.865035,0.8621499267397754,0.8679200732602246,0.6278113029535614,0.6017614108651785,0.6538611950419442,0.8530166666666666,0.04250598546544396,3.5162262156166406
overall,all,all,git_rebasin_style_pairwise,120,0.8123933333333333,0.8025333430986539,0.8222533235680127,0.8673368626455465,0.8272211843129996,0.9074525409780935,0.8018666666666666,0.012023425331183968,0.9941224355329648
overall,all,all,global_monomial,120,0.82689,0.8191603765942128,0.8346196234057872,0.8468439000725746,0.807919383840284,0.8857684163048651,0.819875,0.011954590953731239,0.9886332699496466
overall,all,all,monomial_greedy_soup,120,0.8569800000000001,0.8530808884776748,0.8608791115223253,0.6499566524136067,0.6224348853504413,0.677478419476772,0.8478666666666667,0.01197104864986609,0.990173389007001
overall,all,all,optimized_monomial,120,0.8206275000000001,0.8119329636952224,0.8293220363047777,0.6856982862166563,0.6512697031813891,0.7201268692519235,0.8143416666666666,0.011971256195101835,0.9899274999138775
overall,all,all,ordinary_greedy_soup,120,0.857245,0.8533148933276963,0.8611751066723038,0.6444098158637682,0.6164216447716488,0.6723979869558876,0.8476,0.01202517189473529,0.9942110576440313
overall,all,all,ordinary_weight_average,120,0.6662675,0.6447754004667104,0.6877595995332896,1.5041733275278408,1.4691509585222164,1.5391956965334652,0.6611666666666667,0.012094609029979083,1.0
overall,all,all,randomly_augmented_candidate_union,120,0.8565625000000001,0.8526894241418557,0.8604355758581446,0.6711859096984069,0.6409987252762213,0.7013730941205925,0.849525,0.012010263527433028,0.993218130444444
overall,all,all,raw_monomial_alignment,120,0.8197425,0.8102814380099169,0.8292035619900832,0.853114435458978,0.8131623352663129,0.8930665356516432,0.8098499999999998,0.011956626103104353,0.9887696832522359
overall,all,all,shrinkage_monomial,120,0.8267625,0.8190931210927774,0.8344318789072225,0.8446459988605975,0.8060880845556098,0.8832039131655853,0.8204083333333333,0.011958927412827764,0.9889434585647398
overall,all,all,twistedmerge_exact_gauge_soup_selector,120,0.8558466666666666,0.8520270394964131,0.8596662938369202,0.6759716334950923,0.6453649546972748,0.7065783122929097,0.8498583333333334,0.012023172188006909,0.9943382881661675
overall,all,all,union_candidate_soup,120,0.8565875000000001,0.8526767842359416,0.8604982157640585,0.6623462340430419,0.633199934466397,0.6914925336196869,0.8489583333333334,0.011994079125967453,0.9920970136916618
fixed_setting,3,16,c2m3_greedy_soup,20,0.827975,0.82259295136735,0.83335704863265,0.8524695270872116,0.835117669825403,0.8698213843490201,0.8172499999999999,0.01193910638103257,0.9837780707925384
fixed_setting,3,16,c2m3_strict_synchronization,20,0.7483799999999999,0.7330710811943528,0.763688918805647,1.1282606841659546,1.115181148193855,1.1413402201380543,0.7377,0.0120324208051897,0.9913142547437775
fixed_setting,3,16,ensemble_reference,20,0.843485,0.8409756087251036,0.8459943912748965,0.8220342573976517,0.8117859210099861,0.8322825937853172,0.8316000000000001,0.03642189160455013,3.001885271267148
fixed_setting,3,16,git_rebasin_style_pairwise,20,0.7511950000000001,0.7346131495757371,0.767776850424263,1.1250094226169585,1.1120345018103415,1.1379843434235755,0.7408,0.012065722909755956,0.9939823907268259
fixed_setting,3,16,global_monomial,20,0.77752,0.7705820487804964,0.7844579512195036,1.0993686884593963,1.0829824311627831,1.1157549457560094,0.7698,0.01202390855178231,0.9906806071691359
fixed_setting,3,16,monomial_greedy_soup,20,0.827975,0.82259295136735,0.83335704863265,0.8524695265102386,0.8351176693211009,0.8698213836993762,0.8172499999999999,0.01197424182901154,0.9867502210306884
fixed_setting,3,16,optimized_monomial,20,0.7565799999999999,0.7463543348707902,0.7668056651292097,0.9486828126430511,0.9301598900891583,0.9672057351969439,0.7520499999999999,0.01194828728912393,0.9846309917582069
fixed_setting,3,16,ordinary_greedy_soup,20,0.827975,0.82259295136735,0.83335704863265,0.8524695269680024,0.8351176696847576,0.8698213842512471,0.8172499999999999,0.012088395829778102,0.9958090512324087
fixed_setting,3,16,ordinary_weight_average,20,0.551755,0.5099171230230938,0.5935928769769062,1.6419831711864472,1.6077740917275132,1.6761922506453812,0.55335,0.01214021671330551,1.0
fixed_setting,3,16,randomly_augmented_candidate_union,20,0.8273149999999999,0.8222922673969137,0.8323377326030861,0.8894816494607927,0.8566792273912588,0.9222840715303265,0.8195499999999999,0.0120298436377197,0.9913448186436534
fixed_setting,3,16,raw_monomial_alignment,20,0.7676200000000001,0.7549300059289136,0.7803099940710866,1.104922096118927,1.0876722860337056,1.1221719062041484,0.7571,0.01203418130753557,0.991422760799378
fixed_setting,3,16,shrinkage_monomial,20,0.777515,0.7703317548088771,0.7846982451911229,1.097390399184227,1.0816649282297803,1.1131158701386739,0.7710499999999999,0.011983004282228597,0.9872678973210329
fixed_setting,3,16,twistedmerge_exact_gauge_soup_selector,20,0.8272550000000001,0.8222373783409185,0.8322726216590817,0.8902545862483979,0.8572780659411597,0.9232311065556361,0.8196,0.012125549942720632,0.999313867196463
fixed_setting,3,16,union_candidate_soup,20,0.82746,0.8221398326231316,0.8327801673768683,0.8651286400842668,0.8383333898878506,0.8919238902806831,0.8182,0.01201218749629329,0.9898480142502502
fixed_setting,3,32,c2m3_greedy_soup,20,0.86173,0.8598118070323733,0.8636481929676267,0.613372086122036,0.600922813987382,0.6258213582566899,0.8524,0.012002447887789409,0.9858283926975657
fixed_setting,3,32,c2m3_strict_synchronization,20,0.82713,0.8192344003348968,0.8350255996651033,0.8061454037284852,0.7916056689146573,0.8206851385423131,0.81685,0.011973618739284524,0.9843765781631424
fixed_setting,3,32,ensemble_reference,20,0.866915,0.8654746105417009,0.868355389458299,0.5973856855249403,0.592650527260847,0.6021208437890336,0.85335,0.036666598008014216,3.0085838593509604
fixed_setting,3,32,git_rebasin_style_pairwise,20,0.824535,0.8166044821552236,0.8324655178447764,0.8095252737188341,0.7941805457333907,0.8248700017042775,0.8129,0.012120483233593354,0.9958480193066419
fixed_setting,3,32,global_monomial,20,0.8385300000000001,0.8338848435267419,0.8431751564732584,0.7919383818864822,0.7784171858270964,0.8054595779458681,0.8316000000000001,0.01202157709049057,0.9879966543975491
fixed_setting,3,32,monomial_greedy_soup,20,0.8617950000000001,0.8599114627571341,0.863678537242866,0.612799113278389,0.6012419880010264,0.6243562385557516,0.8524,0.011955327098257794,0.9831210735927154
fixed_setting,3,32,optimized_monomial,20,0.83661,0.8315599357386058,0.8416600642613942,0.6446826112556457,0.6294270697257885,0.6599381527855029,0.8275,0.011958076991140779,0.9832980801223933
fixed_setting,3,32,ordinary_greedy_soup,20,0.862195,0.8603371866735893,0.8640528133264108,0.6076623746991158,0.6002981498731403,0.6150265995250912,0.8523,0.012097795843146691,0.9930674121767268
fixed_setting,3,32,ordinary_weight_average,20,0.7286550000000002,0.7096584668149549,0.7476515331850454,1.4099818541526794,1.3801975103668909,1.439766197938468,0.71965,0.012169037549756425,1.0
fixed_setting,3,32,randomly_augmented_candidate_union,20,0.861925,0.8600649895670921,0.863785010432908,0.6225344296956062,0.6045979229708766,0.6404709364203359,0.85335,0.012201429088599926,1.001929181737626
fixed_setting,3,32,raw_monomial_alignment,20,0.8353400000000001,0.8297865825228253,0.8408934174771748,0.7952695271539688,0.7807690750376575,0.8097699792702802,0.82405,0.012011658411938646,0.9870767055585785
fixed_setting,3,32,shrinkage_monomial,20,0.837715,0.8328341779616005,0.8425958220383994,0.7904663325357437,0.7771213113690448,0.8038113537024426,0.8314,0.01199308745563026,0.9855115746352585
fixed_setting,3,32,twistedmerge_exact_gauge_soup_selector,20,0.861505,0.8593921257894815,0.8636178742105184,0.630422401816845,0.6047721551274479,0.656072648506242,0.8534,0.01227367910323659,1.008042378326786
fixed_setting,3,32,union_candidate_soup,20,0.86181,0.8599668593873785,0.8636531406126214,0.6125294846367837,0.5991906117457731,0.6258683575277942,0.853,0.012138927041087249,0.9980187225802328
fixed_setting,3,64,c2m3_greedy_soup,20,0.879585,0.8782449625684725,0.8809250374315274,0.48433117888927457,0.47413608126490947,0.4945262765136397,0.8701000000000001,0.012002379284240264,0.997767120522421
fixed_setting,3,64,c2m3_strict_synchronization,20,0.8657,0.8627813278866473,0.8686186721133528,0.6022437542295456,0.595902543510761,0.6085849649483301,0.8549,0.011912931385450003,0.9904160001274166
fixed_setting,3,64,ensemble_reference,20,0.88262,0.8819284080545962,0.8833115919454038,0.46980726870536793,0.4677894339428498,0.4718251034678861,0.87095,0.036128918791655404,3.003665880529405
fixed_setting,3,64,git_rebasin_style_pairwise,20,0.8650800000000001,0.8619627664140342,0.8681972335859659,0.6025644100046158,0.5962118559091631,0.6089169641000685,0.8545,0.01192580832866946,0.9914999089264984
fixed_setting,3,64,global_monomial,20,0.870505,0.8691887722649456,0.8718212277350543,0.5922711119699479,0.58603719940977,0.5985050245301258,0.8654,0.011969535262323874,0.9950242167907213
fixed_setting,3,64,monomial_greedy_soup,20,0.8797200000000001,0.8785734595157147,0.8808665404842854,0.4836142648053169,0.4742884866719099,0.49294004293872384,0.8707,0.011987608380150006,0.9965988035433988
fixed_setting,3,64,optimized_monomial,20,0.8689300000000001,0.867459752441898,0.8704002475581022,0.4833138261818887,0.4775164260624273,0.48911122630135007,0.8644499999999999,0.0122232312103733,1.0150079878478124
fixed_setting,3,64,ordinary_greedy_soup,20,0.8799949999999999,0.8789508248795793,0.8810391751204204,0.4772082400274277,0.47354689471526984,0.4808695853395855,0.86995,0.012115422938950317,1.0066273423441607
fixed_setting,3,64,ordinary_weight_average,20,0.7855700000000001,0.7690054084369543,0.8021345915630459,1.2050337413263321,1.1807196976319005,1.2293477850207637,0.7731,0.01203045628499234,1.0
fixed_setting,3,64,randomly_augmented_candidate_union,20,0.878895,0.8776154593760177,0.8801745406239823,0.5027232606339453,0.48686925422460975,0.5185772670432809,0.8721,0.011938945867586825,0.9928798899171267
fixed_setting,3,64,raw_monomial_alignment,20,0.8701999999999999,0.8687939385953364,0.8716060614046633,0.5935213046836852,0.5875662782465355,0.599476331120835,0.86205,0.011891095852479291,0.9885591956552293
