seed,condition,method,dice,iou,boundary_dice,hausdorff95,assd,pixel_nll,pixel_ece,foreground_recall,foreground_precision,chart_accuracy,ordinary_chart_accuracy,learned_table_chart_accuracy,heldout_chart_exposed,prediction_sha256,prediction_hashes_unchanged
10,seen,ordinary_chart_cnn_canonicalization,0.003692441144831771,0.0018594692528302648,0.04083075481116214,72.64813024763758,39.75711582844778,0.6583123040627848,0.2506836987902261,0.003488309690345432,0.008499694882747799,0.6875,0.5625,0.625,False,5b2ebd5e6d8d14e41e50381093119526740082a713e457421d0f37bc22dcef97,True
10,seen,d4_equivariant_chart_cnn_canonicalization,0.0018041225799309136,0.0009063575979597551,0.031980885828348245,72.80833468876133,39.38867811880684,0.6583927796475142,0.25077082643588255,0.0019677644407076794,0.004796163069544364,0.6875,0.5625,0.625,False,5b2ebd5e6d8d14e41e50381093119526740082a713e457421d0f37bc22dcef97,True
10,seen,direct_d4_equivariant_unet,0.33395307218669784,0.2132453918461833,0.04141779600529121,72.97466301159531,38.83968280688241,0.804852488227867,0.37081419250421277,1.0,0.21324539184570312,0.6875,0.5625,0.625,False,5b2ebd5e6d8d14e41e50381093119526740082a713e457421d0f37bc22dcef97,True
10,seen,learned_multiplication_table_chart_model,0.0018041225799356364,0.0009063575979644775,0.031980885828348245,72.81358736453663,39.376614114615634,0.6583858408021506,0.2506730127704486,0.0019677644407076794,0.004802864253591233,0.6875,0.5625,0.625,False,5b2ebd5e6d8d14e41e50381093119526740082a713e457421d0f37bc22dcef97,True
10,seen,hard_retransport,0.0018041225799309136,0.0009063575979597551,0.031980885828348245,72.80833468876133,39.38867811880684,0.6583927796475142,0.25077082643588255,0.0019677644407076794,0.004796163069544364,0.6875,0.5625,0.625,False,5b2ebd5e6d8d14e41e50381093119526740082a713e457421d0f37bc22dcef97,True
10,seen,soft_retransport,0.0023470738754363934,0.0011784894401500193,0.03556255794988705,72.74588089794527,39.750970993058615,0.6583348714336787,0.25076065562382155,0.0023255397935636212,0.005674130330408974,0.6875,0.5625,0.625,False,5b2ebd5e6d8d14e41e50381093119526740082a713e457421d0f37bc22dcef97,True
10,seen,d4_test_time_augmentation,0.0022006151575544126,0.001104466543192914,0.03281672059589831,72.55615166813573,39.63640512167634,0.6584589125124032,0.25129214309026787,0.002075097046564462,0.004993542832544124,0.6875,0.5625,0.625,False,5b2ebd5e6d8d14e41e50381093119526740082a713e457421d0f37bc22dcef97,True
10,seen,supplied_chart_oracle,0.003336019266861506,0.0016798786532906049,0.039233633914607116,72.93442443203443,38.82103565594643,0.6582847030995431,0.2502741342642594,0.0030947568022038963,0.007539440425346465,0.6875,0.5625,0.625,False,5b2ebd5e6d8d14e41e50381093119526740082a713e457421d0f37bc22dcef97,True
10,seen,random_chart_control,0.0026934022881383896,0.0013533626738860896,0.03584332170371285,72.98234768572114,39.252690792960095,0.6586100694431896,0.25193077422534316,0.002450761167063201,0.005973924039593599,0.6875,0.5625,0.625,False,5b2ebd5e6d8d14e41e50381093119526740082a713e457421d0f37bc22dcef97,True
10,seen,wrong_output_action_control,0.003153554841944595,0.0015868402908517302,0.0326335331956018,72.85553422053215,40.163498452747994,0.6532263405108678,0.25934189262022755,0.0025938713082055776,0.006863905325443787,0.6875,0.5625,0.625,False,5b2ebd5e6d8d14e41e50381093119526740082a713e457421d0f37bc22dcef97,True
10,unseen,ordinary_chart_cnn_canonicalization,0.0031794655169900573,0.0016015187938464208,0.03668712643475689,72.65537694248303,40.096919545960056,0.6584135088343597,0.2514513564377694,0.003112645569846693,0.007620549205097885,0.6875,0.0,0.625,False,22165b331125d313b4f5bb9696a66bdfe9ea7299eceb1d59bf3a5e72eaf28356,True
10,unseen,d4_equivariant_chart_cnn_canonicalization,0.0018041225799309136,0.0009063575979597551,0.031980885828348245,72.80833468876133,39.38867811880684,0.6583927796475143,0.25077082643588255,0.0019677644407076794,0.004796163069544364,0.6875,0.0,0.625,False,22165b331125d313b4f5bb9696a66bdfe9ea7299eceb1d59bf3a5e72eaf28356,True
10,unseen,direct_d4_equivariant_unet,0.33395307218669784,0.2132453918461833,0.04141779600529121,72.97466301159531,38.83968280688241,0.8048524882245709,0.3708141925028485,1.0,0.21324539184570312,0.6875,0.0,0.625,False,22165b331125d313b4f5bb9696a66bdfe9ea7299eceb1d59bf3a5e72eaf28356,True
10,unseen,learned_multiplication_table_chart_model,0.0018041225799356364,0.0009063575979644775,0.031980885828348245,72.81358736453663,39.37661411461564,0.6583858408021506,0.2506730127704486,0.0019677644407076794,0.004802864253591233,0.6875,0.0,0.625,False,22165b331125d313b4f5bb9696a66bdfe9ea7299eceb1d59bf3a5e72eaf28356,True
10,unseen,hard_retransport,0.0018041225799309136,0.0009063575979597551,0.031980885828348245,72.80833468876133,39.38867811880684,0.6583927796475143,0.25077082643588255,0.0019677644407076794,0.004796163069544364,0.6875,0.0,0.625,False,22165b331125d313b4f5bb9696a66bdfe9ea7299eceb1d59bf3a5e72eaf28356,True
10,unseen,soft_retransport,0.0023470738754363934,0.0011784894401500193,0.03556255794988705,72.74588089794527,39.750970993058615,0.6583348714240477,0.25076065562984695,0.0023255397935636212,0.005674130330408974,0.6875,0.0,0.625,False,22165b331125d313b4f5bb9696a66bdfe9ea7299eceb1d59bf3a5e72eaf28356,True
