seed,condition,example,chart,method,dice,iou,boundary_dice,hausdorff95,assd,pixel_nll,pixel_ece,foreground_recall,foreground_precision
10,seen,cju0ue769mxii08019zqgdbxn.png,0,ordinary_chart_cnn_canonicalization,4.897159647380523e-12,4.897159647380523e-12,0.0,93.4831467383516,59.10754515310132,0.5799237224613558,0.38082714390475303,0.0,0.0
10,seen,cju13cgqmnhwn0988yrainhcp.png,1,ordinary_chart_cnn_canonicalization,2.8555111364852785e-12,2.8555111364852785e-12,0.0,81.82173645062716,49.18317563920214,0.6218075503963613,0.31347296232888766,0.0,0.0
10,seen,cju16ach3m1da0993r1dq3sn2.png,4,ordinary_chart_cnn_canonicalization,1.7724211272566956e-12,1.7724211272566956e-12,0.0,54.89306072690369,36.177462912037186,0.6804775867873494,0.2908600408791244,0.0,0.0
10,seen,cju171py4qiha0835u8sl59ds.png,0,ordinary_chart_cnn_canonicalization,0.021377672210317528,0.01080432173001093,0.23513011152416358,72.73230737120663,27.20225018906619,0.7361823102208696,0.3382210500913061,0.013495501499500167,0.05139593908629442
10,seen,cju17g6ykn1cs0993dww6qdi8.png,1,ordinary_chart_cnn_canonicalization,0.009240542883324803,0.0046417174368949205,0.05445116681071737,51.67580781410727,28.878034868575035,0.7203338569296995,0.34171694636825123,0.006222049387517014,0.0179472798653954
10,seen,cju183od81ff608017ekzif89.png,4,ordinary_chart_cnn_canonicalization,2.6239832065005932e-12,2.6239832065005932e-12,0.029644268774703556,82.10138510920908,39.90677446274924,0.633623690493366,0.2916643487315014,0.0,0.0
10,seen,cju1c0qb4tzi308355wtsnp0y.png,0,ordinary_chart_cnn_canonicalization,1.3550135501336653e-12,1.3550135501336653e-12,0.0,55.607438654299,26.891511337738383,0.7293019362701207,0.3416201391883078,0.0,0.0
10,seen,cju1cyjb5qtie0993njqne9m3.png,1,ordinary_chart_cnn_canonicalization,0.009751037345425567,0.004899405817778693,0.22389558232931728,46.99948267625603,19.972799942253467,0.7568700068025,0.20369083845434943,0.005650396729983169,0.03555219364599092
10,seen,cju1d50a94qf50855wsowacrc.png,4,ordinary_chart_cnn_canonicalization,0.013122346588139244,0.00660450660836595,0.052690582959641255,116.01745397853097,53.73833948736044,0.5938558064538062,0.37735320112005866,0.017051153460381142,0.01066499372647428
10,seen,cju1fb9236a110801yvg0fwju.png,0,ordinary_chart_cnn_canonicalization,0.0055874592596529766,0.002801556421785523,0.04360753221010902,52.18236722338012,30.631334860889528,0.6911149940988024,0.13396035441837736,0.0034876961829102887,0.014040561622464899
10,seen,cju1ftaji6isw0855108yqcse.png,1,ordinary_chart_cnn_canonicalization,2.5043826696656542e-12,2.5043826696656542e-12,0.0,77.47192844203725,45.48590984734255,0.6517690757476187,0.4133876034320565,0.0,0.0
10,seen,cju1gv7106qd008784gk603mg.png,4,ordinary_chart_cnn_canonicalization,2.6567481402692437e-12,2.6567481402692437e-12,0.0,97.98366775532564,39.94633880151369,0.6244672277805199,0.28219392683422484,0.0,0.0
10,seen,cju1hirfi7ekp0855q0vgm9qq.png,0,ordinary_chart_cnn_canonicalization,4.85436893201527e-12,4.85436893201527e-12,0.0,72.8337143362348,57.40886284573798,0.5837872403399235,0.37910872978864063,0.0,0.0
10,seen,cju2i6acqvo6l0799u20fift8.png,1,ordinary_chart_cnn_canonicalization,2.634351949413503e-12,2.634351949413503e-12,0.0,62.42956017884828,45.243023251692854,0.642759476770016,0.3062674339780642,0.0,0.0
10,seen,cju2nguelpmlj0835rojdn097.png,4,ordinary_chart_cnn_canonicalization,2.5614754098295046e-12,2.5614754098295046e-12,0.013872832369942197,79.05061568347186,40.849780525508706,0.6181904972913397,0.2586052960887173,0.0,0.0
