evidence_label,corpus_seed,transition_method,triangle,scalar_real,scalar_imag,centrality_residual,normalized_centrality_residual,eigenvalue_dispersion,mean_commutator_with_local_transitions,estimated_root_order,estimated_root_exponent,root_residual,root_margin,root_confidence,bootstrap_centrality_mean,bootstrap_centrality_ci_low,bootstrap_centrality_ci_high,bootstrap_phase_instability,gauge_invariance_delta
natural_measured,0,weight_based,0-1-2,1.0000000586733222,0.0,1.0043965595665911e-06,1.004396559567097e-06,6.455832487465168e-07,4.4180317182451745e-09,1,0,1.0061088446104152e-06,0.9999989645544981,0.9999989938911259,1.0043965595665911e-06,1.0043965595665911e-06,1.0043965595665911e-06,-0.0,4.4577304365350305e-07
natural_measured,0,weight_based,0-1-3,0.9999999832361937,0.0,1.0001645887422036e-06,1.0001645887427027e-06,6.553623839846108e-07,4.2013569448836765e-09,1,0,1.0003050683598435e-06,0.9999990080768362,0.9999989996949401,1.0001645887422036e-06,1.0001645887422036e-06,1.0001645887422036e-06,-0.0,4.352108671123615e-07
natural_measured,0,weight_based,0-1-4,1.0000000419095159,0.0,1.0278732361981384e-06,1.0278732361986805e-06,6.854650954483027e-07,3.949185994096232e-09,1,0,1.0287272704972094e-06,0.9999989503179736,0.999998971272708,1.0278732361981384e-06,1.0278732361981384e-06,1.0278732361981384e-06,-0.0,4.2632760484475276e-07
natural_measured,0,weight_based,0-1-5,0.9999999301508069,0.0,1.027049545903689e-06,1.02704954590423e-06,6.735760228448842e-07,3.383894561384945e-09,1,0,1.0294220126841706e-06,0.9999990055025886,0.9999989705780233,1.027049545903689e-06,1.027049545903689e-06,1.027049545903689e-06,-0.0,4.523175322018744e-07
natural_measured,0,weight_based,0-1-6,1.0000000251457095,0.0,1.0005245733465503e-06,1.0005245733470504e-06,6.423929424886515e-07,4.409155707207901e-09,1,0,1.0008405110433377e-06,0.9999989865866354,0.9999989991594764,1.0005245733465503e-06,1.0005245733465503e-06,1.0005245733465503e-06,-0.0,4.425414018381278e-07
natural_measured,0,weight_based,0-1-7,1.0000000214204192,0.0,9.80592753693143e-07,9.805927536936137e-07,6.479768082634013e-07,3.73894873792072e-09,1,0,9.808266834335408e-07,0.9999990084631079,0.999999019173306,9.80592753693143e-07,9.80592753693143e-07,9.80592753693143e-07,-0.0,4.523832951070154e-07
natural_measured,0,weight_based,0-2-3,0.9999999739229679,0.0,9.632612340017162e-07,9.632612340021624e-07,6.392002355702733e-07,4.293567564975628e-09,1,0,9.636141429890683e-07,0.9999990494243743,0.9999990363858695,9.632612340017162e-07,9.632612340017162e-07,9.632612340017162e-07,-0.0,4.589279684331239e-07
natural_measured,0,weight_based,0-2-4,1.000000063329935,0.0,9.999147386752871e-07,9.999147386757864e-07,6.528953550917287e-07,3.784323013685967e-09,1,0,1.0019182425669922e-06,0.9999989664167939,0.9999989980817257,9.999147386752871e-07,9.999147386752871e-07,9.999147386752871e-07,-0.0,4.6077322557726827e-07
natural_measured,0,weight_based,0-2-5,1.000000026077032,0.0,9.703025849625933e-07,9.703025849630497e-07,6.660506875757093e-07,3.3661130390986014e-09,1,0,9.706529338297017e-07,0.9999990163085511,0.9999990293470535,9.703025849625933e-07,9.703025849625933e-07,9.703025849625933e-07,-0.0,4.7086370658587455e-07
natural_measured,0,weight_based,0-2-6,1.0000000605359674,0.0,9.77332159426424e-07,9.773321594268898e-07,6.449512278403745e-07,4.273156558757105e-09,1,0,9.792051637672432e-07,0.9999989905268565,0.9999990207948066,9.77332159426424e-07,9.77332159426424e-07,9.77332159426424e-07,-0.0,4.512351353846545e-07
