evidence_label,corpus_seed,transition_method,tetrahedron,cocycle_phase_residual,normalized_cocycle_residual
natural_measured,0,joint_weight_activation,2-3-4-5,0.0,0.0
natural_measured,0,joint_weight_activation,2-3-4-6,0.0,0.0
natural_measured,0,joint_weight_activation,2-3-4-7,0.0,0.0
natural_measured,0,joint_weight_activation,2-3-5-6,0.0,0.0
natural_measured,0,joint_weight_activation,2-3-5-7,0.0,0.0
natural_measured,0,joint_weight_activation,2-3-6-7,0.0,0.0
natural_measured,0,joint_weight_activation,2-4-5-6,0.0,0.0
natural_measured,0,joint_weight_activation,2-4-5-7,0.0,0.0
natural_measured,0,joint_weight_activation,2-4-6-7,0.0,0.0
natural_measured,0,joint_weight_activation,2-5-6-7,0.0,0.0
natural_measured,0,joint_weight_activation,3-4-5-6,0.0,0.0
natural_measured,0,joint_weight_activation,3-4-5-7,0.0,0.0
natural_measured,0,joint_weight_activation,3-4-6-7,0.0,0.0
natural_measured,0,joint_weight_activation,3-5-6-7,0.0,0.0
natural_measured,0,joint_weight_activation,4-5-6-7,0.0,0.0
