dataset,source,local_path,sha256,available
FashionMNIST,torchvision,/Users/tinggong/Documents/GitHub/TwistedMerge/data/FashionMNIST/raw/train-images-idx3-ubyte,c59f468a2f672dc815687fe0f83887768d799fd8a3f3276145d20f83aa44d888,True
CIFAR10,torchvision,/Users/tinggong/Documents/GitHub/TwistedMerge/data/cifar-10-python.tar.gz,6d958be074577803d12ecdefd02955f39262c83c16fe9348329d7fe0b5c001ce,True
ModelNet10,http://3dvision.princeton.edu/projects/2014/3DShapeNets/ModelNet10.zip,/Users/tinggong/Documents/GitHub/TwistedMerge/data/ModelNet10.zip,9d8679435fc07d1d26f13009878db164a7aa8ea5e7ea3c8880e42794b7307d51,True
sst2,stanfordnlp/sst2,/Users/tinggong/Documents/GitHub/TwistedMerge/data/huggingface,8d51e7e4887a4caaa95b3fbebbf53c0490b58bbb,True
imdb,stanfordnlp/imdb,/Users/tinggong/Documents/GitHub/TwistedMerge/data/huggingface,e6281661ce1c48d982bc483cf8a173c1bbeb5d31,True
yelp,fancyzhx/yelp_polarity,/Users/tinggong/Documents/GitHub/TwistedMerge/data/huggingface,bbf1c97a1f0cf005e5aded43839fd814654a1557,True
amazon,fancyzhx/amazon_polarity,/Users/tinggong/Documents/GitHub/TwistedMerge/data/huggingface,9d9c45c18f8c3cf1b23a3c27917b60cbf28f3289,True
