group,method,training_budget,action_accuracy,executed_seeds
S3,exact_structured_retransport,100,1.0,5
S3,sequence_transformer,100,0.15591666666666665,5
S3,learned_cayley_table_model,100,1.0,5
S3,exact_structured_retransport,200,1.0,5
S3,sequence_transformer,200,0.15816666666666668,5
S3,learned_cayley_table_model,200,1.0,5
S3,exact_structured_retransport,400,1.0,5
S3,sequence_transformer,400,0.16175,5
S3,learned_cayley_table_model,400,1.0,5
S3,exact_structured_retransport,800,1.0,5
S3,sequence_transformer,800,0.16508333333333336,5
S3,learned_cayley_table_model,800,1.0,5
S3,exact_structured_retransport,1600,1.0,5
S3,sequence_transformer,1600,0.16475,5
S3,learned_cayley_table_model,1600,1.0,5
D4,exact_structured_retransport,100,1.0,5
D4,sequence_transformer,100,0.11616666666666667,5
D4,learned_cayley_table_model,100,1.0,5
D4,exact_structured_retransport,200,1.0,5
D4,sequence_transformer,200,0.1145,5
D4,learned_cayley_table_model,200,1.0,5
D4,exact_structured_retransport,400,1.0,5
D4,sequence_transformer,400,0.11466666666666665,5
D4,learned_cayley_table_model,400,1.0,5
D4,exact_structured_retransport,800,1.0,5
D4,sequence_transformer,800,0.11516666666666667,5
D4,learned_cayley_table_model,800,1.0,5
D4,exact_structured_retransport,1600,1.0,5
D4,sequence_transformer,1600,0.11600000000000002,5
D4,learned_cayley_table_model,1600,1.0,5
Q8,exact_structured_retransport,100,1.0,5
Q8,sequence_transformer,100,0.10883333333333334,5
Q8,learned_cayley_table_model,100,1.0,5
Q8,exact_structured_retransport,200,1.0,5
Q8,sequence_transformer,200,0.10908333333333334,5
Q8,learned_cayley_table_model,200,1.0,5
Q8,exact_structured_retransport,400,1.0,5
Q8,sequence_transformer,400,0.10950000000000001,5
Q8,learned_cayley_table_model,400,1.0,5
Q8,exact_structured_retransport,800,1.0,5
Q8,sequence_transformer,800,0.10941666666666668,5
Q8,learned_cayley_table_model,800,1.0,5
Q8,exact_structured_retransport,1600,1.0,5
Q8,sequence_transformer,1600,0.11041666666666665,5
Q8,learned_cayley_table_model,1600,1.0,5
A4,exact_structured_retransport,100,1.0,5
A4,sequence_transformer,100,0.09991666666666665,5
A4,learned_cayley_table_model,100,1.0,5
A4,exact_structured_retransport,200,1.0,5
A4,sequence_transformer,200,0.097,5
A4,learned_cayley_table_model,200,1.0,5
A4,exact_structured_retransport,400,1.0,5
A4,sequence_transformer,400,0.09941666666666667,5
A4,learned_cayley_table_model,400,1.0,5
A4,exact_structured_retransport,800,1.0,5
A4,sequence_transformer,800,0.0985,5
A4,learned_cayley_table_model,800,1.0,5
A4,exact_structured_retransport,1600,1.0,5
A4,sequence_transformer,1600,0.09783333333333334,5
A4,learned_cayley_table_model,1600,1.0,5
