setting_id,architecture,collection,fine_tune_scope,method,implementation,accuracy,loss,ece,latency_ms,trainable_parameters,stored_parameters,branch_count,candidate_count,feature_cache_sha256,label_permutation_hash_passed,execution_commit,source_sha256
resnet18_collection0,resnet18,0,synthetic_feature_adapter_over_cached_pretrained_features,weight_average,mean_aligned_feature_head_proxy,0.329,2.2434956265097856,0.21165085825453106,0.021207844838500023,640,2600,1,1,c80557c3dc5e56d940b961d155ba702f5909399a8719e6d507e2e1eeb60624af,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,ccd7917c57a80bb726a213493d1c89b997d4b6126d29eb67ef7f16b195e00e20
resnet18_collection0,resnet18,0,synthetic_feature_adapter_over_cached_pretrained_features,greedy_soup,validation_selected_feature_logit_candidate_proxy,0.475,2.0810681331507546,0.3307641129254206,0.0313750933855772,640,2600,1,3,c80557c3dc5e56d940b961d155ba702f5909399a8719e6d507e2e1eeb60624af,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,ccd7917c57a80bb726a213493d1c89b997d4b6126d29eb67ef7f16b195e00e20
resnet18_collection0,resnet18,0,synthetic_feature_adapter_over_cached_pretrained_features,git_rebasin,permutation_aligned_feature_head_proxy_not_full_model_git_rebasin,0.216,2.253425648057484,0.09539863808307525,0.026209047064185143,640,2600,1,1,c80557c3dc5e56d940b961d155ba702f5909399a8719e6d507e2e1eeb60624af,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,ccd7917c57a80bb726a213493d1c89b997d4b6126d29eb67ef7f16b195e00e20
resnet18_collection0,resnet18,0,synthetic_feature_adapter_over_cached_pretrained_features,c2m3,strict_feature_synchronization_proxy_not_full_model_c2m3,0.216,2.253425648057484,0.09539863808307525,0.026167137548327446,640,2600,1,1,c80557c3dc5e56d940b961d155ba702f5909399a8719e6d507e2e1eeb60624af,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,ccd7917c57a80bb726a213493d1c89b997d4b6126d29eb67ef7f16b195e00e20
resnet18_collection0,resnet18,0,synthetic_feature_adapter_over_cached_pretrained_features,representation_alignment,selected_feature_transition_head_merge,0.216,2.253425648057484,0.09539863808307525,0.0274579506367445,640,2600,1,1,c80557c3dc5e56d940b961d155ba702f5909399a8719e6d507e2e1eeb60624af,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,ccd7917c57a80bb726a213493d1c89b997d4b6126d29eb67ef7f16b195e00e20
resnet18_collection0,resnet18,0,synthetic_feature_adapter_over_cached_pretrained_features,regmean,strict_feature_synchronization_proxy_not_regmean,0.216,2.253425648057484,0.09539863808307525,0.030667055398225784,640,2600,1,1,c80557c3dc5e56d940b961d155ba702f5909399a8719e6d507e2e1eeb60624af,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,ccd7917c57a80bb726a213493d1c89b997d4b6126d29eb67ef7f16b195e00e20
resnet18_collection0,resnet18,0,synthetic_feature_adapter_over_cached_pretrained_features,ties,elementwise_head_sign_consensus_proxy,0.218,2.2561121681337335,0.09770364659926756,0.04687486216425896,640,2600,1,1,c80557c3dc5e56d940b961d155ba702f5909399a8719e6d507e2e1eeb60624af,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,ccd7917c57a80bb726a213493d1c89b997d4b6126d29eb67ef7f16b195e00e20
resnet18_collection0,resnet18,0,synthetic_feature_adapter_over_cached_pretrained_features,dare,randomly_masked_head_average_proxy,0.227,2.2483447719725342,0.10416135369665828,0.0289171002805233,640,2600,1,1,c80557c3dc5e56d940b961d155ba702f5909399a8719e6d507e2e1eeb60624af,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,ccd7917c57a80bb726a213493d1c89b997d4b6126d29eb67ef7f16b195e00e20
resnet18_collection0,resnet18,0,synthetic_feature_adapter_over_cached_pretrained_features,generic_low_rank_merge,ridge_logit_correction,0.276,2.2383689094138455,0.15344985561526922,0.029749935492873192,640,2600,1,1,c80557c3dc5e56d940b961d155ba702f5909399a8719e6d507e2e1eeb60624af,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,ccd7917c57a80bb726a213493d1c89b997d4b6126d29eb67ef7f16b195e00e20
resnet18_collection0,resnet18,0,synthetic_feature_adapter_over_cached_pretrained_features,generic_router,ridge_router_over_four_feature_heads,0.508,2.0622209133352034,0.3610271460940436,0.030583003535866737,260,2600,4,1,c80557c3dc5e56d940b961d155ba702f5909399a8719e6d507e2e1eeb60624af,True,00a00e704f8daf4f7ae158af6d03c755fbb1d1c6,ccd7917c57a80bb726a213493d1c89b997d4b6126d29eb67ef7f16b195e00e20
