setting_id,dataset,relation,seed,selected_family,heldout_pairwise_fit,observed_residual,corrected_residual,residual_reduced,calibration_resample_stable,exceeds_all_nulls,edge_shuffle_q95,matched_norm_coboundary_q95,matched_fit_random_gauge_q95,graph_topology_shuffle_q95
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,orthogonal,0.19944630563259125,0.007546045343293409,1.4083331564763685e-08,True,False,False,0.24986252034914397,2.5231438200687837e-16,0.5636195744032435,0.007546044817535148
FashionMNIST_mlp_4_independent_seeds_s11,FashionMNIST,independent_seeds,11,orthogonal,0.2858780324459076,0.012008157246018506,9.769662186563924e-09,True,True,False,0.22331302525989233,2.6051616956900455e-16,0.5373711414239568,0.012008158412855758
FashionMNIST_mlp_4_independent_seeds_s12,FashionMNIST,independent_seeds,12,orthogonal,0.19081616401672363,0.017960097933979603,1.2721178655550025e-08,True,False,False,0.21886337370707287,2.6406332576776163e-16,0.5644640213539184,0.01796009702037351
FashionMNIST_mlp_4_independent_seeds_s13,FashionMNIST,independent_seeds,13,orthogonal,0.19784021377563477,0.01763492500033989,1.8470250419973976e-08,True,True,False,0.23357670008768333,2.607917397514352e-16,0.5607887538100019,0.017634926302552652
FashionMNIST_mlp_4_independent_seeds_s14,FashionMNIST,independent_seeds,14,orthogonal,0.2118961066007614,0.01841712521207164,1.9182210606320795e-08,True,False,False,0.18047460253940473,2.673261364890524e-16,0.5548626983976515,0.01841712598450597
FashionMNIST_mlp_4_independent_seeds_s15,FashionMNIST,independent_seeds,15,orthogonal,0.17567552626132965,0.016198988583688026,1.9482074554316717e-08,True,False,False,0.2307951528485251,2.455327815561415e-16,0.5693919530792149,0.01619898775148957
FashionMNIST_mlp_4_independent_seeds_s16,FashionMNIST,independent_seeds,16,orthogonal,0.18192408978939056,0.018074655133949243,7.565643572531473e-09,True,True,False,0.22057949002916485,2.581333202407008e-16,0.5663379227284228,0.01807465470563845
MNIST_mlp_4_shared_base_specialization_s10,MNIST,shared_base_specialization,10,positive_monomial,0.2606583568633537,0.05888403541340326,1.1102230246251566e-17,True,True,False,0.41842149862689154,2.607119761650442e-16,0.5480965293337879,0.05888403541340322
MNIST_mlp_4_shared_base_specialization_s11,MNIST,shared_base_specialization,11,positive_monomial,0.2902819011742552,0.07421096026369793,0.0,True,True,False,0.41856238032886595,2.6315024675691714e-16,0.535902472694302,0.07421096026369792
MNIST_mlp_4_shared_base_specialization_s12,MNIST,shared_base_specialization,12,positive_monomial,0.2723764451975366,0.0680942321458607,1.1102230246251566e-17,True,True,False,0.34861039660747134,2.534543605573189e-16,0.5383508865089749,0.06809423214586069
MNIST_mlp_4_shared_base_specialization_s13,MNIST,shared_base_specialization,13,positive_monomial,0.30884132895867317,0.08010034016984104,1.570092458683775e-17,True,True,False,0.3311587421611758,2.4232463751905253e-16,0.5301135022270386,0.08010034016984101
MNIST_mlp_4_shared_base_specialization_s14,MNIST,shared_base_specialization,14,positive_monomial,0.263026229751344,0.07732107035519108,1.922962686383564e-17,True,True,False,0.3647520054792802,2.58296353863497e-16,0.5395732735682711,0.07732107035519108
MNIST_mlp_4_shared_base_specialization_s15,MNIST,shared_base_specialization,15,positive_monomial,0.2830697358618391,0.06882591958251395,1.570092458683775e-17,True,True,False,0.3897870457808721,2.532212651545684e-16,0.5375993162392461,0.06882591958251394
MNIST_mlp_4_shared_base_specialization_s16,MNIST,shared_base_specialization,16,positive_monomial,0.2590086683601547,0.06501386096098577,1.922962686383564e-17,True,True,False,0.35976064659017,2.649557174647753e-16,0.5409523916531476,0.06501386096098576
