group,method,runs,accuracy,teacher_student_kl,retained_teacher_gain_fraction,teacher_stored_parameters,stored_parameters,material_storage_reduction,latency_ms
S3,canonical_predictor_learned_retransport,25,0.15091666666666667,0.755276400027416,-0.02089795344965563,180.0,726.0,False,0.06341608241200447
S3,explicit_chart_token,25,0.19346666666666665,0.3355081464380514,0.030235547489158278,180.0,186.0,False,0.06654183380305767
S3,finite_state_chart_module,25,1.0,0.0,1.0,180.0,180.0,False,0.06424984894692898
S3,group_equivariant_output_head,25,1.0,0.0,1.0,180.0,180.0,False,0.06208289414644241
S3,low_rank_chart_adapter,25,0.15848333333333334,0.3369961642936654,-0.011771726815843408,180.0,246.0,False,0.06937491707503796
S3,ordinary_single_model,25,0.15945,0.33706656950406205,-0.010593954145435638,180.0,726.0,False,0.048625050112605095
S3,parameter_matched_widened_model,25,0.1673,0.36021965542146395,-0.0011155053565240062,180.0,30246.0,False,0.05725002847611904
D4,canonical_predictor_learned_retransport,25,0.10716666666666667,0.8084775664180448,-0.015242822654404728,256.0,968.0,False,0.03583403304219246
D4,explicit_chart_token,25,0.13761666666666666,0.367353148611163,0.019381781316064592,256.0,264.0,False,0.03645801916718483
D4,finite_state_chart_module,25,1.0,0.0,1.0,256.0,256.0,False,0.03770901821553707
D4,group_equivariant_output_head,25,1.0,0.0,1.0,256.0,256.0,False,0.03716605715453625
D4,low_rank_chart_adapter,25,0.11603333333333334,0.36881111011973816,-0.005148610066800802,256.0,328.0,False,0.037708086892962456
D4,ordinary_single_model,25,0.11576666666666668,0.3688620262758873,-0.005456989087449109,256.0,968.0,False,0.01737498678267002
D4,parameter_matched_widened_model,25,0.11945,0.3870078738551317,-0.001248083059668344,256.0,30728.0,False,0.039291102439165115
