setting_id,dataset,relation,seed,null_family,draw,null_residual
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,0,0.06889450415939276
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,1,0.10415197671389442
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,2,0.11680295376334011
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,3,0.11288693789747917
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,4,0.10439526185682964
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,5,0.20746934315075677
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,6,0.2867778524475428
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,7,0.0867276197690213
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,8,0.21201325000740434
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,9,0.06889450307261179
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,10,0.20437802234300348
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,11,0.22691376804383773
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,12,0.10954530458500696
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,13,0.1902130475862586
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,14,0.1602478497228381
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,15,0.21728841149639805
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,16,0.2622055379973258
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,17,0.08373660379568085
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,18,0.1554556904284847
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,19,0.20708957172605663
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,20,0.21405230557898847
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,21,0.23106844505748442
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,22,0.14474322564688943
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,23,0.09825914779278092
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,24,0.1921228086786511
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,25,0.16422640289501078
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,independent_seeds,10,edge_shuffle,26,0.20708956984131185
